pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
33980703,"Clinical, Neuroimmunologic, and CSF Investigations in First Episode Psychosis.","Guasp, Mar; Giné-Servén, Eloi; Maudes, Estibaliz; Rosa-Justicia, Mireia; Martínez-Hernández, Eugenia; Boix-Quintana, Ester; Bioque, Miquel; Casado, Virginia; Módena-Ouarzi, Yasmina; Guanyabens, Nicolau; Muriana, Desiree; Sugranyes, Gisela; Pacchiarotti, Isabella; Davi-Loscos, Eva; Torres-Rivas, Cristina; Ríos, José; Sabater, Lidia; Saiz, Albert; Graus, Francesc; Castro-Fornieles, Josefina; Parellada, Eduard; Dalmau, Josep",Guasp,"To report the neuropsychiatric features and frequency of NMDA receptor (NMDAR) and other neuronal immunoglobulin G antibodies in patients with first episode psychosis (FEP) and to assess the performance of reported warning signs and criteria for autoimmune psychosis (AP). This was a prospective observational study of patients with FEP assessed for neuropsychiatric symptoms, serum and CSF neuronal antibodies (brain immunohistochemistry, cell-based assays, live neurons), and warning signs and criteria of AP. Previous autoimmune FEP series were reviewed. One hundred five patients were included; their median age was 30 (range 14-75) years, and 44 (42%) were female. None had neuronal antibodies. Two of 105 (2%) had CSF pleocytosis, 4 of 100 (4%) had brain MRI abnormalities, and 3 of 73 (4%) EEG alterations. Thirty-four (32%) and 39 (37%) patients fulfilled 2 sets of warning signs of AP, and 21 (20%) fulfilled criteria of possible or probable AP, yet none developed AP. The cause of FEP was psychiatric in 101 (96%) and nonpsychiatric in 4 (4%). During this study, 3 patients with psychosis caused by anti-NMDAR encephalitis were transferred to our center; 2 did not meet criteria for possible AP. Of 1,159 reported patients with FEP, only 7 (1%) had CSF studies; 36 (3%) had serum NMDAR antibodies (without definite diagnosis of AP), and 4 had CSF NMDAR antibodies (3 classic anti-NMDAR encephalitis and 1 with isolated psychiatric features). NMDAR antibodies were not found in patients with FEP unless they had anti-NMDAR encephalitis. Warning signs and criteria for AP have limited utility when neurologic symptoms are absent or paraclinical tests are normal. A diagnostic algorithm for autoimmune FEP is provided.","DictElement({'Year': '2021', 'Month': '05', 'Day': '12'}, attributes={'DateType': 'Electronic'})",2021,Neurology,10.1212/WNL.0000000000012191,,,"Case Reports; Journal Article; Observational Study; Research Support, Non-U.S. Gov't",United States,eng
28775958,Palinacousis-Auditory Perseveration.,"Park, Soo-Hyun; Kim, Kwang-Ki",Park,"Palinacousis is an auditory illusion rarely reported in cases of temporal lobe dysfunction. After reviewing the literature and comparing our clinical experience, we believe that palinacousis can occur as an aura, a simple partial seizure, a complex partial seizure, and/or a postictal event. Palinacousis maybe more common than recognized in patients with receptive aphasias or diffuse cerebral dysfunction, whose language deficits preclude adequate description. We report the case of a 71 years old man with the previously diagnosis of an infarction of left middle cerebral artery and valvular heart disease who presented with the symptoms of palinacousis. He was not diagnosed psychotic diseases. An electroencephalography showed normal wave. He was diagnosed as temporal lobe epilepsy with palinacousis due to post-stroke. Palinacousis was completely reversed after treatment with antiepileptic drug. We report that palinacousis as an epileptic phenomenon can help localized potential lesions and can improve patient care.","DictElement({'Year': '2017', 'Month': '06', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2017,Journal of epilepsy research,10.14581/jer.17011,PMC5540693,Electroencephalography; Palinacousis; Post-stroke seizure; Temporal lobe epilepsy,Case Reports,Korea (South),eng
35145781,Hypocalcemia-Induced Reversible Psychosis.,"Hall, Andrea; Bin Farooq, Talha; Alcaraz, Renato",Hall,"Hypocalcemia can manifest as a variety of presentations, ranging from neuromuscular irritability to seizures, and psychiatric manifestations such as emotional instability, anxiety, and depression. Here, we present a unique case of hypocalcemia-induced acute psychosis. A 24-year-old woman presented to the emergency department (ED) with confusion and agitation for four to five days. The patient was noted by the family to have decreased oral intake and sleep. Auditory and visual hallucinations prompted the family to bring the patient to the ED. The patient was mildly tachycardic. Initially, the patient was agitated, impulsive, and aggressive, exhibiting psychotic features including visual hallucinations, paranoid delusions, thought broadcasting, tangential and perseverative thought processes, and erotomanic delusions. She had mild leukocytosis and elevated procalcitonin on admission. A thorough workup ruled out infectious/inflammatory processes. Cerebrospinal fluid was negative for acute meningitis/encephalitis, autoimmune encephalitis antibodies, and paraneoplastic etiology. Thyroid-stimulating hormone was normal and thyroid antibodies were negative. The CT brain and MRI brain were unremarkable. The patient was severely hypocalcemic (6.7) with low parathyroid hormone (<6) on admission. To note, the patient has multiple endocrine neoplasia, type 2B (MEN2B). She underwent total thyroidectomy five months prior for metastatic medullary thyroid carcinoma complicated by postsurgical hypoparathyroidism. The patient had been non-compliant with calcium and calcitriol supplementation postoperatively. The patient was started on IV calcium gluconate and transitioned to calcitriol with calcium level improvement over the next three days. She experienced marked improvement, with the resolution of her psychosis. The patient's subacute onset psychosis with no personal or family psychiatric history and a rapid response to calcium correction supports hypocalcemia etiology. This case illustrates new-onset acute psychosis in a patient with calcium regulation imbalance. The development of hypocalcemia secondary to thyroidectomy with postsurgical hypoparathyroidism and calcium supplement non-compliance precipitated psychosis. A few similar cases have been reported, and here, we note that treatment of hypocalcemia promptly resolves symptoms. As per our review, this will be the first case of neuropsychiatric symptoms without associated cortical calcifications seen on imaging. It is important to recognize hypocalcemia as a rare cause of psychosis so as to not mistakenly categorize such presentations as primary psychotic disorders and miss a medically treatable illness.","DictElement({'Year': '2022', 'Month': '01', 'Day': '02'}, attributes={'DateType': 'Electronic'})",2022,Cureus,10.7759/cureus.20874,PMC8805771,delusions; hypoparathyroidism; metabolic psychosis; reversible; s: hypocalcemia,Case Reports,United States,eng
36151446,Poststroke psychosis: a case report.,"Mota Freitas, Rodrigo; Reis Gomes, Diogo; Antunes Pedro, João; Guerra, Ana",Mota Freitas,"Stroke is currently the second leading cause of death in the elderly population. Neuropsychiatric complications following stroke are common, can be overlooked, and are associated with low quality of life, increase in the burden of caregiving and impaired functional status. We report a case of poststroke psychosis in a woman without prior psychiatric history. In addition, a brief, nonsystematic review of the pertinent literature was performed. Psychosis can present in almost 5% of stroke survivors. Many patients with poststroke psychosis have no previous psychiatric history and the most common lesion locations include the right frontal, temporal and parietal lobes, the white matter connecting those areas, as well as the right caudate nucleus. Compared to other stroke survivors, patients with poststroke psychosis are more likely to depend on assistance in their everyday lives, can have more difficulty coping with the sequelae of stroke, and have an increased 10-year mortality risk. Guidelines for diagnosing and managing poststroke psychosis are needed. Psychosis is a possible complication of stroke and is associated with impairment and increased mortality. Guidelines for diagnosing and managing poststroke psychosis are currently lacking. To assure evidence-based care, further research is needed.","DictElement({'Year': '2022', 'Month': '09', 'Day': '23'}, attributes={'DateType': 'Electronic'})",2022,"Neuropsychiatrie : Klinik, Diagnostik, Therapie und Rehabilitation : Organ der Gesellschaft Osterreichischer Nervenarzte und Psychiater",10.1007/s40211-022-00432-1,PMC9510268,Biological psychiatry; Cerebrovascular diseases; Geriatric psychiatry; Neuropsychiatry; Psychotic disorders,Review; Case Reports; Journal Article,Germany,eng
34493350,Anti-MOG autoantibody-associated schizophreniform psychosis.,"von Zedtwitz, Katharina; Matteit, Isabelle; Michel, Maike; Feige, Bernd; Runge, Kimon; Denzel, Dominik; Schlump, Andrea; Nickel, Kathrin; Schiele, Miriam A; Berger, Benjamin; Prüss, Harald; Urbach, Horst; Domschke, Katharina; Tebartz van Elst, Ludger; Endres, Dominique",von Zedtwitz,"Autoimmune mechanisms are related to disease development in a subgroup of patients with psychosis. The contribution of immunoglobulin G (IgG) antibodies against myelin oligodendrocyte glycoprotein (MOG) is mainly unclear in this context. Therefore, two patients with psychosis and anti-MOG antibodies - detected in fixed cell-based and live cell-based assays - are presented. Patient 1 suffered from late-onset psychosis with singular white matter lesions in magnetic resonance imaging (MRI) and intermittent electroencephalography (EEG) slowing. Patient 2 suffered from a chronic paranoid-hallucinatory disorder with intermittent confusional states, non-specific white matter alterations on MRI, a disorganised alpha rhythm on EEG, and elevated cerebrospinal fluid protein. Both patients had anti-MOG antibody titres of 1 : 320 in serum (reference < 1 : 20). The arguments for and against a causal role for anti-MOG antibodies are discussed. The antibodies could be relevant, but due to moderate titres, they may have caused a rather 'subtle clinical picture' consisting of psychosis instead of 'classical' MOG encephalomyelitis.","DictElement({'Year': '2021', 'Month': '09', 'Day': '08'}, attributes={'DateType': 'Electronic'})",2021,Acta neuropsychiatrica,10.1017/neu.2021.29,,MOG; MOG encephalomyelitis; autoimmune encephalitis; autoimmune psychosis,Case Reports; Journal Article,England,eng
8353678,Thalamo-frontal psychosis.,"McGilchrist, I; Goldstein, L H; Jadresic, D; Fenwick, P",McGilchrist,"A 43-year-old man presented with an 18-month history of acute-onset cyclical behavioural change affecting mood, appetite, sleep, and energy levels. This had followed an initial episode of transient drowsiness which lasted 24 hours. On examination, there was some evidence of visual memory and frontal lobe deficits. A brain CT scan showed bilateral thalamic infarcts and a brain SPECT scan showed bilateral hypoperfusion of the frontal lobes. To our knowledge, this is the first reported case of thalamic infarction associated with acute-onset cyclical affective psychosis with clinical and neurophysiological features of frontal lobe syndrome. The case also highlights the possible role of thalamo-frontal circuits in the pathogenesis of the Kleine-Levin syndrome.",{},,The British journal of psychiatry : the journal of mental science,10.1192/bjp.163.1.113,,,Case Reports; Journal Article,England,eng
1252149,Disulfiram-induced encephalopathy.,"Hotson, J R; Langston, J W",Hotson,"Two patients with disulfiram-(Antabuse-)induced encephalopathy exhibited paranoid ideas, disorientation, impaired memory, ataxia, dysarthria, snout and grasp reflexes, and abnormal electroencephalograms. The first patient developed symptoms on two occasions, each time after disulfiram administration. The second patient experienced a generalized seizure followed by fulminant psychosis three weeks after starting disulfiram therapy. Spinal fluid examination in the latter patient revealed a low homovanillic acid (HVA) level. Since disulfiram inhibits dopamine oxidation, disulfiram-induced encephalopathy may be related to excess dopaminergic activity in the central nervous system.",{},,Archives of neurology,10.1001/archneur.1976.00500020069012,,,Case Reports; Journal Article,United States,eng
29756462,LGI1 antibody encephalitis and psychosis.,"Wang, Dahai; Hao, Qinjian; He, Lan; Wang, Qiang",Wang,"To describe a case of leucine-rich, glioma inactivated 1 antibody-encephalitis presenting with psychosis. Case report. A young man with leucine-rich, glioma inactivated 1-antibody encephalitis initially presented with acute psychotic symptoms, short-term memory loss and faciobrachial dystonic seizures. Magnetic resonance imaging revealed hippocampal lesions. Electroencephalography revealed frontotemporal slowing of background activity. Increased awareness of leucine-rich, glioma inactivated 1-antibody encephalitis may promote early recognition and treatment.","DictElement({'Year': '2018', 'Month': '05', 'Day': '14'}, attributes={'DateType': 'Electronic'})",2018,Australasian psychiatry : bulletin of Royal Australian and New Zealand College of Psychiatrists,10.1177/1039856218771513,,LGI1 antibody encephalitis; misdiagnosis; psychosis,Case Reports; Journal Article,England,eng
29874703,[Not Available].,"Styczen, Hanna; Psychogios, Marios Nikos",Styczen,,"DictElement({'Year': '2018', 'Month': '06', 'Day': '06'}, attributes={'DateType': 'Electronic'})",2018,RoFo : Fortschritte auf dem Gebiete der Rontgenstrahlen und der Nuklearmedizin,10.1055/a-0612-8156,,,Case Reports; Journal Article,Germany,ger
23835082,Limbic encephalitis and psychosis.,"Shah, Kairav; Iloh, Nkiruka; Tabares, Paula; Nnadi, Charles; Sharif, Zafar; Macaluso, Claude",Shah,"To report a case of limbic encephalitis (LE) presenting with psychosis. Case report. A woman with LE initially presented with acute psychotic symptoms. Magnetic resonance imaging (MRI) showed hyperintensity in bilateral temporal lobes. Paraneoplastic and autoimmune antibodies were negative, but symptoms resolved after starting methylprednisolone. A greater awareness for and knowledge of LE among all disciplines could help early recognition and management of LE and avoid permanent behavioral deficits.","DictElement({'Year': '2013', 'Month': '07', 'Day': '05'}, attributes={'DateType': 'Electronic'})",2013,General hospital psychiatry,10.1016/j.genhosppsych.2013.05.005,,Limbic encephalitis; Psychosis; Seronegative limbic encephalitis,Case Reports; Journal Article,United States,eng
