pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
23385699,Sleep and comorbid neurologic disorders.,"Watson, Nathaniel F; Viola-Saltzman, Mari",Watson,"An understanding of the impact of sleep on neurologic disorders, and the impact of neurologic disorders on sleep, provides fresh opportunities for neurologists to improve the quality of life and functioning of their patients. Sleep-disordered breathing (SDB) is a risk factor for cerebrovascular disease and should be considered in all TIA and stroke patients. Sleep disorders can amplify nociception and worsen headache disorders; and some headaches, including those related to SDB and hypnic headache, are sleep specific. REM sleep behavior disorder may be an early sign of neurodegenerative disease. Focal lesions of almost any etiology (eg, multiple sclerosis and CNS malignancies) in the hypothalamus, basal forebrain, or brainstem may result in sleep disturbance, sleepiness, and insomnia. Sleep-related hypoventilation and fatigue are common in neuromuscular disease. SDB and epilepsy are mutually facilitatory, and poor sleep can exacerbate epilepsy. Continued surveillance for sleep disorders by neurologists is rewarded by new treatment avenues in their patients with the possibility of improved clinical outcomes.",{},,"Continuum (Minneapolis, Minn.)",10.1212/01.CON.0000427208.13553.8c,,,Case Reports; Journal Article; Review,United States,eng
35875984,Distinct movement disorders in contactin-associated-protein-like-2 antibody-associated autoimmune encephalitis.,"Gövert, Felix; Abrante, Ligia; Becktepe, Jos; Balint, Bettina; Ganos, Christos; Hofstadt-van Oy, Ulrich; Krogias, Christos; Varley, James; Irani, Sarosh R; Paneva, Sofija; Titulaer, Maarten J; de Vries, Juna M; Boon, Agnita J W; Schreurs, Marco W J; Joubert, Bastien; Honnorat, Jerome; Vogrig, Alberto; Ariño, Helena; Sabater, Lidia; Dalmau, Josep; Scotton, Sangeeta; Jacob, Saiju; Melzer, Nico; Bien, Christian G; Geis, Christian; Lewerenz, Jan; Prüss, Harald; Wandinger, Klaus-Peter; Deuschl, Günther; Leypoldt, Frank",Gövert,"Autoimmune encephalitis can be classified into antibody-defined subtypes, which can manifest with immunotherapy-responsive movement disorders sometimes mimicking non-inflammatory aetiologies. In the elderly, anti-LGI1 and contactin associated protein like 2 (CASPR2) antibody-associated diseases compose a relevant fraction of autoimmune encephalitis. Patients with LGI1 autoantibodies are known to present with limbic encephalitis and additionally faciobrachial dystonic seizures may occur. However, the clinical spectrum of CASPR2 autoantibody-associated disorders is more diverse including limbic encephalitis, Morvan's syndrome, peripheral nerve hyperexcitability syndrome, ataxia, pain and sleep disorders. Reports on unusual, sometimes isolated and immunotherapy-responsive movement disorders in CASPR2 autoantibody-associated syndromes have caused substantial concern regarding necessity of autoantibody testing in patients with movement disorders. Therefore, we aimed to systematically assess their prevalence and manifestation in patients with CASPR2 autoimmunity. This international, retrospective cohort study included patients with CASPR2 autoimmunity from participating expert centres in Europe. Patients with ataxia and/or movement disorders were analysed in detail using questionnaires and video recordings. We recruited a comparator group with anti-LGI1 encephalitis from the GENERATE network. Characteristics were compared according to serostatus. We identified 164 patients with CASPR2 autoantibodies. Of these, 149 (90.8%) had only CASPR2 and 15 (9.1%) both CASPR2 and LGI1 autoantibodies. Compared to 105 patients with LGI1 encephalitis, patients with CASPR2 autoantibodies more often had movement disorders and/or ataxia (35.6 versus 3.8%; P < 0.001). This was evident in all subgroups: ataxia 22.6 versus 0.0%, myoclonus 14.6 versus 0.0%, tremor 11.0 versus 1.9%, or combinations thereof 9.8 versus 0.0% (all P < 0.001). The small group of patients double-positive for LGI1/CASPR2 autoantibodies (15/164) significantly more frequently had myoclonus, tremor, 'mixed movement disorders', Morvan's syndrome and underlying tumours. We observed distinct movement disorders in CASPR2 autoimmunity (14.6%): episodic ataxia (6.7%), paroxysmal orthostatic segmental myoclonus of the legs (3.7%) and continuous segmental spinal myoclonus (4.3%). These occurred together with further associated symptoms or signs suggestive of CASPR2 autoimmunity. However, 2/164 patients (1.2%) had isolated segmental spinal myoclonus. Movement disorders and ataxia are highly prevalent in CASPR2 autoimmunity. Paroxysmal orthostatic segmental myoclonus of the legs is a novel albeit rare manifestation. Further distinct movement disorders include isolated and combined segmental spinal myoclonus and autoimmune episodic ataxia.",{},,Brain : a journal of neurology,10.1093/brain/awac276,,CASPR2; autoimmune encephalitis; movement disorders; myoclonus; neuronal autoantibodies,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",England,eng
37060179,Anti-metabotropic glutamate receptor 5 encephalitis: Five case reports and literature review.,"Chen, Sixian; Ren, Haitao; Lin, Fuhong; Fan, Siyuan; Cao, Yuze; Zhao, Weili; Guan, Hongzhi; , ",Chen,"To describe the clinical and radiological characteristics of anti-metabotropic glutamate receptor 5 (mGluR5) encephalitis. We reviewed the clinical data of five patients with anti-mGluR5 encephalitis, and performed a literature review. The five cases included a 52-year-old man who developed a biphasic course of anti-mGluR5 encephalitis after herpes simplex encephalitis, a 22-year-old woman who showed bilateral basal ganglia lesions on brain magnetic resonance imaging (MRI), and a 36-year-old man with mixed aphasia and generalized tonic-clonic seizures, a 51-year-old man presented with personality changes, hallucinations, delusions, sleeping disorders and a 58-year-old man with short-term memory deficits and absence seizures.. There are 16 reported cases of anti-mGluR5 encephalitis worldwide. Of all 21 patients, with a median onset age of 35 years old, the main neurological symptoms were cognitive impairment (85.7%, 18/21), psychiatric or behavior problems (76.2%, 16/21), seizures (57.1%, 12/21), sleeping disorders (52.4%, 11/21), different degrees of decreased consciousness (42.9%, 9/21), and movement disorders (23.8%, 5/21). Brain MRI was normal in 11 of 21 patients. Lesions of the limbic lobes were presented in 5 patients, while involvement of other extralimbic regions was also reported. Seven of 21 (33.3%) cases were combined with tumors. Elevated white blood cell counts or specific oligoclonal IgG bands in the cerebrospinal fluid were found in 18 of 21 patients, with marked improvements observed after immunotherapy. Patients with anti-mGluR5 encephalitis typically present with diffuse, rather than purely limbic, encephalitis. Anti-mGluR5 encephalitis can be triggered by herpes simplex encephalitis. The risk of a combined tumor may be reduced in anti-mGluR5 encephalitis patients.","DictElement({'Year': '2023', 'Month': '04', 'Day': '14'}, attributes={'DateType': 'Electronic'})",2023,Brain and behavior,10.1002/brb3.3003,PMC10175974,autoimmune encephalitis; herpes simplex virus; metabotropic glutamate receptor 5,"Review; Case Reports; Journal Article; Research Support, Non-U.S. Gov't",United States,eng
38701719,Anti-IgLON5 disease as a differential diagnosis of multiple system atrophy.,"Ono, Yoya; Tadokoro, Koh; Yunoki, Taijun; Yamashita, Toru; Sato, Daisuke; Sato, Hiroyasu; Akamatsu, Shintaro; Mizukami, Heisuke; Ohta, Yasuyuki; Yamano, Yoshihisa; Kimura, Akio; Shimohata, Takayoshi",Ono,"Anti-immunoglobulin-like cell adhesion molecule 5 (IgLON5) disease is a rare autoimmune encephalitis that can mimic progressive supranuclear palsy or corticobasal syndrome. Moreover, anti-IgLON5 disease can present with symptoms characteristic of multiple system atrophy (MSA), such as cerebellar ataxia and autonomic dysfunction. However, the clinical features of anti-IgLON5 disease resembling MSA have not been well established. We enrolled 35 patients with suspected MSA for whom anti-IgLON5 antibody tests were requested. We evaluated immunoglobulin G (IgG) against IgLON5 using cell-based assays. We also summarized the clinical characteristics of patients who were positive for anti-IgLON5 antibodies. We identified serum and cerebrospinal fluid anti-IgLON5 antibodies in three patients. These patients had many clinical features characteristic of MSA, including parkinsonism, cerebellar ataxia, severe orthostatic hypotension, acute respiratory failure, sleep parasomnia, vocal cord paralysis, and pyramidal tract signs. Clinical features atypical for MSA were myorhythmia, horizontal eye movement restriction, fasciculations, and painful muscle cramps. Anti-IgLON5 disease may be an important differential diagnosis of MSA. A comprehensive physical examination, including assessments of eye movement, lower motor neuron signs, and atypical involuntary movements, is important to avoid misdiagnosis.","DictElement({'Year': '2024', 'Month': '04', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2024,Parkinsonism & related disorders,10.1016/j.parkreldis.2024.106992,,Anti-IgLON5 disease; Multiple system atrophy; Orthostatic hypotension; Vocal cord paralysis,Journal Article; Case Reports,England,eng
34997739,A case of reversible aphasia-type speech disorders after treatment with quetiapine.,"Szczygieł-Pilut, Elżbieta; Pilut, Daniel",Szczygieł-Pilut,"The study presents a case of a 64-year-old patient with diagnosed Parkinson's disease and coexisting REM sleep disorders (RBD) confirmed in a polysomnographic examination. In this patient, the use of supplementary therapy - quetiapine (50mg/daily) - due to psychotic disorders, resulted in speech disorders with sensory-motor mixed aphasia type. Aphasia occurred on the fourth day after beginning the treatment with atypical neuroleptic. In MRI examination of the head, no ""fresh"" cerebral ischemia was found. No focal status epilepticus was reported in the video EEG trial. Results. Complete cure occurred after discontinuation of quetiapine administration. Conclusions. Due to the above, the side-effects of quetiapine treatment were assumed as the cause of focal neurological disorders.","DictElement({'Year': '2021', 'Month': '10', 'Day': '31'}, attributes={'DateType': 'Electronic'})",2021,Psychiatria polska,10.12740/PP/OnlineFirst/115218,,aphasia; quetiapine; side-effects,Case Reports,Poland,eng; pol
9633748,Cefuroxime-induced encephalopathy.,"Herishanu, Y O; Zlotnik, M; Mostoslavsky, M; Podgaietski, M; Frisher, S; Wirguin, I",Herishanu,"We describe four patients who developed an encephalopathic syndrome characterized by obtundation or stupor, myoclonic jerks, and asterixis in association with cefuroxime therapy. Three patients had renal failure. These cases suggest that cefuroxime in overdose or in conventional doses in patients with renal failure can cause a reversible encephalopathy. This syndrome may have been unrecognized because it usually occurs in severely ill patients with additional causes for encephalopathy.",{},,Neurology,10.1212/wnl.50.6.1873,,,Case Reports; Journal Article,United States,eng
26038584,Brain injury and deprivation of liberty on neurosciences wards: 'a gilded cage is still a cage'.,"Ashby, Gillian Alice; Griffin, Colette; Agrawal, Niruj",Ashby,"In March 2014, a UK Supreme Court case, known as Cheshire West, reached a judgement that greatly expanded the group of people in England and Wales who could be considered deprived of their liberty when under the care of the state. This now includes anyone meeting what is known as the 'acid test': whether the person is under 'continuous supervision and control' and 'not free to leave'. The case concerned three people with learning disability, living in community residential placements; all were judged to have been deprived of their liberty, despite being apparently content, and having 'relative normality' for people in their situation. Many people consider the case to apply to hospital settings. Clearly, many neurosciences inpatients are under 'continuous supervision and control'. This might include being told when to eat or sleep, what medication to take or being under close nursing observation. Many also are not free to leave because of safety concerns. Inpatients may also be eligible for detention under Mental Health Act--if they have a mental disorder sufficient to warrant this--such as a risk to that person's health or safety, or the safety of others. Thus, we have a confusing combination of two laws that might apply. This article aims to demystify the legal background and apply it to clinical practice in England and Wales and elsewhere.","DictElement({'Year': '2015', 'Month': '06', 'Day': '02'}, attributes={'DateType': 'Electronic'})",2015,Practical neurology,10.1136/practneurol-2014-000957,,CLINICAL NEUROLOGY; NEUROPSYCHIATRY,Case Reports; Journal Article; Review,England,eng
36446232,Myoclonus status revealing COVID 19 infection.,"Ben Mohamed, Dina; Zouari, Rania; Ketata, Jihen; Nabli, Fatma; Blel, Samir; Ben Sassi, Samia",Ben Mohamed,"At the beginning of the coronavirus virus (COVID-19) pandemic, the Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV2) was thought to cause mainly respiratory symptoms, largely sparing the brain and the rest of the nervous system. However, as the knowledge about COVID-19 infection progresses and the number of COVID19-related neurological manifestations reports increases, neurotropism and neuroinvasion were finally recognized as major features of the SARS-CoV-2. Neurological manifestations involving the central nervous system are sparse, ranging from headaches, drowsiness, and neurovascular attacks to seizures and encephalitis [1]. Thus far, several cases of non-epileptic myoclonus were reported in critical patients [2,3]. Here, we report the first case of myoclonus status as the inaugural and sole symptom of COVID-19 in a conscious patient. A 60-year-old man with unknown family history and no medical issues other than smoking one cigarette packet a day over the span of 25 years. The patient presented with 5 days of abnormal movements in bilateral arms following the COVID vaccination. They were described as brief, involuntary jerking, like in sleep starts, in the proximal part of their upper members, and his face with a regular tremor in his arms exacerbated by movements and emotion. His movement disorder worsened the second day, and he developed an abnormal gait with slurred speech, concomitantly with diarrhea. Seven days following the symptoms onset, the patient was alert. His neurological exam revealed multifocal myoclonic jerks affecting four limbs predominantly proximal, the face, and the trunk (video 1). The myoclonic jerks were sensitive to tactile and auditory stimuli, without enhanced startle response or hyperekplexia. His gait was unsteady due to severe myoclonus, without cerebellar ataxia (video 2) and he had mild dysarthria. No dysmetria at the finger-to-nose and heel-to-shin tests were found. Examination of eye movements revealed paralysis of Down-Gaze and no opsoclonus was detected. Physical exam was unremarkable, including lack of fever and meningitis signs. The electroencephalogram (EEG) did not show any abnormalities concomitant with myoclonic jerks (Fig.1). The cerebral Magnetic Resonance Imaging (MRI) was normal (Fig. 2). An extensive biological work-up including a complete blood count, a comprehensive metabolic panel, an arterial blood gas analysis, a urine drug screen, a thyroid function test, a vitamin B12, folate, and ammonia level, and HIV and syphilis serologies were inconclusive. Testing for autoimmune and paraneoplastic antineuronal antibodies including anti-NMDA-R was negative. The cerebrospinal fluid (CSF) study was unremarkable (0.3 g/l of proteinorachia, 1 white blood cell). Polymerase chain reaction (PCR) for herpes simplex virus, varicella-zoster virus, and SARS-CoV-2 in CSF was negative. However, the patient tested positive for COVID-19 through PCR for viral RNA from the nasopharyngeal swab. After the administration of 12mg/day of Dexamethasone for 3 days, along with clonazepam and levetiracetam, the patient's symptoms started improving on day 3 and he displayed a very slow but progressive recovery. Our patient presented with acute isolated multifocal myoclonus status without cognitive impairment. These movements were prominent, spontaneous, worsened by action, and sensitive to touch and sound. The anatomical source of this myoclonus could be cortical or subcortical despite the absence of evident EEG discharges. Several diseases can cause acute myoclonus such as severe hypoxia, metabolic disturbances, and paraneoplastic syndromes. these diagnoses were ruled out in our patient. Post-vaccinal origin was also suggested, but its accountability was not proven. Thus, the two hypothetic etiologies raised were either para-infectious or infectious mechanisms in relation to SARS-Cov 2 infection. HIV, VZV, HSV, and syphilis infections were eliminated and the patient tested positive for SARS-Cov2 infection. In the literature, COVID-19-related myoclonus was reported as a complication of an already-known SARS-CoV-2 infection in about 50 patients so far. It generally occurs between 6 days and 26 days following the SARS-CoV-2 infection [2-5], and affects critical illness patients with cognitive decline, mainly from the intensive care unit [3,4]. Yet, our patient did not display any symptoms of COVID-19 infection before the occurrence of these abnormal movements. Furthermore, he had a relatively good general condition and no cognitive impairment. Several pathophysiological mechanisms were suggested regarding the COVID-19-related myoclonus. Either central nervous invasion by SARS-Cov 2 after transneuronal spread and/or auto-immune cross-reactivity reaction, are likely incriminated in the pathophysiology of most of the cases [6]. We believe that there is an inflammatory process involved with increased levels of proinflammatory cytokines and systemic inflammation, including cytokine storm or cytokine release syndrome targeting the brain and more specifically the cortex and basal ganglia [6]. Data collection in clinical registries is needed to increase our knowledge of the prevalence of neurological symptoms in patients with COVID-19 and will hopefully clarify the causal relationship between SARS-CoV-2 infection and post-COVID-19 myoclonic syndrome.","DictElement({'Year': '2022', 'Month': '11', 'Day': '22'}, attributes={'DateType': 'Electronic'})",2022,Seizure,10.1016/j.seizure.2022.11.010,PMC9678388,COVID19; Movement disorders; Myoclonus; SARS-CoV-2,Case Reports; Journal Article,England,eng
37772307,Late Presentation of Chronic Traumatic Encephalopathy in a Former Association Football Player.,"Cullinane, Patrick W; Wrigley, Sarah; Bradshaw, Teisha Y; Shaw, Karen; Shribman, Samuel; de Pablo Fernandez, Eduardo; Warner, Thomas T; Jaunmuktane, Zane",Cullinane,"Chronic traumatic encephalopathy (CTE) is a neurodegenerative disease characterized by widespread accumulation of hyperphosphorylated tau that typically occurs in people who have suffered repetitive head impacts. To date, very few cases have been reported in association football players. To describe the clinicopathological features of a case of CTE in an 84-year-old former football player who was clinically diagnosed as having dementia with Lewy bodies (DLB). A retrospective review of the patient's primary care and hospital medical records was performed along with a comprehensive neuropathological examination. This patient presented at age 84 with symmetrical parkinsonism and cognitive impairment that was exacerbated by prochlorperazine. His condition was rapidly progressive with recurrent falls within 1 year. Other features included headaches, depression, anxiety, suicidal ideation, disturbed sleep and aggression. He received a clinical diagnosis of DLB and died approximately 2 years after the onset of symptoms. A post-mortem examination revealed stage 4 CTE. While the contemporaneous onset of parkinsonism and cognitive symptoms in the context of possible neuroleptic sensitivity is suggestive of DLB, the additional symptoms of aggressive behavior, depression and suicidality in a former football player are consistent with the neuropathological diagnosis of CTE. This case, which is notable for the late presentation, demonstrates that CTE may masquerade as other dementias and highlights the importance of seeking a history of repetitive head impacts.","DictElement({'Year': '2023', 'Month': '07', 'Day': '14'}, attributes={'DateType': 'Electronic'})",2023,Movement disorders clinical practice,10.1002/mdc3.13829,PMC10525051,chronic traumatic encephalopathy; dementia with Lewy bodies; football; pathology; soccer,Journal Article; Case Reports,United States,eng
26611948,Neuroimaging-evident lesional pathology associated with REM sleep behavior disorder.,"McCarter, Stuart J; Tippmann-Peikert, Maja; Sandness, David J; Flanagan, Eoin P; Kantarci, Kejal; Boeve, Bradley F; Silber, Michael H; St Louis, Erik K",McCarter,"Rapid eye movement (REM) sleep behavior disorder (RBD) is a potentially injurious parasomnia characterized by dream enactment behavior and polysomnographic REM sleep without atonia (RSWA). Recently, RBD not only has been shown to be strongly associated with synucleinopathy neurodegeneration but has also been rarely reported to be associated with structural lesions involving the brainstem or limbic system. The aim of this study was to describe the clinical, neuroimaging, and outcome characteristics in a case series of patients with lesional RBD. This is a retrospective case series from a tertiary care referral center. A total of 10 patients with lesional RBD were identified. Seven (70%) were men, with an average age of sleep symptom onset of 53.7 ± 17.0 years. Structural pathology evident on neuroimaging included four extraaxial (three meningiomas and one basilar fusiform aneurysm with brainstem compression) and six intraaxial (encephalomalacia, multiple sclerosis, vasculitis, autoimmune limbic encephalitis, and leukodystrophy) lesions. No patient developed parkinsonian features or cognitive impairment suggestive of synucleinopathy over an average of 45.4 ± 35.2 months of follow-up. RBD is rarely associated with non-synuclein structural lesions affecting the pons, medulla, or limbic system. The spectrum of lesional RBD comprises tumors, aneurysms, leukodystrophy, and autoimmune/inflammatory/demyelinating brain lesions.","DictElement({'Year': '2015', 'Month': '09', 'Day': '14'}, attributes={'DateType': 'Electronic'})",2015,Sleep medicine,10.1016/j.sleep.2015.07.018,,Brain lesion; Neuroimaging; Outcome; Parasomnia; REM sleep behavior disorder,"Case Reports; Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",Netherlands,eng
