pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
23377484,Rasmussen's encephalitis.,"Dawodu, C O; Akinbo, D D",Dawodu,"Rasmussen's encephalitis is an uncommon chronic inflammatory disease disorder of unknown etiology. The aim of this report was to create an awareness of Rasmussen's encephalitis in our clinical practice in Africa. We searched online for literature on Rasmussen's encephalitis with an emphasis on documented cases in Africa and in blacks all over the world. Master F.M., a 14-year-old male, presented with history of recurrent seizures on three occasions. The first was after an upper respiratory tract infection, the second was a post-complicated meningo-encephalitis and the third episode was associated with receptive aphasia, hemiparesis and intellectual impairment. Neuroimaging studies revealed cerebellar atrophy and infarction of territory of the middle cerebral artery. His electroencephalogram showed bi-frontal theta activity left>right and poly spikes left>>right, diagnostic of complex partial seizures. In a period of 12 months, his gait and speech had improved while his intellectual impairment permitted re-admission into a lower academic class. He is presently on phenytion and prednisolone tablets only. Master F.M. had all the clinical features buttressed with neuroimaging results of a clinically probable Rasmussen's encephalitis. However, an advanced neuroimaging study is needed to detect and quantify hemispherical volume loss.",{},,Nigerian journal of clinical practice,10.4103/1119-3077.106780,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",India,eng
35630076,Wernicke Encephalopathy Mimicking MELAS.,"Finsterer, Josef",Finsterer,"a stroke-like lesion, the morphological equivalent of a stroke-like episode and the hallmark of mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes (MELAS) syndrome, have not been reported as manifestations of thiamine deficiency. a 62-year-old man with a history of chronic alcoholism was admitted after a series of epileptic seizures. Upon waking up from the coma, he presented with disorientation, confusion, confabulation, psychomotor agitation, aggressiveness, right hemianopsia, aphasia, and right hemineglect over weeks. Electroencephalography showed a questionable focal status epilepticus over the left hemisphere, responsive to lorazepam and oxcarbazepine. Follow-up electroencephalographies no longer recorded epileptiform discharges. Cerebral magnetic resonance imaging (MRI) revealed T2-/diffusion weighted imaging (DWI) hyperintensity in the left occipito-temporal region that was not congruent to a vascular territory which persisted for at least nine weeks. Since a lactate-peak could be seen in this lesion by magnetic resonance-spectroscopy, this was interpreted as a stroke-like lesion. Since thiamine was reduced, the stroke-like lesion was attributed to thiamine deficiency after the exclusion of differential diseases, including MELAS and status epilepticus. The patient's behavioural and cognitive dysfunctions largely resolved upon vitamin-B1 substitution. the case suggests that thiamine deficiency presumably causes mitochondrial dysfunction with cerebrospinal fluid lactic acidosis and a stroke-like lesion mimicking MELAS syndrome. It should be further studied whether nutritional deficits, such as thiamine deficiency, could give rise to secondary stroke-like lesions.","DictElement({'Year': '2022', 'Month': '05', 'Day': '13'}, attributes={'DateType': 'Electronic'})",2022,"Medicina (Kaunas, Lithuania)",10.3390/medicina58050660,PMC9144475,Wernicke encephalopathy; lactic acidosis; spectroscopy; stroke-like episode; stroke-like lesion; thiamine deficiency,Case Reports,Switzerland,eng
15158704,Heraldic seizure.,"García-García, J; Calleja, S; De la Vega, V; Salas-Puig, J; Lahoz, C H",García-García,"The term heraldic seizures indicates epileptic seizures caused by cerebrovascular disease, believed to be triggered by silent ischemia and occurring before a stroke. This fact widens the spectrum of possible interrelations between epilepsy and cerebrovascular disease outside the well known context of post-stroke epilepsy. This is a case report of a healthy 67-year-old male who had a new onset epileptic seizure prior to a lobar intracerebral hemorrhage (ICH). This man began to suffer myoclonic jerks in his left arm which progressed to a generalized tonic-clonic seizure. At the emergency area the physical and neurological examination were unremarkable and a CT scan was normal. The next day the patient developed left hemiparesis, hemianopsia and confusion and a new CT scan showed right parietal-occipital ICH. This case report exemplifies the concept of heraldic seizures, showing a patient who had a focal seizure preceding an intracerebral hemorrhage. Our etiologic diagnostic work led us to a diagnosis of probable amyloid angiopathy. We suggest that cerebral amyloid angiopathy (CAA) may be the underlying cause, since it may be the origin of both the late event (ICH) and the heralding seizures, resulting from concurrent ischemia.",{},,Seizure,10.1016/j.seizure.2003.08.008,,,Case Reports; Journal Article,England,eng
38073163,Cerebral Venous Thrombosis Presenting as Simultaneous Intracerebral Hemorrhage.,"Jiménez-Ruiz, Amado; Aguilar-Fuentes, Victor; Benavides-Gómez, Fernando; Ruiz-Sandoval, José Luis",Jiménez-Ruiz,"A 37-year-old pregnant woman presented to the emergency department with central facial palsy, ipsilateral right hemiparesis, and seizures. Brain Computed Tomogram (CT) showed intracerebral hemorrhage (ICH) and bilateral frontal edema. Magnetic resonance imaging (MRI) revealed multifocal hemorrhages consistent with a diagnosis of multiple simultaneous ICH (MSICH) (Figure 1). We suspected cerebral venous thrombosis (CVT) and performed a MR angiogram confirming this diagnosis (Figure 2). Upon admission, the patient was treated with low-molecular-weight heparin and transitioned to direct oral anticoagulation at discharge. Non traumatic MSICH is a rare imaging finding with high mortality, usually arterial in origin (1). However, since treatment options vary, cerebral venous thrombosis should always be considered in the differential diagnosis, especially in young female patients with known risk factors, such as pregnancy and puerperium (2-4). MRI modalities (Echo-GRE) are valuable tools in identifying ICH when CT is inconclusive (5).",{},,Acta neurologica Taiwanica,,,,Case Reports; Journal Article,China (Republic : 1949- ),eng
16902347,Cystic meningioangiomatosis.,"Kobayashi, Hiroyuki; Ishii, Nobuaki; Murata, Jun-Ichi; Saito, Hisatoshi; Kubota, Kanako C; Nagashima, Kazuo; Iwasaki, Yoshinobu",Kobayashi,"A case of cerebral meningioangiomatosis with rare cyst formation is reported. A 14-year-old boy without any stigmata of neurofibromatosis type 2 presented intractable complex partial and generalized seizures since the age of 12 years. Neuroradiological studies showed an abnormal cystic mass with calcification in the left frontal lobe of the cerebrum. The tumor was located in the leptomeninges and cerebral cortex. The patient underwent surgical treatment because medical treatment with phenytoin and sodium valproate was not sufficient to control the seizures. An intraoperative electrocorticogram revealed that epileptic foci were recorded from the cortex, which was adjacent to the lesion. Histopathology showed specific features of meningioangiomatosis with meningioma-like nodules. The patient did not have any seizures with anticonvulsants after surgery. It is important to distinguish meningioangiomatosis from other possible cortical lesions and epileptic foci should be carefully considered before resection, because it is a benign and surgically manageable cause of seizures.",{},,Pediatric neurosurgery,10.1159/000094071,,,Case Reports; Journal Article,Switzerland,eng
30327930,Perfusion-CT imaging in epileptic seizures.,"Strambo, Davide; Rey, V; Rossetti, A O; Maeder, Ph; Dunet, V; Browaeys, P; Michel, P",Strambo,"PCT is used in the diagnosis of acute neurological syndromes, particularly stroke. We aimed to evaluate PCT abnormalities in patients with acute epileptic seizures or status epilepticus (SE). We collected patients undergoing acute PCT for the suspicion of acute ischemic stroke (AIS), who received a final diagnosis of focal seizures or generalised seizures with a post-ictal deficit, with or without concomitant AIS. PCTs were retrospectively analysed for the presence of hyper- and hypoperfusion, and results correlated with delay from seizure onset, aetiology, type of seizures and the presence of electrical SE. Half of the 43 consecutively identified patients had regional PCT abnormalities-hyperperfusion in 13 (30%) and hypoperfusion in 8 (19%)-and 4 (9%) had AIS. Among patients with hyperperfusion, six (46%) had a focal deficit during imaging acquisition (two a normal clinical status, one altered consciousness and four ongoing seizure); nine (69%) of these patients had a SE; none had a stroke. All patients with hypoperfusion had focal neurological deficit; three (37%) of them a simultaneous ischemic stroke (in the remaining five, hypoperfusion was considered to be related to the seizure post-ictal phase). In the 22 with normal perfusion, 9 had a focal deficit (10 a normal clinical status, 2 altered consciousness and 1 ongoing seizure); 3 had a SE, and 1 had a stroke. Patients with SE featured a higher prevalence of hyperperfusion (9/13 [69%] vs. 4/30 [13%] without SE, p = 0.00). In patients with acute epileptic seizures, regional hyperperfusion on PCT may suggest an ongoing or recently resolved SE, whereas hypoperfusion may be due to post-ictal state or simultaneous AIS. These observations might help attributing focal deficits to epileptic seizures rather than stroke, allowing for targeted therapy.","DictElement({'Year': '2018', 'Month': '10', 'Day': '16'}, attributes={'DateType': 'Electronic'})",2018,Journal of neurology,10.1007/s00415-018-9095-1,,Epilepsy; Perfusion imaging; Stroke,Case Reports; Journal Article,Germany,eng
33766281,Man With Seizure.,"Canakci, Mustafa Emin; Erdem, Sevinc; Jafarova, Ulviyyat; Acar, Nurdan; Ozdemir, Atilla Ozcan",Canakci,,{},,Annals of emergency medicine,10.1016/j.annemergmed.2020.09.009,,,Case Reports; Journal Article; Video-Audio Media,United States,eng
12580716,Callosal neglect.,"Heilman, Kenneth M; Adams, David J",Heilman,"According to the interhemispheric inhibition model of neglect, the uninjured hemisphere inhibits (via the corpus callosum) the injured hemisphere but the injured hemisphere can no longer inhibit the opposite hemisphere, which becomes hyperactive and produces an ipsilesional attentional bias. Alternatively, according to the compensation hypothesis, the uninjured hemisphere helps compensate for the damaged hemisphere, which is impaired in directing attention to contralateral stimuli. If the inhibition model of neglect is correct, callosal disconnection should reduce neglect. If the compensation model is correct, however, it may increase or induce neglect. A 32-year-old woman, at age 14 years, developed a right frontal astrocytoma and was treated with surgery and radiation but had a cardiopulmonary arrest secondary to aspiration. Subsequent imaging studies revealed damage to the frontal, parietal, and occipital regions of the right hemisphere and damage to the temporal region of the left hemisphere. After discharge, she was able to return to school and drive a car, without any evidence of neglect. About 10 years later, she developed complex partial and atonic seizures that were multifocal and medically intractable. She underwent a complete section of her corpus callosum at age 31 years. One year after the callosal section, she demonstrated (1) diminished spontaneous saccades to the left, hypometric leftward saccades, and left gaze impersistence; (2) left arm hemispatial limb akinesia; (3) unilateral spatial neglect; and (4) motor and cognitive impersistence. In patients with right hemisphere injury, callosal section may induce or enhance motor-intentional deficits and hemispatial neglect.",{},,Archives of neurology,10.1001/archneur.60.2.276,,,"Case Reports; Journal Article; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, U.S. Gov't, P.H.S.",United States,eng
32701371,Appearance of cerebellar cyst following microvascular decompression to treat hemifacial spasm: a report of two cases and literature review.,"Cui, Yu; Yang, Zhong-Xi; Wang, Chun-Mei; Zhu, Zhan-Peng",Cui,"Microvascular decompression (MVD) is an effective and safe approach for treating hemifacial spasm (HFS). Postoperative complications may include facial nerve palsy, hearing loss, intracerebral haematoma, and brainstem infarction. The occurrence of intracranial cyst following MVD is extremely rare, with few cases documented in the literature. Herein, the cases of two patients with HFS who developed ipsilateral cerebellar cyst following MVD are reported. The first patient was a 50-year-old male presenting with a 6-year history of HFS on the right side of his face. MVD was performed, and 12 days postoperatively he developed dizziness and nausea. Magnetic resonance imaging (MRI) showed a cyst in the ipsilateral cerebellum. Antibiotic treatment provided no benefit, and the cyst was drained. The second patient was a 44-year-old female presenting with a 4-year history of HFS on the right side of her face. MVD was performed, and 18 days following surgery, she developed dizziness and nausea. MRI showed an ipsilateral cerebellar cyst. Conservative treatment was applied and the cyst shrunk. At the 2-month follow-up appointment, symptoms were completely resolved in both patients. Cerebellar cyst is a rare complication following MVD. Timely diagnosis and appropriate treatment should be emphasized, and surgical treatment may be unnecessary.",{},,The Journal of international medical research,10.1177/0300060520932118,PMC7378725,Hemifacial spasm; cerebellar cyst; microvascular decompression,Case Reports; Journal Article; Review,England,eng
32503537,Meningioma and associated cerebral infarction in three dogs.,"Frank, Lisa; Burigk, Laura; Lehmbecker, Annika; Wohlsein, Peter; Schütter, Alexandra; Meyerhoff, Nina; Tipold, Andrea; Nessler, Jasmin",Frank,"In dogs, meningiomas mostly cause chronic progressive clinical signs due to slow tumor growth. In contrast, three dogs were presented with the history of chronic generalized tonic-clonic seizures and peracute deterioration with sudden onset of neurological deficits in accordance with an extensive unilateral forebrain lesion. Magnetic resonance imaging examinations of the dogs revealed a well-delineated extraaxial T2W hyperintense mass in the rostral forebrain with homogeneous contrast enhancement. Additionally, an intraaxial, well-demarcated, unilateral lesion was apparent in the parenchyma supplied by the middle cerebral artery. In two cases, necropsy revealed meningothelial meningioma in the rostral fossa and marked eosinophilic neuronal necrosis, a sign of ischemia, focal malacia, edema and gliosis in the temporal lobe and hippocampus because of a focal thrombosis of the middle cerebral artery. In the third case symptomatic treatment resulted in improvement of clinical signs enabling a good quality of life for the patient. In dogs with structural epilepsy caused by meningioma, acute deterioration of clinical signs can be associated with ischemic infarctions as a potential complication.","DictElement({'Year': '2020', 'Month': '06', 'Day': '05'}, attributes={'DateType': 'Electronic'})",2020,BMC veterinary research,10.1186/s12917-020-02388-2,PMC7275618,Canine; Dog; Focal ischemia; Infarction; Meningioma; Vascular,Case Reports; Journal Article,England,eng
35698888,Iatrogenic traumatic superficial temporal arteriovenous fistula development post-craniectomy: A case report.,"Kons, Zachary A; Vranic, Justin E; Dmytriw, Adam A; Regenhardt, Robert W; Patel, Aman B; Stapleton, Christopher J",Kons,"We report a case of superficial temporal arteriovenous fistula development following frontotemporoparietal hemicraniectomy. This patient presented with intracerebral hemorrhage (ICH) secondary to underlying arteriovenous malformation (AVM) rupture. Following decompressive hemicraniectomy and follow-up successful resection of the underlying AVM, the patient returned to the hospital with a seizure. Repeat angiography was performed, demonstrating no intracranial vascular lesion recurrence. However, an incidental superficial temporal arteriovenous fistula was identified, which was not visualized on initial angiography assessing the prior AVM. These lesions have been treated successfully in the past with surgical, endovascular, or combined approaches. As this patient was scheduled to undergo cranioplasty following AVM resection, the decision to occlude the fistula surgically was made. During cranioplasty, the fistula was identified as an engorged venous complex contiguous with the superficial temporal artery (STA) and was occluded. Follow-up angiography confirmed successful fistula occlusion and the patient has remained asymptomatic.","DictElement({'Year': '2022', 'Month': '06', 'Day': '14'}, attributes={'DateType': 'Electronic'})",2022,The neuroradiology journal,10.1177/19714009221108670,PMC9893161,Temporal artery; craniotomy; fistula; postoperative complications,Case Reports; Journal Article,United States,eng
