pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
34664637,"Seen by a Glance, But Not by a Stare-A Case Study of a Patient With Simultanagnosia.","Morihara, Keisuke; Higashiyama, Yuichi; Asano, Shiori; Matsunaga, Yuki; Takahashi, Keita; Miyake, Ryoko; Tanaka, Kenichi; Joki, Hideto; Doi, Hiroshi; Takeuchi, Hideyuki; Tanaka, Fumiaki",Morihara,"Simultanagnosia is a rare neuropsychological symptom characterized by difficulty recognizing global structures while preserving perception of local detail. The condition is classified into ventral and dorsal types. Clinical presentation of ventral simultanagnosia includes a reduced ability to recognize multiple visual stimuli rapidly, that is, part-by-part recognition. Here, we report a case of ventral simultanagnosia with a unique presentation; when short-duration visual stimuli were presented, the patient could perform global recognition by improving his part-by-part approach. To investigate the relationship between local and global perception bias and the duration of the present stimulus, we conducted a visual perception test using hierarchically organized Navon figures. The patient was a 62-year-old right-handed man who suffered from cerebral infarction in the right occipitotemporal lobe. He had no language dysfunction but exhibited left unilateral neglect, prosopagnosia, and ventral-type simultanagnosia. We conducted a visual perception test using the Navon figures and control figures as a visual stimulus. We randomly presented the figures for intervals of 0.2 or 20 s and let the patient report all the letters (global and/or local element) that he recognized. Global elements of the Navon letter were recognized a rate of 0% and 78.3% at intervals of 20 and 0.2 s, respectively, indicating that shorter presentation made the part-by-part approach less likely to manifest. We assumed that the simultanagnosia in this case was caused by failure to maintain the initially perceived global information for a long period of time during visual presentation, due to right occipitotemporal damage.",{},,Archives of clinical neuropsychology : the official journal of the National Academy of Neuropsychologists,10.1093/arclin/acab088,,Case report; Hierarchical letter; Navon letter; Presentation time; Simultanagnosia,Case Reports; Journal Article,United States,eng
6244876,Word-form dyslexia.,"Warrington, E K; Shallice, T",Warrington,"In this study we have reported our investigation of two patients with an acquired dyslexia characterized by letter-by-letter reading, whole word reading being apparently impossible. It has been shown that this phenomenon of letter-by-letter reading cannot be accounted for by visual or perceptual factors nor by impairment of visual span of apprehension. The exceptionally slow speed of reading was documented and a clear relationship between word length and reading speed established. Performance on tasks considered to maximize whole word reading which at the same time prevent the possibility of letter-by-letter reading, namely, reading script and reading with tachistoscopic presentation, was impaired. The satisfactory performance of these two patients on tasks of picture interpretation suggests that the two components of the syndrome simultanagnosia, letter-by-letter reading and piecemeal perception of complex scenes, are dissociable. Three alternative explanations of letter-by-letter reading are considered and we conclude that in this type of acquired dyslexia there is damage to the system through which a visual word-form is attained.",{},,Brain : a journal of neurology,10.1093/brain/103.1.99,,,Case Reports; Journal Article,England,eng
16909634,Dorsal simultanagnosia: An impairment of visual processing or visual awareness?,"Jackson, Georgina M; Shepherd, Tracy; Mueller, Sven C; Husain, Masid; Jackson, Stephen R",Jackson,"When presented with two objects patients with simultanagnosia show a marked impairment at naming both items. This has led many authors to conclude that the second item is not being processed (e.g., Robinson, 2003). However, this deficit may instead reflect a deficit with explicit, or conscious report. We investigated this issue using a semantic priming paradigm that allowed us to assess implicit processing of the second ""unseen"" item. We presented a patient, with bilateral parietal damage, with pairs of pictures that were either from the same or a different semantic category. The patient was asked to either classify one of the pictures or to name both pictures. When the items were from different categories the patient's classification performance was significantly poorer than when they were from the same category, even though he could rarely explicitly report both items. These findings are consistent with the notion that the meaning of the ""unseen"" item influenced the reporting of the ""seen"" item. Consequently, the deficit seen in this patient does not seem to reflect an inability to process more than one item simultaneously but rather a deficit in explicitly identifying multiple items.",{},,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/s0010-9452(08)70412-x,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",Italy,eng
19120445,Perception of global gestalt by temporal integration in simultanagnosia.,"Huberle, Elisabeth; Rupek, Paul; Lappe, Markus; Karnath, Hans-Otto",Huberle,"Patients with bilateral parieto-occipital brain damage may show intact processing of individual objects, while their perception of multiple objects is disturbed at the same time. The deficit is termed 'simultanagnosia' and has been discussed in the context of restricted visual working memory and impaired visuo-spatial attention. Recent observations indicated that the recognition of global shapes can be modulated by the spatial distance between individual objects in patients with simultanagnosia and thus is not an all-or-nothing phenomenon depending on spatial continuity. However, grouping mechanisms not only require the spatial integration of visual information, but also involve integration processes over time. The present study investigated motion-defined integration mechanisms in two patients with simultanagnosia. We applied hierarchical organized stimuli of global objects that consisted of coherently moving dots ('shape-from-motion'). In addition, we tested the patients' ability to recognize biological motion by presenting characteristic human movements ('point-light-walker'). The data revealed largely preserved perception of biological motion, while the perception of motion-defined shapes was impaired. Our findings suggest separate mechanisms underlying the recognition of biological motion and shapes defined by coherently moving dots. They thus argue against a restriction in the overall capacity of visual working memory over time as a general explanation for the impaired global shape recognition in patients with simultanagnosia.",{},,The European journal of neuroscience,10.1111/j.1460-9568.2008.06559.x,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",France,eng
31856545,Simultanagnosia as a cause of visual disturbance following Posterior Reversible Encephalopathy Syndrome (PRES): A case report.,"Pehere, Niranjan K; Dutton, Gordon N; Mankad, Kshitij",Pehere,"Simultanagnosia resulting from dorsal stream dysfunction is an under recognized condition. In this case report we describe the case of a young woman who developed posterior reversible encephalopathy syndrome (PRES), and who recovered visual acuities of 20/20 in each eye, along with normal visual fields and contrast sensitivities, yet experienced persistent symptoms of perceptual dysfunction. Detailed and systematic history taking revealed consistent visual difficulties typical of dorsal stream dysfunction. After a detailed explanation of her symptomatology and training in a range of strategies to cope, the patient experienced a great improvement in her day-to-day functioning.",{},,Indian journal of ophthalmology,10.4103/ijo.IJO_807_19,PMC6951156,Balint syndrome; neuro-rehabilitation; posterior reversible encephalopathy syndrome; simultanagnosia,Case Reports,India,eng
20170667,Retinal versus physical stimulus size as determinants of visual perception in simultanagnosia.,"Huberle, Elisabeth; Driver, Jon; Karnath, Hans-Otto",Huberle,"Patients with simultanagnosia following bilateral parieto-temporo-occipital brain damage show a characteristic impairment of global gestalt perception, while their perception of individual objects or elements remains intact. For instance, when shown 'hierarchical' stimuli comprising a larger global object (e.g. a large letter) made up from smaller components (e.g. multiple small letters), they typically report seeing one of the smaller components but not the global figure. Recent work on simultanagnosia revealed that global perception can be improved if local element spacing is reduced. However, it is still unclear whether the retinal separation or the physical (post-size-constancy) spatial separation is critical. Here, we presented various hierarchical global/local letter stimuli at different viewing distances and sizes to separate the impacts of retinal versus physical size. Our findings indicate a key role for visual angle in determining simultanagnosic perception. We observed that not only retinal spacing (in terms of visual angle) between local elements had a major impact on global perception in simultanagnosia, but also the physical size of the separation between local elements, provided that binocular cues to viewing distance were available. The results indicate both pre-size-constancy retinal influences and binocular-post-constancy influences upon conscious perception in simultanagnosia.","DictElement({'Year': '2010', 'Month': '02', 'Day': '16'}, attributes={'DateType': 'Electronic'})",2010,Neuropsychologia,10.1016/j.neuropsychologia.2010.02.013,PMC2877877,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",England,eng
26368835,Double Disassociation of Anosognosia for Alexia and Simultanagnosia but Quantitative Awareness of Optic Ataxia.,"Williams, Reed C; Patira, Riddhi; Altschuler, Eric L",Williams,"A 66-yr-old man with a history of atrial fibrillation and a pacemaker developed sudden onset confusion, disorientation, and visual disturbance without motor weakness. Clinically, significant deficits were found in reading (alexia) and simultaneous multiobject perception (simultanagnosia), both of which the patient denied limitation in, and in vision-right hemianopsia-which he readily acknowledged. Visual acuity in the left visual field was normal. The patient also demonstrated a symptom of optic ataxia-a lack of coordination between visual inputs and hand movements-a deficit he also acknowledged. Work-up with computed topography revealed a left posterior cerebral artery infarct affecting the occipital lobe and extending to involve the parietal lobe and the splenium of the corpus callosum. The authors describe and discuss this fascinating case-the first case to their knowledge of a double disassociation of anosognosia for alexia and simultanagnosia but full, indeed quantitative, awareness of hemianopsia and optic ataxia. This case may be informative on the mechanism of anosognosia in general and supports intentional feed-forward and exemplar reafference models. With regard to the rehabilitation process, appreciation that a patient has anosognosia for various deficits is crucial in recovery and health maintenance.",{},,American journal of physical medicine & rehabilitation,10.1097/PHM.0000000000000380,,,Case Reports; Journal Article,United States,eng
3715715,Seeing but not recognizing.,"Trobe, J R; Bauer, R M",Trobe,"Visual recognition disturbances are caused by lesions that affect visual cortex as well as white matter connections between visual cortex and temporal and parietal cortex. Homonymous visual field defects are often present but do not explain the recognition difficulty. In ""alexia without agraphia"" (pure alexia), the intact right visual cortex is disconnected from the left parietal language center by a lesion in the splenium. In ""prosopagnosia,"" visual cortex is disconnected bilaterally from temporal cortex. In simultanagnosia, visual association cortex is damaged. The first condition is most commonly caused by left posterior cerebral artery occlusion, the second by bilateral posterior cerebral artery occlusion or head trauma, and the third by watershed infarction, tumors, abscesses, head trauma, leukoencephalopathies and Alzheimer's disease. When such disorders are suspected, the examiner should supplement the routine visual examination with suggested screening maneuvers.",{},,Survey of ophthalmology,10.1016/0039-6257(86)90065-2,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",United States,eng
17919075,Simultanagnosia: when a rose is not red.,"Coslett, H Branch; Lie, Grace",Coslett,"Abstract Information regarding object identity (""what"") and spatial location (""where/how to"") is largely segregated in visual processing. Under most circumstances, however, object identity and location are linked. We report data from a simultanagnosic patient (K.E.) with bilateral posterior parietal infarcts who was unable to ""see"" more than one object in an array despite relatively preserved object processing and normal preattentive processing. K.E. also demonstrated a finding that has not, to our knowledge, been reported: He was unable to report more than one attribute of a single object. For example, he was unable to name the color of the ink in which words were written despite naming the word correctly. Several experiments demonstrated, however, that perceptual attributes that he was unable to report influenced his performance. We suggest that binding of object identity and location is a limited-capacity operation that is essential for conscious awareness for which the posterior parietal lobe is crucial.",{},,Journal of cognitive neuroscience,10.1162/jocn.2008.20002,,,Case Reports; Journal Article,United States,eng
27331070,Post-Traumatic Balint's Syndrome: A Case Report and Review of the Literature.,"Moscote-Salazar, Luis Rafael; Calderon-Miranda, Willem Guillermo; Carmona-Meza, Zenen Antonio; Alvis-Miranda, Hernando Raphael; Churio, Nasly Zabaleta; Alcalá-Cerra, Gabriel; M Rubiano, Andrés",Moscote-Salazar,"Balint’s syndrome is a rare neurological disorder associated with bilateral parieto-occipital damage which was described by Rezsö Bálint in 1909.The syndrome is manifested clinically by the presence of a hemispatial negligence. The lesion is usually inside parietooccipital region bilaterally in most cases but may also be compromised angular convolutions, the dorsolateral area of the occipital lobe as the superior parietal lobule. We herein report a 61-year-old man with traumatic brain injury who was diagnosed to have right parieto-occipital contusion in radiologic evaluation. Physical examination was consistent with Balint's syndrome. The patient was followed for 12 months post-injury and received 4-months of outpatient rehabilitation. Patient showed improvement of Balint’s syndrome 8 months after the starts of symptoms.",{},,Bulletin of emergency and trauma,,PMC4897994,Balint’s syndrome; Cerebral contusion; Oculomotor; Optic ataxia; Simultanagnosia,Case Reports,Iran,eng
