pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
34694463,Isolated post-traumatic astereognosis: a case-based review.,"Khormi, Yahya H; Atteya, Mostafa M E",Khormi,"Astereognosis is the tactile inability to recognize objects placed in the palms by touch with the eyes closed or blind-folded in the presence of intact primary sensory modalities. Stereognosis is usually considered a function of the contralateral sensory cerebral cortex. However, lesions of several anatomic areas and pathologic entities have been reported to be associated with astereognosis. Only two previous reports linked traumatic injury to isolated astereognosis: following surgical evacuation of traumatic parietal extradural hematoma and following bullet injury in the neck in 1992 and 1919, respectively. All the pertinent literature was analyzed, focusing on the relevant definitions, clinical spectra, pathoanatomical processes, assessment, management, and outcomes of astereognosis. Also, an illustrative case was presented. The case highlights isolated post-traumatic left hand astereognosis in a 17-year-old boy following a blunt trauma to the head which resulted in a non-hemorrhagic contusion of the right post-central gyrus. Post-traumatic isolated astereognosis is a rare and probably underreported sequel of traumatic brain injury. Neurosurgeons need to be more sensitive to the assessment and detection of subtle stereognostic deficits in general and in trauma patients in particular. Other anatomical areas, in addition to the contralateral post-central gyrus, may be considered in the pathogenesis of astereognosis with the involvement of the dorsal column medial lemniscus tract such as the brainstem, foramen magnum, and the cervical spinal cord. To the best of our knowledge, this rare case report is considered the second report on astereognosis following head trauma, and the third report on astereognosis following trauma in general.","DictElement({'Year': '2021', 'Month': '10', 'Day': '25'}, attributes={'DateType': 'Electronic'})",2021,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,10.1007/s00381-021-05392-5,,Astereognosis; Morphognosia; Post-central gyrus; Stereoanesthesia; Tactile agnosia; Traumatic brain injury,Case Reports; Journal Article; Review,Germany,eng
225955,Visuospatial dysgnosia.,"Cogan, D G",Cogan,"Spatial dysgnosia may occur in patients with various forms of brain disease, including tumors, vascular accidents, Alzheimer's disease, multiple sclerosis, and developmental aberrations. Patients with lesion in the nondominant hemisphere, particularly at the junction of the occipito-temporoparietal regions, may manifest predominantly visuospatial dysgnosia--a loss of the sense of ""whereness"" in the relation of himself to his environment and in the relation of objects to each other. Visuospatial disturbances caused by lesions in the dominant hemisphere may be masked by other gnostic symptoms. Patients with more extensive lesions, especially those involving similar areas in both hemispheres, may also exhibit other cognitive disturbances associated with vision.",{},,American journal of ophthalmology,10.1016/0002-9394(79)90634-2,,,Case Reports; Journal Article,United States,eng
11197801,Parietal cheiro-oral syndrome.,"Yasuda, Y; Watanabe, T; Ogura, A",Yasuda,"Cheiro-oral syndrome due to a parietal lesion has been reported in conjuction with a brain tumor, infarction and migraine. Only six reports of cheiro-oral syndrome due to a parietal infarction have been reported to date. We treated a 45-year-old woman with cheiro-oral syndrome due to a parietal infarction. Her sensory disturbance was characterized by paresthesia in the lower face and hand on the left side, and severe involvement of stereognosis and graphesthesia in the left hand. The pathogenesis of parietal cheiro-oral syndrome is discussed.",{},,"Internal medicine (Tokyo, Japan)",10.2169/internalmedicine.39.1105,,,Case Reports; Journal Article; Review,Japan,eng
31462163,A shrunken world - micropsia after a right occipito-parietal ischemic stroke.,"Van Den Berg, Nils S; Huitema, Rients B; Spikman, Jacoba M; Van Laar, Peter Jan; De Haan, Edward H F",Van Den Berg,"Micropsia is a rare condition in which patients perceive the outside world smaller in size than it actually is. We examined a patient who, after a right occipito-parietal stroke, subjectively reported perceiving everything at seventy percent of the actual size. Using experimental tasks, we confirmed the extent of his micropsia at 70%. Visual half-field tests showed an impaired perception of shape, location and motion in the left visual field. As his micropsia concerns the complete visual field, we suggest that it is caused by a higher-order compensation process in order to reconcile the conflicting information from the two hemifields.","DictElement({'Year': '2019', 'Month': '08', 'Day': '28'}, attributes={'DateType': 'Electronic'})",2019,Neurocase,10.1080/13554794.2019.1656751,,Micropsia; metamorphopsia; neuropsychology; occipito-parietal infarction; visual perceptual impairment,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",England,eng
2377286,Facial neglect.,"Young, A W; de Haan, E H; Newcombe, F; Hay, D C",Young,"Following a stroke, a retired industrial chemist, K.L., complained that faces looked ""different"" and had become difficult to recognize. Investigation of this problem revealed that it particularly affected the left half of a face as seen by K.L. Defective recognition of this (left) half was found for normal faces, chimaeric faces, and for half-faces presented in isolation, whether upright or inverted. The problem was apparent for both internal and external facial features. Further studies with chimaeric faces demonstrated inattention to left-side features in K.L.'s judgements of facial expression and of resemblance between faces. Moreover, the left-half of a chimaeric face was affected even when it was itself forming part of the face positioned on the right in a display of two horizontally aligned chimaerics. K.L.'s spatial contrast sensitivity function was within normal limits for his age. He did not experience differential difficulty in recognizing the left side of everyday objects or of car-fronts (another stimulus class demanding within-category discrimination between visually similar items that display approximate left-right symmetry). He was also able to sort left or right half-stimuli correctly into the categories ""human face"", ""dog face"", or ""tree"". Although K.L. had a left visual field defect, the problem with faces occurred within otherwise intact parts of his field of vision. We suggest that his disorder can be considered a domain-specific form of unilateral neglect.",{},,Neuropsychologia,10.1016/0028-3932(90)90068-y,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",England,eng
34508512,Pituitary Apoplexy Complicated by Cerebral Infarction: A Case Report.,"Pokhrel, Biraj; Khanal, Shambhu; Chapagain, Parikshit; Sedain, Gopal",Pokhrel,"Cerebral infarction is a rare complication of pituitary apoplexy, which can result in significant morbidity if not treated on time. Pituitary apoplexy mostly occurs in pre-existing adenoma, which can remain undiagnosed until symptoms arise. Here, we present a case of a 26-year-old man with undiagnosed acromegaly who presented with left retro-orbital pain, diminished vision of the left eye, and right hemiparesis. Neuroimaging revealed large hemorrhagic sellar mass and ischemic infarction in the left middle cerebral artery territory. Emergency transcranial tumor excision was done, which resulted in significant neurological recovery.","DictElement({'Year': '2021', 'Month': '07', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2021,JNMA; journal of the Nepal Medical Association,10.31729/jnma.6120,PMC9107860,,Case Reports; Journal Article,Nepal,eng
894320,Topographical amnesia.,"De Renzi, E; Faglioni, P; Villa, P",De Renzi,"The ability to learn to criterion a visually-guided stylus maze was found impaired in patients with right posterior cerebral damage, not only in comparison with controls but also with other hemisphere-damaged groups. The contribution of the corresponding left sided area to this task is dubious, and certainly not substantial. This finding points to the independent organisation of long-term spatial memory in the right posterior cerebral cortex, an inference that was further supported by the study of two cases. The first was a female patient with right temporo-parietal softening (as suggested by clinical, EEG, and brain scan data) who showed topographical amnesia and inability to learn the visual maze over 275 trials. On an extensive battery of tests she was found free from disorders of space perception, and from verbal and visual memory impairment. The second was a patient presenting with severe global amnesia who, nevertheless, had no difficulty in route finding, and reached the criterion on the maze in 31 trials.",{},,"Journal of neurology, neurosurgery, and psychiatry",10.1136/jnnp.40.5.498,PMC492725,,Case Reports; Journal Article,England,eng
33229488,Unilateral spatial neglect.,"Shimizu, Taro; Abe, Tomoya; Akasaki, Yasutoshi; Kamiishi, Hideaki",Shimizu,,"DictElement({'Year': '2020', 'Month': '11', 'Day': '23'}, attributes={'DateType': 'Electronic'})",2020,BMJ case reports,10.1136/bcr-2020-239770,PMC7684669,neuroimaging; neurology,Case Reports; Journal Article,England,eng
38406985,Neglecting the bottom space: an object-based disorder? A two-case observational study.,"Martin, Jennifer; Vuilleumier, Patrik; Assal, Frédéric; Ronchi, Roberta",Martin,"Altitudinal neglect is an atypical form of spatial neglect where brain-damaged patients neglect the lower, or sometimes the upper, part of the space. Our understanding of this phenomena is limited, with unknown occurrence across different reference frames, such as distance (peripersonal vs. extrapersonal) and system of reference (egocentric vs. allocentric). Two patients with acute bilateral (P1) or right hemispheric (P2) stroke, with signs of bottom altitudinal neglect, underwent an extensive evaluation of neglect within 10 days post-stroke. Assessments involved altitudinal neglect and unilateral spatial neglect (USN) in peripersonal space, exploring egocentric and allocentric signs and in extrapersonal space. Compared to a control group of 15 healthy age-matched subjects, patients showed allocentric and egocentric left USN in peripersonal space, and mostly allocentric signs of altitudinal neglect. No signs of neglect were evidenced in extrapersonal space. Altitudinal neglect could thus present as an allocentric form of spatial neglect, suggesting that allocentric representations may not only affect the deployment of attentional resources along horizontal dimensions but also operate along vertical dimensions. Future studies should deepen our understanding of altitudinal neglect, eventually leading to further unravel spatial processes that control attention, their corresponding brain mechanisms, and implications for patients' rehabilitation and functional outcome.","DictElement({'Year': '2024', 'Month': '02', 'Day': '26'}, attributes={'DateType': 'Electronic'})",2024,Neurocase,10.1080/13554794.2024.2315860,,Spatial neglect; allocentric and egocentric reference; altitudinal neglect; spatial processing; stroke,Journal Article; Case Reports; Observational Study,England,eng
7091286,Prosopagnosia.,"Kay, M C; Levin, H S",Kay,"Three patients with prosopagnosia, and acquired inability to recognize familiar faces usually resulting from cerebrovascular insufficiency, had left-sided visual field defects and color vision abnormalities of central origin. Prosopagnosia, although clinically associated with posterior right hemispheric disease in most cases, represents a disconnection of both occipital poles from the final processing center for facial recognition in the right temporal lobe. This problem can profoundly affect everyday activities requiring visual recognition.",{},,American journal of ophthalmology,10.1016/0002-9394(82)90194-5,,,Case Reports; Journal Article,United States,eng
