pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
28513323,Modulation of somatoparaphrenia following left-hemisphere damage.,"D'Imperio, Daniela; Tomelleri, Giampaolo; Moretto, Giuseppe; Moro, Valentina",D'Imperio,"Somatoparaphrenic symptoms after left-hemisphere damage are rare. To verify the potential role of body-related sensory (proprioceptive, visual, and somatosensory) manipulation in patients experiencing sensations of hand disownership, the symptoms of a patient suffering from right-hand somatoparaphrenia were monitored and clinical and neuropsychological variables were controlled. Four types of manipulation were administered: changes in spatial position of the hand, multisensory stimulation, and self-observation using video or mirrors. Multisensory visuo-tactile stimulation was efficacious in terms of reducing somatoparaphrenia, and changes in the position of the hand produced some positive effects. Third-person perspective self-observation did not, however, result in any changes.","DictElement({'Year': '2017', 'Month': '05', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2017,Neurocase,10.1080/13554794.2017.1329444,,Disturbed sensation of limb ownership; Gertmann’s syndrome; body awareness; rehabilitation; somatoparaphrenia after a left-hemisphere lesion,Case Reports; Journal Article,England,eng
25300957,"""Crossed"" somatoparaphrenia: an unusual new case and a review of the literature.","Perren, Fabienne; Heydrich, Lukas; Blanke, Olaf; Landis, Theodor",Perren,"Somatoparaphrenia is a delusional misidentification and confabulation of body parts, usually arm or hand, opposite to a cerebral lesion, generally of the ""minor"" right hemisphere. There is some controversy concerning lesion site (fronto-parietal; parieto-temporal; posterior insula, additional subcortical nuclei) or necessary associated symptoms (hemiparesis/plegia, anosognosia, neglect, position sense deficit). We here present a patient who is unusual in many respects, that is: (1) he is a right-hander with somatoparaphrenia after a ""dominant"" left-hemisphere lesion associated with aphasia and ideo-motor apraxia, but also with right hemineglect. He thus has ""crossed"" somatoparaphrenia; (2) his delusional misidentification concerned the right leg and not the arm or hand; (3) he has no anosognosia; (4) his proprioception is disturbed for the leg only; and (5) the lesion site is very posterior, a left occipito-parietal haemorrhage without involvement of the frontal lobe or the posterior insula. We present this case together with the seven other cases of ""crossed somatoparaphrenia"" with and without aphasia we found since 1935 in the literature and discuss their relevance in relation to the above controversies.","DictElement({'Year': '2014', 'Month': '10', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2014,Experimental brain research,10.1007/s00221-014-4101-z,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't; Review",Germany,eng
34258945,Rehabilitation of somatoparaphrenia with misoplegia: insights from a single case-pilot study.,"Maggio, Maria Grazia; Naro, Antonino; Calatozzo, Patrizia; Rosa, Gianluca La; Porcari, Bruno; Latella, Desiree; Marzullo, Pietro; Calabrò, Rocco Salvatore",Maggio,"Somatoparaphrenia lacka ownership of a paralyzed limb, i.e., the illusion that one's limbs belong to someone else. Somatoparaphrenia is one of the many forms of body misperceptions. We report a case of somatoparaphrenia with misoplegia, characterized by the absence of anosognosia for hemiplegia and personal neglect, following a surgical operation for left parietal meningioma. The patient received a novel multidisciplinary treatment, including motor rehabilitation training, traditional physiotherapy and robotic rehabilitation using the Hunova Movendo Technology and psychological counseling. At the end of the training, the patient improved in global cognitive functioning, mood, motor abilities, and the perception of herself and her body, reducing the sense of estrangement and repulsion in the lower right limb. Our result showed the importance of a specific neuropsychological assessment in patients with parietal brain lesions and the usefulness of an integrated psychological and motor approach in rehabilitating patients with somatoparaphrenia, primarily when associated with misoplegia.",{},,Journal of integrative neuroscience,10.31083/j.jin2002046,,Anosognosia; Body representation; Psychological counseling; Robotic device; Robotic rehabilitation,Case Reports,Singapore,eng
26273743,The spatial side of somatoparaphrenia: a case study.,"Salvato, Gerardo; Gandola, Martina; Veronelli, Laura; Agostoni, Elio Clemente; Sberna, Maurizio; Corbo, Massimo; Bottini, Gabriella",Salvato,"The perception of the bodily self in space is a composite cognitive function requiring a dynamic integrated brain mechanism. Somatoparaphrenia (SP), a delusional belief concerning the experienced disownership for the contralesional paralyzed arm, represents the disruption of such mechanism. In two experiments, we have investigated the alteration of limb disownership after spatial manipulations in a right-brain-damaged patient affected by chronic SP. In experiment 1 the patient's spatial attention was switched between the left and right sides of space. SP signs worsened when the patient was interviewed from the left compared to the right bedside. In the second experiment we showed the first systematic transient remission of SP using left caloric vestibular stimulation (CVS), a physiologic manipulation mainly acting on the spatial frame of reference. Taken together, these results shed further light on the spatial nuance of SP and on the importance of vestibular signals for the generation of a coherent body representation. Furthermore, our case study demonstrated the possibility of eliciting more severe SP signs if the patient is interviewed from the left bedside. Additionally, CVS applications may have an important impact on the rehabilitation of these symptoms.","DictElement({'Year': '2015', 'Month': '08', 'Day': '14'}, attributes={'DateType': 'Electronic'})",2015,Neurocase,10.1080/13554794.2015.1077257,,Somatoparaphrenia; caloric vestibular stimulation; right brain damage; space,Case Reports; Journal Article,England,eng
35696732,Reach planning with someone else's hand.,"Rossi Sebastiano, Alice; Poles, Karol; Miller, Luke E; Fossataro, Carlotta; Milano, Edoardo; Gindri, Patrizia; Garbarini, Francesca",Rossi Sebastiano,"To investigate the relationship between the sense of body ownership and motor control, we capitalized on a rare bizarre disorder wherein another person's hand is misattributed to their own body, i.e., a pathological form of embodiment (E+). Importantly, despite E+ is usually associated with motor deficits, we had the opportunity to test two E+ patients with spared motor function, thus able to perform a reaching task. Crucially, these patients had proprioceptive deafferentation, allowing us to purely isolate the embodiment-dependent effect from proprioception-dependent ones that are usually associated in experimental manipulations of body ownership in healthy participants. Previous evidence suggests that the reaching movement vector is attracted towards an embodied hand during the rubber hand illusion (RHI). However, these results are confounded by the spared proprioception, whose modulation alone could explain the effects on reach planning. The neuropsychological approach employed here provides unambiguous evidence about the role of body ownership in reach planning. Indeed, three brain-damaged patients with proprioceptive deafferentation, two E+ and a well-matched control patient without pathological embodiment (E-), and 10 age-matched healthy controls underwent a reaching task wherein they had to reach for a target from a fixed starting point, while an alien hand (the co-experimenter's) was placed on the table. Irrespective of proprioception, damaged in all patients, only in E+ patients reaching errors were significantly more shifted consistently with the pathological belief, i.e., as if they planned movements from the position of the alien (embodied) hand, as compared to controls. Furthermore, with an additional experiment on healthy participants, we demonstrated that reaching errors observed during the RHI correlate with the changes in ownership. In conclusion, our neuropsychological approach suggests that when planning a reach, we do so from where our owned hand is and not from its physical location.","DictElement({'Year': '2022', 'Month': '05', 'Day': '24'}, attributes={'DateType': 'Electronic'})",2022,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2022.05.005,,Body ownership; Motor planning; Pathological embodiment; Proprioception,"Case Reports; Research Support, Non-U.S. Gov't",Italy,eng
21969696,The role of self-touch in somatosensory and body representation disorders after stroke.,"van Stralen, H E; van Zandvoort, M J E; Dijkerman, H C",van Stralen,"Somatosensory impairments occur in about half of the cases of stroke. These impairments range from primary deficits in tactile detection and the perception of features, to higher order impairments in haptic object recognition and bodily experience. In this paper, we review the influence of active- and self-touch on somatosensory impairments after stroke. Studies have shown that self-touch improves tactile detection in patients with primary tactile deficits. A small number of studies concerned with the effect of self-touch on bodily experience in healthy individuals have demonstrated that self-touch influences the structural representation of one's own body. In order to better understand the effect of self-touch on body representations, we present an informal study of a stroke patient with somatoparaphrenia and misoplegia. The role of self-touch on body ownership was investigated by asking the patient to stroke the impaired left hand and foreign hands. The patient reported ownership and a change in affect over all presented hands through self-touch. The time it took to accomplish ownership varied, based on the resemblance of the foreign hand to the patient's own hand. Our findings suggest that self-touch can modulate impairments in body ownership and affect, perhaps by helping to reinstate the representation of the body.",{},,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",10.1098/rstb.2011.0163,PMC3172603,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't; Review",England,eng
23603022,Body ownership and attention in the mirror: insights from somatoparaphrenia and the rubber hand illusion.,"Jenkinson, Paul M; Haggard, Patrick; Ferreira, Nicola C; Fotopoulou, Aikaterini",Jenkinson,"The brain receives and synthesises information about the body from different modalities, coordinates and perspectives, and affords us with a coherent and stable sense of body ownership. We studied this sense in a somatoparaphrenic patient and three control patients, all with unilateral right-hemisphere lesions. We experimentally manipulated the visual perspective (direct- versus mirror-view) and spatial attention (drawn to peripersonal space versus extrapersonal space) in an experiment involving recognising one's own hand. The somatoparaphrenic patient denied limb ownership in all direct view trials, but viewing the hand via a mirror significantly increased ownership. The extent of this increase depended on spatial attention; when attention was drawn to the extrapersonal space (near-the-mirror) the patient showed a near perfect recognition of her arm in the mirror, while when attention was drawn to peripersonal space (near-the-body) the patient recognised her arm in only half the mirror trials. In a supplementary experiment, we used the Rubber Hand Illusion to manipulate the same factors in healthy controls. Ownership of the rubber hand occurred in both direct and mirror view, but shifting attention between peripersonal and extrapersonal space had no effect on rubber-hand ownership. We conclude that the isolation of visual perspectives on the body and the division of attention between two different locations is not sufficient to affect body ownership in healthy individuals and right hemisphere controls. However, in somatoparaphrenia, where first-person body ownership and stimulus-driven attention are impaired by lesions to a right-hemisphere ventral attentional-network, the body can nevertheless be recognised as one's own if perceived in a third-person visual perspective and particularly if top-down, spatial attention is directed away from peripersonal space.","DictElement({'Year': '2013', 'Month': '04', 'Day': '16'}, attributes={'DateType': 'Electronic'})",2013,Neuropsychologia,10.1016/j.neuropsychologia.2013.03.029,,,Case Reports; Journal Article,England,eng
31194981,The dynamic nature of the sense of ownership after brain injury. Clues from asomatognosia and somatoparaphrenia.,"Romano, Daniele; Maravita, Angelo",Romano,"The sense of ownership is the feeling that a body part belongs to ourselves. Brain damage may disrupt this feeling, leading to somatoparaphrenia (SP), i.e., the delusion that one's limbs belong to someone else. This delusional feeling is typically associated with profound motor and somatosensory deficits. We reviewed the cases of SP reported so far in the literature outlining the clinical and neuroanatomical profile of SP. We then investigated and reported three new peculiar cases of SP that allow new insights into the theoretical framework of this neuropsychological condition. We thus propose an innovative theoretical account that integrates previous evidence and the new cases described. We suggest that a defective update of the ongoing dynamic representation of the body finalised to perception and action, may be the key for the disownership feelings of patients with SP. The erroneous spatial representation of the limb contralateral to the lesion would have the logical consequence of delusional misattribution of the seen own arm.","DictElement({'Year': '2019', 'Month': '06', 'Day': '11'}, attributes={'DateType': 'Electronic'})",2019,Neuropsychologia,10.1016/j.neuropsychologia.2019.107119,,Body awareness; Body ownership; Body representation; Body schema; Right brain damage; Somatoparaphrenia,Case Reports; Journal Article,England,eng
34054464,Intentional Supernumerary Motor Phantom Limb after Right Cerebral Stroke: A Case Report.,"Yamada, Mai; Sasahara, Yoshimi; Seto, Makiko; Satoh, Akira; Tsujihata, Mitsuhiro",Yamada,"A 47-year-old right-handed man was admitted to our hospital for rehabilitation after right basal ganglion hematoma. On day 57, he noticed a supernumerary motor phantom limb (SPL) involving his right arm, originating at the level of the elbow. The most notable finding of his SPL was the motor characteristic. When the subject had the intention to move the upper paralyzed limb simultaneously with the trainer's facilitating action, he said ""there is another arm."" The intention to move the paralyzed arm alone or passive movement of the paralyzed arm did not induce the SPL. He showed a severe left sensorimotor impairment and mild hemineglect, but no neglect syndromes of the body (e.g., asomatognosia, somatoparaphrenia, personification and misoplegia, or anosognosia) were observed. Brain MRI demonstrated a hematoma in the right temporal lobe subcortex, subfrontal cortex, putamen, internal capsule, and thalamus. Single-photon emission computed tomography images showed more widespread hypoperfusion in the right hemisphere in comparison to the lesions on MRI. However, the premotor cortex was preserved. Our case is different from Staub's case in that SPL was not induced by the intention to move the paralyzed limb alone; rather, it was induced when the patient intended to move the paralyzed limb with a trainer's simultaneous facilitating action. The SPL may reflect that an abnormal closed-loop function of the thalamocortical system underlies the phantom phenomenon. However, despite the severe motor and sensory impairment, the afferent pathway from the periphery to the premotor cortex may have been partially preserved, and this may have been related to the induction of SPL.","DictElement({'Year': '2021', 'Month': '04', 'Day': '26'}, attributes={'DateType': 'Electronic'})",2021,Case reports in neurology,10.1159/000513302,PMC8138257,Intentional motor phantom limb; Premotor cortex; Stroke; Supernumerary phantom limb,Case Reports,Switzerland,eng
7781314,Unilateral somatoparaphrenia after right hemisphere stroke: a case description.,"Halligan, P W; Marshall, J C; Wade, D T",Halligan,"We report a case of somatoparaphrenia in a 41 year-old man after right temporo-parietal stroke. An elaborate system of delusional beliefs was observed concerning the initially paralysed left leg, arm, and hand. The course of these beliefs is analysed as the patient progresses from a full-blown delusional state to having excellent insight into his condition. We outline the types of explantation that seem required to understand how somatoparaphrenic beliefs can arise.",{},,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/s0010-9452(13)80115-3,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",Italy,eng
