pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
31228700,Status epilepticus in Hashimoto's encephalopathy.,"Ercoli, Tommaso; Defazio, Giovanni; Muroni, Antonella",Ercoli,"Hashimoto's encephalopathy is a non-infectious, probably autoimmune encephalitis, characterized by varied signs coupled with elevated levels of anti-thyroid antibodies and, often, good response to corticosteroid therapy. Seizures, namely focal and generalized tonic-clonic seizures, myoclonus, and status epilepticus, are frequent manifestations of Hashimoto's encephalopathy. Typically, seizures in these patients respond poorly to anti-epileptic drugs. Although cases of Hashimoto's encephalopathy with status epilepticus have been reported in literature, they vary in demographic, clinical, and treatment characteristics. We could not identify any systematic review summarizing the evidence in regard to factors predicting the occurrence of status epilepticus in Hashimoto's encephalopathy and the responsiveness of status epilepticus to anti-epileptic drugs, steroids and other immunomodulatory medication. Therefore, we performed an extensive review of the literature to identify and compare Hashimoto's encephalopathy patients presenting with and without status epilepticus. In 31 patients with status epilepticus and 104 patients without status epilepticus, thyroid status, anti-thyroid antibodies, cerebrospinal fluid analysis, brain MRI/CT/SPECT scan did not predict occurrence of status epilepticus of variable phenomenology. Status epilepticus did not respond to anti-epileptic drugs but completely remitted under steroid treatment, alone or in combination with other immunomodulatory medication, in about three quarter of patients. Generalized convulsive status epilepticus might be a factor negatively influencing outcome.","DictElement({'Year': '2019', 'Month': '06', 'Day': '13'}, attributes={'DateType': 'Electronic'})",2019,Seizure,10.1016/j.seizure.2019.06.020,,Hashimoto’s encephalopathy; Status epilepticus,Case Reports; Journal Article; Review,England,eng
35630076,Wernicke Encephalopathy Mimicking MELAS.,"Finsterer, Josef",Finsterer,"a stroke-like lesion, the morphological equivalent of a stroke-like episode and the hallmark of mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes (MELAS) syndrome, have not been reported as manifestations of thiamine deficiency. a 62-year-old man with a history of chronic alcoholism was admitted after a series of epileptic seizures. Upon waking up from the coma, he presented with disorientation, confusion, confabulation, psychomotor agitation, aggressiveness, right hemianopsia, aphasia, and right hemineglect over weeks. Electroencephalography showed a questionable focal status epilepticus over the left hemisphere, responsive to lorazepam and oxcarbazepine. Follow-up electroencephalographies no longer recorded epileptiform discharges. Cerebral magnetic resonance imaging (MRI) revealed T2-/diffusion weighted imaging (DWI) hyperintensity in the left occipito-temporal region that was not congruent to a vascular territory which persisted for at least nine weeks. Since a lactate-peak could be seen in this lesion by magnetic resonance-spectroscopy, this was interpreted as a stroke-like lesion. Since thiamine was reduced, the stroke-like lesion was attributed to thiamine deficiency after the exclusion of differential diseases, including MELAS and status epilepticus. The patient's behavioural and cognitive dysfunctions largely resolved upon vitamin-B1 substitution. the case suggests that thiamine deficiency presumably causes mitochondrial dysfunction with cerebrospinal fluid lactic acidosis and a stroke-like lesion mimicking MELAS syndrome. It should be further studied whether nutritional deficits, such as thiamine deficiency, could give rise to secondary stroke-like lesions.","DictElement({'Year': '2022', 'Month': '05', 'Day': '13'}, attributes={'DateType': 'Electronic'})",2022,"Medicina (Kaunas, Lithuania)",10.3390/medicina58050660,PMC9144475,Wernicke encephalopathy; lactic acidosis; spectroscopy; stroke-like episode; stroke-like lesion; thiamine deficiency,Case Reports,Switzerland,eng
30767896,Focal visual status epilepticus.,"Stephani, Caspar; Paulus, Walter; Focke, Niels K",Stephani,"Epileptic visual auras are elementary to complex and sometimes occur as colourful visual phenomena located close to or within the central part of the contralateral hemi-field. They typically last from seconds to a few minutes, which discriminates them from the usually longer-lasting visual auras (5-30 minutes) of patients suffering from migraine. We present an adult patient with occipital lobe epilepsy whose visual aura under epilepsy monitoring lasted for more than 30 minutes with almost no propagation, demonstrating a rare, but remarkable, sustained local epileptic network activity associated with resection of an occipital arterio-venous malformation.",{},,Epileptic disorders : international epilepsy journal with videotape,10.1684/epd.2019.1034,,arterio-venous malformation; epilepsy; migraine; occipital epilepsy; status epilepticus; visual aura,Case Reports; Journal Article,United States,eng
27056863,[Nonconvulsive Status Epilepticus].,"Mizobuchi, Masahiro",Mizobuchi,"Nonconvulsive status epilepticus (NCSE) is a type of status epilepticus (SE) lacking a predominant motor manifestation. The annual prevalence of NCSE is estimated to reach 10 to 20 cases in every 100,000 people. While almost half of all SE cases are nonconvulsive, there are several different types of NCSE: 1) epileptic absence SE, 2) epileptic focal seizure SE with consciousness disturbance (complex partial SE), 3) de novo NCSE of late onset, 4) NCSE due to acute brain injury or prolonged consciousness disturbance after convulsive SE. An electroencephalography (EEG) evaluation is necessary to diagnose NCSE. However, continuous EEG (cEEG) monitoring over at least 24 hours is preferable to detect NCSE, as cognitive disturbances due to this condition may fluctuate over time. In addition, neuroimaging techniques, such as MRI with arterial spin labeled sequences or single photon emission computed tomography (SPECT) can demonstrate hyperperfused areas in cases of focal onset. Thus, patients presenting with alternative cognitive disturbance with or without mild confusion should be evaluated using cEEG monitoring or blood flow imaging so as not to overlook treatable NCSE.",{},,Brain and nerve = Shinkei kenkyu no shinpo,10.11477/mf.1416200418,,,Case Reports; English Abstract; Journal Article; Review,Japan,jpn
25258428,Super-Refractory Status Epilepticus: Report of a Case and Review of the Literature.,"Lapenta, Leonardo; Frisullo, Giovanni; Vollono, Catello; Brunetti, Valerio; Giannantoni, Nadia Mariagrazia; Sandroni, Claudio; Di Lella, Giuseppe; Della Marca, Giacomo",Lapenta,"Super-refractory status epilepticus (SE; ie, SE continuing or recurring despite 24 hours of general anesthesia) is a severe condition with high percentage of mortality and morbidity. Usually, this condition occurs because of serious brain damage; nevertheless, some patients develop super-refractory SE without identifiable etiology. Although not uncommonly encountered in neurointensive care, scientific data on this condition are still lacking in terms of treatment and prognosis. Herein, we report a case of super-refractory SE with recovery after 50 days, despite electroencephalographic (EEG) and magnetic resonance imaging (MRI) signs traditionally related to poor prognosis. A review of the literature on super-refractory SE is also presented.","DictElement({'Year': '2014', 'Month': '09', 'Day': '24'}, attributes={'DateType': 'Electronic'})",2014,Clinical EEG and neuroscience,10.1177/1550059414534418,,EEG; MRI; epilepsy; status epilepticus; treatment,Case Reports; Journal Article; Review,United States,eng
27473208,Anterior Temporal Lobectomy for Refractory Status Epilepticus in Herpes Simplex Encephalitis.,"Bick, Sarah K B; Izzy, Saef; Rubin, Daniel B; Zafar, Sahar F; Rosenthal, Eric S; Eskandar, Emad N",Bick,"Herpes simplex virus (HSV) is a common cause of viral encephalitis that can lead to refractory seizures. The primary treatment of HSV encephalitis is with acyclovir; however, surgery sometimes plays a role in obtaining tissue diagnosis or decompression in cases with severe mass effect. We report a unique case in which anterior temporal lobectomy was successfully used to treat refractory status epilepticus in HSV encephalitis. Case report and review of the literature. We report a case of a 60-year-old man with HSV encephalitis, who presented with seizures originating from the right temporal lobe refractory to maximal medical management. Right anterior temporal lobectomy was performed for the purpose of treatment of refractory status epilepticus and obtaining tissue diagnosis, with ultimate resolution of seizures and excellent functional outcome. We suggest that anterior temporal lobectomy should be considered in cases of HSV encephalitis with refractory status epilepticus with clear unilateral origin.",{},,Neurocritical care,10.1007/s12028-016-0302-6,,Epilepsy; HSV encephalitis; Status epilepticus; Temporal lobectomy,"Case Reports; Journal Article; Review; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",United States,eng
34448399,Primary hyperparathyroidism causing posterior reversible encephalopathy syndrome: a case report.,"Cagney, D; Razzaq, Z; Majeed, M; O'Leary, D P; Redmond, H P",Cagney,"Posterior reversible encephalopathy syndrome (PRES) is a reversible leukoencephalopathy characterised by subcortical vasogenic oedema and neurological signs. We present the case of a 64-year-old woman who presented to hospital with symptomatic primary hyperparathyroidism. Her parathyroid hormone (PTH) level on admission was elevated at 1,330ng/l (normal range15-68ng/l) and her serum calcium measured 4.83mmol/l (normal range 2.25-2.54mmol/l). Technectium-99m sestamibi scan demonstrated a focus of radiotracer uptake consistent with a right upper parathyroid adenoma or carcinoma. After commencing appropriate medical treatment, the patient developed intractable seizures necessitating endotracheal intubation. Magnetic resonance imaging of her brain revealed bilateral symmetrical T2 hyperintensities in the posterior circulation consistent with PRES. Following stabilisation and further medical treatment for hypercalcaemia, the patient underwent a parathyroidectomy. Preoperative rapid PTH assay measured 1,021ng/l. Following excision, PTH levels fell to just 10ng/l. She was extubated in the intensive care unit on postoperative day 1 and made an uneventful recovery. At her 6-week follow-up appointment, all neurological symptoms had resolved. PRES is a rare neurological entity more often seen in the setting of hypertension, immunosuppression and renal failure. The development of new neurological manifestations in the setting of known risk factors should raise suspicion for the underlying diagnosis.","DictElement({'Year': '2021', 'Month': '08', 'Day': '27'}, attributes={'DateType': 'Electronic'})",2021,Annals of the Royal College of Surgeons of England,10.1308/rcsann.2021.0062,PMC10335077,Posterior reversible encephalopathy syndrome; Primary hyperparathyroidism,Case Reports; Journal Article,England,eng
30285858,The critical interaction between valproate sodium and warfarin: case report and review.,"Zhou, Chenguang; Sui, Yi; Zhao, Weijin; Dong, Chunyao; Ren, Li; Song, Pingmei; Xu, Bing; Sun, Xiaohong",Zhou,"Valproic acid (VPA) and warfarin are commonly prescribed for patients with epilepsy and concomitant atrial fibrillation (AF). When VPA and warfarin are prescribed together, clinically important interactions may occur. VPA may replace warfarin from the protein binding sites and result in an abnormally increased anticoagulation effect. This is commonly underrecognized. In our case, we report a 78-year-old woman with a glioma who presented with status epilepticus. The patient was on warfarin to prevent cardiogenic embolism secondary to AF. Intravenous loading dose of VPA was administered, but international normalized ratio (INR) increased significantly to 8.26. Intravenous vitamin K1 was then given and the patient developed no overt bleeding during the hospitalization. By reviewing the literature and discussing the critical interaction between valproate sodium and warfarin, we conclude that intravenous VPA and the co-administrated warfarin may develop critical but underrecognized complications due to effects on the function of hepatic enzymes and displacement of protein binding sites.","DictElement({'Year': '2018', 'Month': '10', 'Day': '01'}, attributes={'DateType': 'Electronic'})",2018,BMC pharmacology & toxicology,10.1186/s40360-018-0251-0,PMC6167846,Epilepsy; Interaction; International normalized ratio; Valproic acid; Warfarin,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't; Review",England,eng
34477975,Aphasic status epilepticus after glioma resection: two case reports.,"Shimoda, Yoshiteru; Kanamori, Masayuki; Saito, Ryuta; Osawa, Shinichiro; Mugikura, Shunji; Tominaga, Teiji",Shimoda,"Aphasic status epilepticus (ASE) is a subtype of focal nonconvulsive status epilepticus, in which language disturbance is the only objective clinical manifestation. We present two cases of patients who experienced delayed onset of temporal aphasia after the removal of glioma at the language-dominant hemisphere. In both cases, arterial spin labeling was useful for diagnosis and antiepileptic drug was effective. ASE should be considered a cause of persistent aphasia after glioma resection at or near the language area.","DictElement({'Year': '2021', 'Month': '09', 'Day': '03'}, attributes={'DateType': 'Electronic'})",2021,Acta neurochirurgica,10.1007/s00701-021-04984-z,,Aphasic status epilepticus; Arterial spin labeling; Glioma; Surgery,Case Reports; Journal Article,Austria,eng
36351577,Reversible Brain Atrophy in Cryptogenic New-onset Refractory Status Epilepticus.,"Watanabe, Tomoaki; Nakamori, Masahiro; Ishikawa, Kenichi; Motoda, Atsuko; Neshige, Shuichiro; Yamamoto, Shotaro; Katahira, Kento; Higaki, Toru; Ueno, Hiroki; Iizuka, Takahiro; Maruyama, Hirofumi",Watanabe,"Cryptogenic new-onset refractory status epilepticus (C-NORSE) is a neurologic emergency condition characterized by refractory status epilepticus (RSE) of unknown cause. Brain atrophy in a setting of C-NORSE is usually irreversible. A 33-year-old woman who was highly suspected of C-NORSE once showed mild frontotemporal atrophy on brain magnetic resonance imaging (MRI), but follow-up MRI revealed recovery of the brain atrophy. Her cognitive function also gradually improved, with a reduction in seizure frequency. Early initiation of intensive immunotherapy with anti-seizure medications may have minimized irreversible brain damage associated with RSE, resulting in a relatively good outcome.","DictElement({'Year': '2022', 'Month': '11', 'Day': '09'}, attributes={'DateType': 'Electronic'})",2022,"Internal medicine (Tokyo, Japan)",10.2169/internalmedicine.0465-22,PMC10332979,MRI; autoantibodies; cryptogenic new-onset refractory status epilepticus; intensive immunotherapy; reversible brain atrophy,Case Reports; Journal Article,Japan,eng
