pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
10328259,Stroke-associated stuttering.,"Grant, A C; Biousse, V; Cook, A A; Newman, N J",Grant,"To present patients with stuttering speech in association with stroke. Case series with follow-up for 5 years, or until the stuttering resolved. University and community hospital neurology wards, and ambulatory neurology clinics. Four patients who developed stuttering speech in association with an acute ischemic stroke. A 68-year-old man acutely developed stuttering with a large left middle cerebral artery distribution stroke. A 59-year-old man who had stuttered as a child began to stutter 2 months after a left temporal lobe infarction, as nonfluent aphasia was improving. Another childhood stutterer, a 59-year-old originally left-handed man developed severe but transient stuttering with a right parietal infarction. A 55-year-old man with a left occipital infarction had a right hemianopia and an acquired stutter, for which he was anosognosic. The clinical presentation of stroke-associated stuttering is variable, as are the locations of the implicated infarctions.",{},,Archives of neurology,10.1001/archneur.56.5.624,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't",United States,eng
10832952,Hashimoto's encephalopathy.,"Chen, H C; Marsharani, U",Chen,"Hashimoto's encephalopathy is a subacute condition associated with autoimmune thyroiditis. Its presentation varies from focal neurologic deficits to global confusion. Unlike encephalopathy associated with hypothyroidism, Hashimoto's encephalopathy responds to steroid therapy and not thyroxine replacement.",{},,Southern medical journal,,,,Case Reports; Journal Article; Review,United States,eng
35342201,A Case Report of Stuttering Induced by Risperidone and Chlorpromazine.,"Sood, Shabnam",Sood,"Stuttering, a disturbance in the normal fluency and time patterning of speech is usually developmental. In some cases, it is acquired, and causes include stroke, brain tumor, and trauma. Implicated in the causation of stuttering are overactive presynaptic dopamine systems in the region of the brain that modulate verbalization. It is a rare side effect of antipsychotic medications and has been reported with phenothiazines, clozapine, and risperidone. This is a report of a patient who developed stuttering when treated first with chlorpromazine and later with risperidone. Patient had a diagnosis of schizoaffective disorder and had been treated with antipsychotic medications including haloperidol, olanzapine, and paliperidone. He developed stuttering for the first time upon receiving intramuscular injections of chlorpromazine for treatment of agitation. The stutter improved and eventually resolved. He subsequently presented with a severe stutter when he was treated with risperidone. The stutter improved after risperidone was discontinued. It is speculated that drug-induced stuttering may be a manifestation of akathisia leading to noradrenergic and serotonergic mechanisms being implicated. It could be that either the cholinergic, dopaminergic or serotonergic systems are involved or that there is an imbalance of these systems that may be relevant.",{},,Psychopharmacology bulletin,,PMC8896748,antipsychotics; risperidone; stuttering,Case Reports,United States,eng
15685118,Stroke-associated acquired stuttering.,"Fawcett, Robert G",Fawcett,"In this case report, the syndrome of acquired stuttering is described including its etiology, common presenting features, and differences from developmental stuttering. A case is described in an elderly female patient with sudden acquired stuttering associated with ischemic infarct near the left basal ganglia.",{},,CNS spectrums,10.1017/s1092852900019416,,,Case Reports; Journal Article,United States,eng
25562877,Dysfluency in a service member with comorbid diagnoses: a case study.,"Mattingly, Erin O",Mattingly,"Because of the noted increase in dysfluency among service members returning from Iraq and Afghanistan, this article describes differentiation between the various types of fluency as well as an evaluation and treatment course of a service member returning from war with the comorbid diagnoses of post-traumatic stress disorder, mild traumatic brain injury, and resulting stuttering. The subject of this case study signed a consent on his admission to National Intrepid Center of Excellence (NICoE) for use of any clinical information for research purposes. The patient-centered method of his evaluation and treatment is one standard for NICoE's 4-week treatment program. Fluency data were collected from the patient using observational and standardized assessment (Stuttering Severity Instrument-4). The patient underwent a course of treatment using fluency strategy education and practice to lead to generalization of skills across all communication environments. This service member responded favorably following a short course of fluency treatment because of the psychogenic nature of his stuttering, which was a symptom of his psychological health diagnoses. The NICoE patient-centered care model achieved the desired results of fluency and improved overall function in this service member.",{},,Military medicine,10.7205/MILMED-D-14-00238,,,Case Reports; Journal Article,England,eng
29680798,Corpus callosum demyelination associated with acquired stuttering.,"Decker, Barbara McElwee; Guitar, Barry; Solomon, Andrew",Decker,"Compared with developmental stuttering, adult onset acquired stuttering is rare. However, several case reports describe acquired stuttering and an association with callosal pathology. Interestingly, these cases share a neuroanatomical localisation also demonstrated in developmental stuttering. We present a case of adult onset acquired stuttering associated with inflammatory demyelination within the corpus callosum. This patient's disfluency improved after the initiation of immunomodulatory therapy.","DictElement({'Year': '2018', 'Month': '04', 'Day': '21'}, attributes={'DateType': 'Electronic'})",2018,BMJ case reports,10.1136/bcr-2017-223486,PMC5926591,multiple sclerosis; neuroimaging; stuttering,Case Reports; Journal Article,England,eng
29754132,Recovery of brain abscess-induced stuttering after neurosurgical intervention.,"Sudo, Daisuke; Doutake, Youichi; Yokota, Hidenori; Watanabe, Eiju",Sudo,"Stuttering occurs in approximately 5% of all children and 1% of adults. One type, neurogenic stuttering, is usually attributable to strokes or other structural damages to the brain areas that are responsible for language fluency. Here, we present the first case of neurogenic stuttering caused by a brain abscess. The patient was a 60-year-old man admitted for a seizure and administered an anticonvulsant, after which he began stuttering. MRI revealed a brain abscess in the left frontal lobe that extended to the dorsolateral prefrontal cortex (BA (Brodmann's area) 9 and 46), frontal eye field (BA 8) and premotor cortex and supplementary motor area (BA 6). After neurosurgical drainage and antibiotic treatment, the symptoms had resolved. This case is unique in that the therapeutic effects and localisation of the cause of stuttering were rapidly identified, allowing for a more accurate description of the neural circuitry related to stuttering.","DictElement({'Year': '2018', 'Month': '05', 'Day': '12'}, attributes={'DateType': 'Electronic'})",2018,BMJ case reports,10.1136/bcr-2017-223259,PMC5950552,infection (neurology); neuroimaging; neurosurgery,Case Reports; Journal Article,England,eng
31574328,Disruption of Frontal Aslant Tract Is Not Associated with Long-Term Postoperative Language Deficits.,"Young, Jacob S; Morshed, Ramin A; Mansoori, Ziba; Cha, Soonmee; Berger, Mitchel S",Young,"The frontal aslant tract (FAT) is a white matter fiber pathway connecting the superior frontal gyrus to the Broca area. This tract in the dominant hemisphere has been shown to play a role in speech initiation and production, and direct subcortical stimulation can induce stuttering and speech arrest in a patient. However, controversy remains as to whether disruption of this pathway will lead to a permanent language deficit and if it is even necessary to map this tract during tumor resections of the dominant frontal lobe. Here, we report a case of a patient with a lower-grade diffuse glioma invading the dominant FAT that was removed with an asleep craniotomy. In the immediate postoperative state, the patient had a transcortical motor dysphasia and was unable to initiate speech. These immediate language deficits quickly recovered, and the patient was neurologically intact at the time of discharge a few days after surgery. Given the high likelihood for a complete neurologic recovery including transient aphasia, we propose that awake mapping for the purpose of identifying the dominant FAT is unnecessary during tumor resection and that disruption of this tract is not associated with any long-term language deficits.","DictElement({'Year': '2019', 'Month': '09', 'Day': '28'}, attributes={'DateType': 'Electronic'})",2019,World neurosurgery,10.1016/j.wneu.2019.09.128,,Diffusion tensor imaging; Frontal aslant tract; Glioma; Language processing,Case Reports; Journal Article,United States,eng
30220403,Stuttering-like hesitation in speech during acute/post-acute phase of immune-mediated encephalitis.,"Dinoto, Alessandro; Busan, Pierpaolo; Formaggio, Emanuela; Bertolotti, Claudio; Menichelli, Alina; Stokelj, David; Manganotti, Paolo",Dinoto,"Neurogenic stuttering may be evident after a lesion/dysfunction of wider neural networks. Here we present a case of acquired stuttering as the consequence of immune-mediated encephalitis. The case of a 71-year old male who complained about the progressive onset of stuttering and disequilibrium as the consequence of immune-mediated encephalitis, is here reported. Administration of corticosteroid methylprednisolone was useful to recover from impairments. An in depth analysis of the electroencephalography (relative power of brain rhythms and source localization) during different phases of the disease/treatment was also realized. The patient showed a stuttering-like slowed speech with blocks and repetitions, especially at the beginning of words/sentences, with associated movements of the oro-facial muscles. Speech and general motor skills resulted slowed in their preparation/execution phases. Electroencephalography showed a ""slowed"" pattern, with delta/theta waves mainly in the prefrontal cortex and in sensorimotor networks. This case reports a probable immune-mediated encephalitis that resulted in acquired stuttering. The effect of ""slowed"" oscillatory brain activity on motor skills requesting sequencing and fine coordination (e.g. speech) could result in less ""synchronized"" systems, easily prone to disruptions.","DictElement({'Year': '2018', 'Month': '09', 'Day': '07'}, attributes={'DateType': 'Electronic'})",2018,Journal of fluency disorders,10.1016/j.jfludis.2018.09.001,,Brain rhythms; Corticosteroids; EEG; Encephalitis; Stuttering,Case Reports; Journal Article,United States,eng
22178081,WEBINO and the return of the King's Speech.,"Beh, Shin C; Frohman, Elliot M",Beh,"We present a 69 year-old man with hypertension who developed the sudden onset of horizontal binocular diplopia and stuttering of speech. On examination, bilateral exotropia (i.e. 'wall-eyed') was observed in the primary position. Attempted horizontal saccades revealed bilateral internuclear ophthalmoplegia; all consistent with the wall-eyed bilateral internuclear ophthalmoplegia (WEBINO) syndrome. Convergence, vertical saccades and vestibular ocular reflexes were likewise impaired. Pupillary and levator palpebrae superioris functions were intact. Mild left-sided dysmetria, intention tremor and dysdiadochokinesia were elicited. Conspicuously, further characterization of the patient's history revealed that he had stuttered as a child, but it had resolved in adolescence. Brain MRI revealed an acute infarction of the mesencephalic and upper pontine tegmentum involving the periaqueductal gray region and the medial longitudinal fasciculus bilaterally with greater involvement of the left. Like the WEBINO syndrome, re-emergent developmental stuttering is a rare neurologic phenomenon. To our knowledge, this is the first case report of a mesencephalic and upper pontine infarction causing both syndromes. We discuss the pathobiological underpinnings of the WEBINO syndrome and neurogenic stuttering and in relationship to this unusual case.","DictElement({'Year': '2011', 'Month': '12', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2011,Journal of the neurological sciences,10.1016/j.jns.2011.11.035,,,Case Reports; Journal Article,Netherlands,eng
10872640,Return of stuttering after stroke.,"Mouradian, M S; Paslawski, T; Shuaib, A",Mouradian,"The pathophysiology of developmental or acquired stuttering still remains an enigma. In a few cases, the developmental stuttering that had disappeared spontaneously or as a result of therapy reoccurred following a brain lesion. We report on a patient with return of developmental stuttering following a left hemispheric stroke. This case supports the theory that acquired brain lesions may cause a return of stuttering, possibly by interfering with the compensatory mechanism(s) that once had relieved the developmental stuttering.",{},,Brain and language,10.1006/brln.2000.2289,,,Case Reports; Journal Article,Netherlands,eng
20609334,Stuttering after right cerebellar infarction: a case study.,"Tani, Tetsuo; Sakai, Yasujiro",Tani,"We report a male patient with neurogenic stuttering after cerebellar infarction. He had suffered from frontal and thalamus damage and he had exhibited aphasia, but his speech had been fluent until onset of the cerebellar infarction. Results of analysis of speech samples included the following: (1) the patient showed very frequent syllable repetition and part-word repetition. (2) The stuttering occurrence rate at the second test was much higher than at the first test. (3) Almost all stuttering occurred on initial word sounds; stuttering on the medial and final word was less frequent. (4) Adaptation effect was absent. (5) Secondary behaviors such as closing of the eyes and grimacing were observed. The internal model related to cerebellar functions can be modified using feedback-error information. Results suggest that internal model dysfunction caused this patient's stuttering. After reading this text, the reader will be able to: (1) provide characteristics of neurogenic stuttering after the cerebellum infarction; (2) discuss the relationship between neurogenic stuttering and functions of the cerebellum.","DictElement({'Year': '2010', 'Month': '03', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2010,Journal of fluency disorders,10.1016/j.jfludis.2010.03.001,,,Case Reports; Journal Article,United States,eng
6839135,Progressive dysfluency associated with right hemisphere disease.,"Horner, J; Massey, E W",Horner,"A late onset progressive dysfluency following a right hemisphere stroke occurred in a 62-year-old male. Dysfluency was characterized by pronounced word and phrase reiterations, and sound and syllable reiterations to a lesser degree. Spontaneous speech was significantly more dysfluent than oral reading and repetition. Recitation and singing were minimally dysfluent. Reiterations were accompanied by reduced vocal loudness and increased rate of speech. Reiterations occurred in initial, medial, and final sentence position. Secondary symptoms such as facial grimacing were absent. In contrast to acquired cortical stuttering which is characterized by a preponderance of sound and syllable sentence initial repetitions, dysfluency was more closely characteristic of palilalia. The dysfluency occurred as a symptom of a diffuse nonspecific subcortical projection system defect related to massive infarction in the right middle cerebral artery distribution with associated atrophy.",{},,Brain and language,10.1016/0093-934x(83)90007-x,,,Case Reports; Journal Article,Netherlands,eng
36870985,Stuttering as a signal of encephalopathy associated with toripalimab in a pancreatic ductal adenocarcinoma patient: a case report.,"He, Jianping; Chen, Xi; Cheng, Ke; Lv, Wanrui; Cao, Dan; Li, Zhiping",He,"Immune checkpoint inhibitor (ICI) combined with chemotherapy has exhibited promising results in small sample studies of pancreatic cancer patients. The efficacy of toripalimab, a programmed cell death protein 1 (PD-1) monoclonal antibody has been explored in the previous studies and it was established that immune-related adverse events (irAEs) associated with administration of this drug deserve proper attention and adequate management. A 43-year-old female patient with advanced pancreatic ductal adenocarcinoma (PDAC) was treated with toripalimab in combination with gemcitabine and nab-paclitaxel (T-GA) as the first-line treatment. She developed immune-related encephalopathy with stuttering as the main clinical symptom and Magnetic resonance imaging (MRI) showed multiple cerebral white matter demyelination changes, concomitant with asymptomatic cardiac enzyme elevation and hypothyroidism. The symptoms resolved after the discontinuation of toripalimab and corticosteroid treatment. Stuttering might be an early sign of neurotoxicity which can be easily neglected during the treatment. These findings provide guidance for the identification of these rare and occult neurological irAEs (n-irAEs) in the clinical practice.","DictElement({'Year': '2023', 'Month': '03', 'Day': '04'}, attributes={'DateType': 'Electronic'})",2023,BMC neurology,10.1186/s12883-023-03140-7,PMC9985276,Encephalopathy; Immune checkpoint inhibitor; Immune-related adverse event; Pancreatic ductal adenocarcinoma; Toripalimab,Case Reports; Journal Article,England,eng
