pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
28111302,Post-traumatic Visualized Supernumerary Phantom Limbs: A Case Presentation.,"Lamb, S Courtney-Kay",Lamb,"The experience of supernumerary phantom limbs (SPLs) is a rare phenomenon known to occur following a variety of neurological ailments. This case report details visualized supernumerary phantom arms and legs in a polytrauma patient with suspicion of seizure as the primary contributing factor. Fewer than 30 cases of SPLs have been previously described. SPLs are usually confined to the phantom proprioception/sensation of the limb, with only 6 prior cases reporting visualized SPLs, all of which occurred in the setting of isolated stroke. This case presentation is notable because it is the first to describe visualized SPLs in a polytrauma patient. V.","DictElement({'Year': '2017', 'Month': '01', 'Day': '20'}, attributes={'DateType': 'Electronic'})",2017,"PM & R : the journal of injury, function, and rehabilitation",10.1016/j.pmrj.2017.01.002,,,Case Reports; Journal Article; Review,United States,eng
22108813,The phantom and the supernumerary phantom limb: historical review and new case.,"Cipriani, Gabriele; Picchi, Lucia; Vedovello, Marcella; Nuti, Angelo; Fiorino, Mario Di",Cipriani,"The way we experience the world is determined by the way our brain works. The phantom limb phenomenon, which is a delusional belief of the presence of a non-existent limb, has a particular fascination in neurology. This positive phenomenon of the phantom limb raises theoretical questions about its nature. After a stroke, some patients experience the perception of an extra limb in addition to the regular set of two arms and two legs. This complex cognitive and perceptual distortion is called supernumerary phantom limb. Here, we review the pathogenesis and historical aspects, and report a new case.",{},,Neuroscience bulletin,10.1007/s12264-011-1737-6,PMC5560386,,Case Reports; Historical Article; Journal Article; Review,Singapore,eng
34054464,Intentional Supernumerary Motor Phantom Limb after Right Cerebral Stroke: A Case Report.,"Yamada, Mai; Sasahara, Yoshimi; Seto, Makiko; Satoh, Akira; Tsujihata, Mitsuhiro",Yamada,"A 47-year-old right-handed man was admitted to our hospital for rehabilitation after right basal ganglion hematoma. On day 57, he noticed a supernumerary motor phantom limb (SPL) involving his right arm, originating at the level of the elbow. The most notable finding of his SPL was the motor characteristic. When the subject had the intention to move the upper paralyzed limb simultaneously with the trainer's facilitating action, he said ""there is another arm."" The intention to move the paralyzed arm alone or passive movement of the paralyzed arm did not induce the SPL. He showed a severe left sensorimotor impairment and mild hemineglect, but no neglect syndromes of the body (e.g., asomatognosia, somatoparaphrenia, personification and misoplegia, or anosognosia) were observed. Brain MRI demonstrated a hematoma in the right temporal lobe subcortex, subfrontal cortex, putamen, internal capsule, and thalamus. Single-photon emission computed tomography images showed more widespread hypoperfusion in the right hemisphere in comparison to the lesions on MRI. However, the premotor cortex was preserved. Our case is different from Staub's case in that SPL was not induced by the intention to move the paralyzed limb alone; rather, it was induced when the patient intended to move the paralyzed limb with a trainer's simultaneous facilitating action. The SPL may reflect that an abnormal closed-loop function of the thalamocortical system underlies the phantom phenomenon. However, despite the severe motor and sensory impairment, the afferent pathway from the periphery to the premotor cortex may have been partially preserved, and this may have been related to the induction of SPL.","DictElement({'Year': '2021', 'Month': '04', 'Day': '26'}, attributes={'DateType': 'Electronic'})",2021,Case reports in neurology,10.1159/000513302,PMC8138257,Intentional motor phantom limb; Premotor cortex; Stroke; Supernumerary phantom limb,Case Reports,Switzerland,eng
15749787,Supernumerary phantom limb after stroke.,"Bakheit, A M O; Roundhill, S",Bakheit,"The perception of a phantom limb is commonly reported after amputations. However, only a few cases have been described after a stroke. This article presents a patient who reported a supernumerary phantom limb (pseudopolymelia) after spontaneous intracerebral haemorrhage and discusses the possible underlying mechanisms for this rare phenomenon.",{},,Postgraduate medical journal,10.1136/pgmj.2004.027086,PMC1743235,,Case Reports; Journal Article,England,eng
28752330,Cortico-thalamic disconnection in a patient with supernumerary phantom limb.,"Bourlon, Clémence; Urbanski, Marika; Quentin, Romain; Duret, Christophe; Bardinet, Eric; Bartolomeo, Paolo; Bourgeois, Alexia",Bourlon,"Supernumerary phantom limb (SPL) designates the experience of an illusory additional limb occurring after brain damage. Functional neuroimaging during SPL movements documented increased response in the ipsilesional supplementary motor area (SMA), premotor cortex (PMC), thalamus and caudate. This suggested that motor circuits are important for bodily related cognition, but anatomical evidence is sparse. Here, we tested this hypothesis by studying an extremely rare patient with chronic SPL, still present 3 years after a vascular stroke affecting cortical and subcortical right-hemisphere structures. Anatomical analysis included an advanced in vivo reconstruction of white matter tracts using diffusion-based spherical deconvolution. This reconstruction demonstrated a massive and relatively selective disconnection between anatomically preserved SMA/PMC and the thalamus. Our results provide strong anatomical support for the hypothesis that cortico-thalamic loops involving motor-related circuits are crucial to integrate sensorimotor processing with bodily self-awareness.","DictElement({'Year': '2017', 'Month': '07', 'Day': '27'}, attributes={'DateType': 'Electronic'})",2017,Experimental brain research,10.1007/s00221-017-5044-y,,Premotor cortex; Supernumerary phantom limb; Supplementary motor area; Thalamus,Case Reports; Journal Article,Germany,eng
28886692,Supernumerary phantom limb in a patient with basal ganglia hemorrhage - a case report and review of the literature.,"Kim, Hang-Rai; Han, Jee-Young; Park, Young Ho; Kim, Beom Joon; Yang, Wookjin; Kim, SangYun",Kim,"Supernumerary phantom limb (SPL) is a rare neurologic phenomenon, in which a patient misperceives an extra limb in addition to the original set of limbs. We report a case of SPL in a patient with a right basal ganglia hemorrhage and review the previous literature about this peculiar phenomenon. Two days after the event of a right basal ganglia hemorrhage, a 78-year-old male reported a phantom arm protruding from his left shoulder. He could not see or touch the phantom arm but he felt the presence of an addition arm lateral to his paretic arm. Pain or sensory discomfort were absent in either the paretic arm or the phantom arm. He stated that he could intentionally move the phantom arm independent of his paretic arm. The examination showed that the passive movement of his paretic arm did not elicit any movement of his phantom arm. We diagnosed the SPL as a complication of the hypertensive basal ganglia hemorrhage and treated him with anti-hypertensive medications. His phantom arm persisted for 3 weeks, and it gradually faded away. SPL had been reported as a rare complication of various types of cerebral lesions. Right hemispheric lesions were most frequently associated with the SPL. Considering the intentional movement of the phantom arm, we deduced that the SPL might result from the impairment of the sensory feedback system for both internal body image and motor movement.","DictElement({'Year': '2017', 'Month': '09', 'Day': '08'}, attributes={'DateType': 'Electronic'})",2017,BMC neurology,10.1186/s12883-017-0962-7,PMC5591514,Basal ganglia hemorrhage; Intentional movement; Supernumerary phantom limb,Case Reports; Journal Article; Review,England,eng
14683563,Supernumerary phantom limbs associated with left hemispheric stroke: case report and review of the literature.,"Miyazawa, Nobuhiko; Hayashi, Masataka; Komiya, Keiji; Akiyama, Iwao",Miyazawa,"Supernumerary phantom limb (SPL) is extremely rare. Literature reports noted 17 cases that occurred after right cerebral hemispheric stroke and 2 cases that occurred after left cerebral hemispheric stroke, but without imaging diagnoses. A 45-year-old male patient complained of SPLs on the right side after recurrent left thalamic hemorrhage. Computed tomography and magnetic resonance imaging demonstrated the lesion causing the left hemispheric stroke. The patient was treated conservatively. Computed tomographic scans demonstrated that the lesion had disappeared by 15 days after admission. The sensation of SPLs disappeared after 28 days. SPL may occur among patients with left hemispheric stroke, especially those with lesions in the thalamus, spastic paresis on the right side immediately after stroke, and psychiatric disorders such as alcohol and tobacco intoxication.",{},,Neurosurgery,10.1227/01.neu.0000097558.01639.f5,,,Case Reports; Journal Article; Review,United States,eng
38453698,Visual hallucinations after resection of cerebral metastases: two patients with complex phantom images.,"Ovchinnikov, A; Andereggen, L; Rogers, S; Gschwind, M",Ovchinnikov,"Complex visual hallucinations are rarely seen in neurooncology. They are commonly observed alongside psychotic symptoms in schizophrenia or dementia, in Parkinson's or Lewy-body disease, after opioid medications or anesthesia, and, in particular, they appear with visual impairments. Here we report two normal-sighted and mentally healthy patients with unusual visual hallucinations after the resection and irradiation of brain metastases, the main features of which were persistent colorful and meaningful images with hallucinatory perseveration. These cases demonstrate the occurrence of complex visual hallucinations after resection of visual cortices as an effect of deafferentation, so-called visual release hallucinations or phantom images, similar to phantom pain after amputation of a limb. This case serves to heighten awareness in the radiooncology practitioner of the occurrence of visual release hallucinations (Charles Bonnet syndrome) related to multidisciplinary treatment of brain metastases.","DictElement({'Year': '2024', 'Month': '03', 'Day': '07'}, attributes={'DateType': 'Electronic'})",2024,Strahlentherapie und Onkologie : Organ der Deutschen Rontgengesellschaft ... [et al],10.1007/s00066-024-02213-x,PMC11343780,Brain tumor; Charles Bonnet Syndrome; Neurology; Neurosurgery,Journal Article; Case Reports,Germany,eng
39064108,A Unique Case of Supernumerary Teeth Erupting Inside a Maxillary Sinus Osteoma.,"Kataoka, Toshiyuki; Amemiya, Kei; Goto, Toshiyuki; Kina, Hatsuki; Tajima, Erica; Okamoto, Toshihiro",Kataoka,"<b>Introduction:</b> Ectopic foreign bodies in the maxillary sinus occur rarely. Ectopic tooth eruption rarely occurs in the orbit, nasal cavity, maxillary sinus, and elsewhere. Ectopic eruption of teeth in the maxillary sinus is most commonly associated with wisdom teeth and is rarely associated with supernumerary teeth. This rare phenomenon may be accompanied by chronic recurrent sinusitis with headaches and facial pain. However, fibro-osseous lesions in the paranasal sinuses are discovered incidentally on X-ray images and are often asymptomatic. Osteoma is the most common fibro-osseous lesion that develops in the paranasal and nasal sinuses. Osteomas rarely cause serious symptoms such as orbital lesions and intracranial invasion. <b>Case Presentation:</b> We report a rare case of exostosis containing supernumerary teeth within the maxillary sinus. A characteristic pedicled bone lesion with a clear border on computed tomography was the undefined orthopantomogram radiopacity in the maxillary sinus, and the lesion contained supernumerary teeth. As the patient had chronic nasal congestion, the tumor was surgically removed. Pathologically, the surgical specimen revealed an osteoma. The patient's symptoms of chronic sinusitis disappeared. Because the patient had no history of midface trauma or surgery, the supernumerary teeth were speculated to have migrated during a reactive osteogenic process caused by chronic sinusitis. <b>Conclusions:</b> A foreign body in the maxillary sinus can be easily diagnosed by computed tomography. Surgical removal is recommended if the foreign body is symptomatic or occupies more than half of the maxillary sinus. This can help resolve chronic sinusitis symptoms and prevent serious complications in the future.","DictElement({'Year': '2024', 'Month': '07', 'Day': '11'}, attributes={'DateType': 'Electronic'})",2024,Journal of clinical medicine,10.3390/jcm13144067,PMC11277642,ectopic eruption; maxillary sinusitis; osteoma; supernumerary teeth,Case Reports; Journal Article,Switzerland,eng
35263945,A Case of Supernumerary Phantom Limb and Suspected Posterior Alien Hand Syndrome After Pontine Hemorrhage.,"Hosokawa, Kazuki; Sakamoto, Kazutaka; Hirayama, Kazumi; Nakanowatari, Tatsuya",Hosokawa,,{},,Neurology India,10.4103/0028-3886.338663,,,Case Reports; Letter,India,eng
21655076,Atypical supernumerary phantom limb and phantom limb pain in two patients with pontine hemorrhage.,"Yoo, Seung Don; Kim, Dong Hwan; Jeong, Yong Seol; Chon, Jinmann; Bark, Jihea",Yoo,"Phantom limbs are usually observed after amputation of extremities. In patients after a stroke, a similar but rarely occurring phenomenon consisting of the patient experiencing the presence of an additional limb has been described. This phenomenon, generally called supernumerary phantom limb (SPL), may be caused by lesions in the right or left cerebral hemisphere, but has been predominantly reported in patients who have had a right hemispheric stroke. We report two cases of atypical SPL and phantom limb pain (PLP) after pontine hemorrhage. The patients were treated conservatively and their symptoms lasted more than 1 month. This is the first report of SPLs after left pontine hemorrhage, and phantom perception and pain lasted longer than those in previously observed cases. Our results indicate that SPL may be more common than reported; therefore, thorough examinations are essential for the care of stroke patients.","DictElement({'Year': '2011', 'Month': '05', 'Day': '18'}, attributes={'DateType': 'Electronic'})",2011,Journal of Korean medical science,10.3346/jkms.2011.26.6.844,PMC3102884,Phantom Limb Pain; Stroke; Supernumerary Phantom Limb,Case Reports; Journal Article,Korea (South),eng
12027341,"On the syndrome of the ""spare limb"": one case.","Grossi, Dario; Di Cesare, Gabriela; Tamburro, Rosario Paolo",Grossi,"We describe a case of a brain-damaged patient who had a peculiar bodily illusion which could not be labelled an hallucination but seemed somatognosically and phenomenologically similar to the phantom limb without amputation. The patient, who showed left hemiplegia, felt a third upper limb (without seeing it) which he himself defined as ""spare."" The spare limb was not deformed; it could be moved and controlled by the patient, and there was no sensation of pain. The patient did not show psychopathological or cognitive disorders. A possible interpretation of the phenomenon is as a ""phantom movement"" of the paralysed limb: the mental representation of the movement of the limb was dissociated from the bodily representation of his own limb and so was still present in his consciousness despite the paralysis.",{},,Perceptual and motor skills,10.2466/pms.2002.94.2.476,,,Case Reports; Journal Article,United States,eng
