pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
33556594,Takotsubo Syndrome in Neurologic Disease.,"Baker, Cordell; Muse, John; Taussky, Philipp",Baker,"Transient cardiac dysfunction, or Takotsubo cardiomyopathy, is a well-known complication among patients presenting with neurologic insult, who are described as having takotsubo syndrome. This condition is commonly associated with aneurysmal subarachnoid hemorrhage but has also been described in patients after cerebral surgery or in those with ischemic stroke, seizure, and traumatic brain injury. Current evidence suggests that cardiac dysfunction in these patients is a result of increases in catecholamines that are induced by supraphysiologic levels of sympathetic activity. The cardiac injury is typically reversible and carries a good prognosis, but secondary complications may arise if the diagnosis is not recognized early.","DictElement({'Year': '2021', 'Month': '02', 'Day': '05'}, attributes={'DateType': 'Electronic'})",2021,World neurosurgery,10.1016/j.wneu.2021.01.139,,Neurogenic stunned myocardium; Subarachnoid hemorrhage; Takotsubo cardiomyopathy; Takotsubo syndrome; Transient cardiac dysfunction,Case Reports; Journal Article; Review,United States,eng
36004018,Stress-Induced Subarachnoid Hemorrhage: A Case Report.,"Ritchie, Charlotte; Tinawi, Qamar Al; Fahmy, Mostafa Mahmoud; Selim, Mohammad",Ritchie,"While there are many forms of intracranial hemorrhage (ICH), the most common form affecting young to middle-aged patients is subarachnoid hemorrhage (SAH). SAHs are primarily traumatic, while a minority of cases are spontaneous. The majority of spontaneous SAHs occur due to the rupture of a cerebrovascular aneurysm. A small number of spontaneous SAHs occur without any objective findings of an aneurysm. Most of these cases are in older patients with certain risk factors such as smoking, hypertension, and alcohol use. This article reports a young female patient without any known significant risk factors who developed an acute spontaneous SAH while experiencing a significant psychological stressor. Recent literature has focused on certain somatic manifestations of psychological stressors, such as stress-induced (Takotsubo) cardiomyopathy. We postulate that our patient's SAH was a sequela of psychological stress and that the pathophysiology may be similar to Takotsubo cardiomyopathy.","DictElement({'Year': '2022', 'Month': '07', 'Day': '21'}, attributes={'DateType': 'Electronic'})",2022,Cureus,10.7759/cureus.27124,PMC9392856,iatrogenic subarachnoid hemorrhage; internal medicine; psychological stress; sah; spontaneous intra-cranial hemorrhage; spontaneous subarachnoid hemorrhage; stress; stress-related cardiomyopathy; subarachnoid hemmorhage; takosubo cardiomyopathy,Case Reports,United States,eng
28000134,Takotsubo Cardiomyopathy in Traumatic Brain Injury.,"Cheah, Chun Fai; Kofler, Mario; Schiefecker, Alois Josef; Beer, Ronny; Klug, Gert; Pfausler, Bettina; Helbok, Raimund",Cheah,"Takotsubo cardiomyopathy (TC) is a well-known complication after aneurysmal subarachnoid hemorrhage and has been rarely described in patients with traumatic brain injury (TBI). Case report and review of literature. Here, we report a 73-year-old woman with mild traumatic brain injury (TBI) presenting in cardiogenic shock. Takotsubo cardiomyopathy (TC) was diagnosed by repeated echocardiography. Cardiovascular support by inotropic agents led to hemodynamic stabilization after initiation of levosimendan. Cardiac function fully recovered within 21 days. We performed an in-depth literature review and identified 16 reported patients with TBI and TC. Clinical course and characteristics are discussed in the context of our patient. Takotsubo cardiomyopathy is under-recognized after TBI and may negatively impact outcome if left untreated.",{},,Neurocritical care,10.1007/s12028-016-0334-y,PMC5334445,Echocardiography; Monitoring; Myocardial dysfunction; Takotsubo cardiomyopathy; Traumatic brain injury,"Case Reports; Journal Article; Review; Research Support, Non-U.S. Gov't",United States,eng
37284563,[Takotsubo Syndrome: cardiovascular complication of stroke].,"Leiva Abanto, Claudio; Medina Palomino, Félix; Anchante Hernández, Henry; Dueñas Carvajal, Roy",Leiva Abanto,"An 82-year-old woman, Katz A, with a history of type 2 diabetes mellitus and high blood pressure, was admitted for ischemic stroke complicated by Takotsubo´s syndrome with subsequent readmission for atrial fibrillation after discharge. These three clinical events have criteria to be integrated as a Brain Heart Syndrome, which is a high-risk condition for mortality.","DictElement({'Year': '2022', 'Month': '12', 'Day': '31'}, attributes={'DateType': 'Electronic'})",2022,Archivos peruanos de cardiologia y cirugia cardiovascular,10.47487/apcyccv.v3i2.235,PMC10241338,Atrial Fibrillation; Myocardial Infarction; Stroke; Takotsubo Cardiomyopathy,Case Reports; English Abstract,Peru,spa
37575758,Intracranial Hemorrhage Induced Takotsubo Cardiomyopathy: A Case Report.,"Mann, Henry; Pokhriyal, Sindhu C; Kusayev, Josef; Malo, Anando; Adedayo, Ajibola M",Mann,"Takotsubo cardiomyopathy, also known as stress-induced cardiomyopathy or ""broken heart syndrome,"" is a reversible cardiac disorder characterized by left ventricular dysfunction without significant obstructive coronary artery disease. It is classically secondary to emotional stress in postmenopausal women but can also be secondary to physical stress. This report presents a unique case of takotsubo cardiomyopathy induced by intracranial hemorrhage in an 80-year-old female who presented with syncope.","DictElement({'Year': '2023', 'Month': '07', 'Day': '11'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.41718,PMC10414771,broken-heart syndrome; hemorrhagic stroke; intracranial hemorrhage; stress induced cardiomyopathy; stroke; takotsubo cardiomyopathy,Case Reports,United States,eng
34603185,Case Report: Takotsubo Cardiomyopathy After Traumatic Brain Injury.,"Wang, Fajun; Darby, Joseph",Wang,"<b>Introduction:</b> Takotsubo cardiomyopathy (TCM) or ""stress cardiomyopathy"" is an uncommon condition characterized by transient cardiac dysfunction with left ventricular apical ballooning in an appropriate clinical context. TCM has been observed in a variety of acute neurological conditions most prominently in patients with aneurysmal subarachnoid hemorrhage and status epilepticus. TCM has only been reported infrequently in association with traumatic brain injury (TBI). Herein we present a patient who developed TCM 3 days after hospital admission with severe TBI. <b>Case Presentation:</b> A 30-year-old male presented to the hospital with an acute subdural hematoma, anisocoria, declining consciousness and CT evidence of uncal herniation after being found down in a hotel room. The patient was taken emergently to the operating room for decompressive hemicraniectomy and hematoma evacuation. On the post-trauma day (PTD) 3, the patient developed acute dyspnea with increased oxygen requirements that improved with diuresis. On PTD 4, nursing staff noted T waive inversions (TWI) on the bedside monitor prompting an electrocardiogram (ECG) that showed a prolonged QTc interval and worsening TWI in leads I, II, aVL, and V2-6. Troponin I level was mildly elevated at 0.63ng/mL. Transthoracic echocardiography (TTE) was subsequently performed and showed a low ejection fraction (EF 26%) with apical hypokinesis and basal hyperkinesis, consistent with TCM. A diagnosis of TCM was confirmed by Cardiology consultation and he was started on a beta-blocker and an ACE inhibitor. Follow-up TTE on PTD 20 showed a normal left ventricular EF. <b>Conclusion:</b> While rarely reported in patients with TBI, TCM developed in an otherwise healthy young male following severe TBI necessitating decompressive hemicraniectomy. TTE should be considered in patients with TBI who have cardio-pulmonary symptoms or unexplained ECG abnormalities.","DictElement({'Year': '2021', 'Month': '09', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2021,Frontiers in neurology,10.3389/fneur.2021.727754,PMC8479872,TBI; Takotsubo cardiomyopathy; case report; diagnosis; stress cardiomyopathy; traumatic brain injury,Case Reports,Switzerland,eng
35854947,Takotsubo cardiomyopathy following mechanical thrombectomy for acute ischemic stroke: illustrative case.,"Yamasaki, Tomohiro; Hayashi, Kentaro; Shibata, Yohei; Furuta, Tatsuya; Yamamoto, Kazuhiro; Uchimura, Masahiro; Fujiwara, Yuta; Nakagawa, Fumio; Kambara, Mizuki; Yoshikane, Tsutomu; Nagai, Hidemasa; Akiyama, Yasuhiko; Tanabe, Kazuaki; Tanabe, Junya",Yamasaki,"Excess neurological stress by hemorrhagic stoke induces cardiomyopathy, namely takotsubo cardiomyopathy. Here, the authors report a case of takotsubo myopathy following mechanical thrombectomy for acute large vessel occlusion. A 73-year-old man was emergently brought to the authors' hospital because of left hemiparesis and consciousness disturbance. An ischemic lesion of the right cerebral hemisphere and the right internal carotid artery occlusion was revealed. Emergently, endovascular treatment was performed, and occlusion of the artery was reanalyzed. However, he suffered from hypotension with electrocardiogram abnormality. Subsequently, coronary angiography was performed, but the arteries were patent. The authors made a diagnosis of takotsubo cardiomyopathy. Endovascular recanalization for large cerebral artery occlusion is so effective that it is becoming widely used. Even in the successful recanalization, we need to care for the takotsubo cardiomyopathy.","DictElement({'Year': '2021', 'Month': '08', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2021,Journal of neurosurgery. Case lessons,10.3171/CASE21372,PMC9265205,ICA = internal carotid artery; MCA = middle cerebral artery; MR = magnetic resonance; MRI = magnetic resonance imaging; SAH = subarachnoid hemorrhage; acute ischemic stroke; mechanical thrombectomy; takotsubo cardiomyopathy,Case Reports,United States,eng
37799569,Incidental cerebral aneurysm after takotsubo cardiomyopathy: A case report.,"Amaro, Tânia; Sgarbi, Taynara; Vieira, Raísa; Santos, Rafael Reis; Matos, Priscila; Oliveira, Adilson",Amaro,"Takotsubo syndrome (TS) is an acute heart disease that mimics the typical features of acute coronary syndrome (ACS). TS is generally reported after subarachnoid hemorrhage (SAH) due to a ruptured aneurysm, and has an incidence rate of 0.8 (17%). Here, we report a rare case of TS with unruptured intracranial aneurism. A 54-year-old woman had a history of systemic arterial hypertension and migraine. She went to a secondary hospital 2 h after sudden-onset chest pain, which irradiated to the left upper limb and back. The initial electrocardiogram (ECG) was normal but showed a troponin curve, which led us to suspect acute non-ST elevation myocardial infarction. Serial ECG showed dynamic changes in ST-segment elevation in DIII, AvF, V5, and V6. Emergency cardiac catheterisation was performed and did not show any obstructive lesions. However, ventriculography revealed hypokinesia of the inferoapical wall. During hospitalization, the patient had a severe refractory headache. Computed tomography (CT) and CT angiography were performed, which identified ""mirror"" saccular aneurysms. A supraclinoid internal carotid artery aneurysm was embolized with two stents. The patient's condition progressed satisfactorily. The association between takotsubo syndrome and aneurysmal SAH with some populations has already been reported. Due to this prior knowledge, and severe headache, it was necessary to perform screening for SAH and the discovery of an unruptured aneurysm in this case report. The present case report differs from most reported cases of takotsubo syndrome described in the literature because it presents unruptured mirror aneurysms, while most cases are diagnosed after intracranial hemorrhage.","DictElement({'Year': '2023', 'Month': '10', 'Day': '03'}, attributes={'DateType': 'Electronic'})",2023,Clinical case reports,10.1002/ccr3.7998,PMC10547853,brain aneurysm; neurogenic stress; stunned neurogenic myocardium; takotsubo syndrome,Case Reports,England,eng
33573602,Takotsubo syndrome associated with autoimmune limbic encephalitis: a case report.,"Kakinuma, Yuki; Kimura, Taro; Sakae, Yoshiki; Kubota, Satomi; Ono, Kenjiro; Kinno, Ryuta",Kakinuma,"Central nervous system diseases are common triggers of Takotsubo syndrome. We herein report a rare case of Takotsubo syndrome associated with autoimmune limbic encephalitis. A 68-year-old Japanese woman presented to our emergency room with disturbed consciousness. At admission, she showed hypoxemia. Left ventriculography showed akinesia in the middle part of the left ventricle and hyperkinesia in the apical and basal parts of the left ventricle, and the diagnosis of midventricular Takotsubo syndrome was established. However, after an improvement in disturbed consciousness and Takotsubo syndrome symptoms, her brother noticed something wrong with her behavior during his visit to the hospital. Subsequently, we consulted the neurology department 1 week after admission. Her brother revealed a history of abnormal behavior by the patient (such as mistaken entry in the wrong apartment in her building or in another person's car) a few days prior to the onset of disturbed consciousness, suggesting disorientation of place. Brain magnetic resonance imaging showed an increased signal in the medial aspect of the temporal lobes, which was most clearly observed on the fluid-attenuated inversion recovery sequence; additionally, a cerebrospinal fluid analysis revealed mild lymphocytic pleocytosis. Finally, we established a diagnosis of midventricular Takotsubo syndrome associated with autoimmune limbic encephalitis. It is presumed that the dysfunction of limbic system due to autonomic limbic encephalopathy is associated with exaggerated sympathetic stimulation. This likely resulted in Takotsubo syndrome in our patient.","DictElement({'Year': '2021', 'Month': '02', 'Day': '11'}, attributes={'DateType': 'Electronic'})",2021,BMC cardiovascular disorders,10.1186/s12872-020-01789-3,PMC7879610,Autoimmune limbic encephalitis; Case report; Limbic system; Stress cardiomyopathy; Takotsubo syndrome,"Case Reports; Research Support, Non-U.S. Gov't; Video-Audio Media",England,eng
32964639,Takotsubo syndrome in the same heart before and after heart transplantation.,"Tsuji, Masaki; Amiya, Eisuke; Bujo, Chie; Maki, Hisataka; Ishida, Junichi; Hatano, Masaru; Ono, Minoru; Komuro, Issei",Tsuji,"Heart transplantation is an effective therapy for patients with end-stage heart failure. In some cases, Takotsubo syndrome (TTS) was seen in the donor heart. We report a case of TTS in a 40-year-old woman with a history of epileptic seizures who underwent heart transplantation from a donor with TTS. The donor was brain-dead due to severe hypoxic encephalopathy during cardiac arrest with TTS. Fifteen months after heart transplantation, she was readmitted for epileptic seizures. Electrocardiogram showed T-wave inversion, and transthoracic echocardiography showed apical ballooning. Coronary angiography was normal, and endomyocardial biopsy was negative for rejection. Iodine-123 metaiodobenzylguanidine imaging demonstrated a low heart-to-mediastinum ratio and high washout rate. Eighteen days after admission, recovery of left ventricular dysfunction was confirmed, and she was diagnosed with TTS triggered by epileptic seizures. It is important to recognize the risk of recurrent TTS in heart transplantation patients from a donor with TTS.","DictElement({'Year': '2020', 'Month': '09', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2020,ESC heart failure,10.1002/ehf2.12970,PMC7754914,Heart transplantation; Recurrence; Takotsubo syndrome,Case Reports,England,eng
