pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
29419420,Diaphragmatic flutter.,"Walton, Dean; Bonello, Michael; Steiger, Malcolm",Walton,"A 78-year-old woman presented with involuntary movements of her abdomen, which started after a right hemispheric stroke. She had irregular, variable, hyperkinetic predominantly right-sided abdominal wall movements. MR scan of brain confirmed a recent infarct in the right occipitotemporal lobe and the right cerebellum. Diaphragmatic fluoroscopy confirmed high-frequency flutter as the cause of her abdominal movements and confirmed the diagnosis of van Leeuwenhoek's disease. Anthonie van Leeuwenhoek first described this condition in 1723 and had the condition himself. He was a Dutch businessman who is often acknowledged as the first microscopist and microbiologist. He disagreed with his physician who attributed his ailment as being of cardiac origin. Diaphragmatic flutter is a rare disorder that requires a high index of suspicion with symptoms including abnormal abdominal wall movements, dyspnoea and respiratory distress. Despite medical treatment, the patient was still highly symptomatic, so she is currently being considered for a phrenic nerve crush.","DictElement({'Year': '2018', 'Month': '02', 'Day': '01'}, attributes={'DateType': 'Electronic'})",2018,Practical neurology,10.1136/practneurol-2017-001830,,diaphragmatic flutter; diaphragmatic myoclonus; movement disorders,Case Reports; Historical Article; Journal Article; Portrait,England,eng
3046580,Lateral thalamic infarcts.,"Caplan, L R; DeWitt, L D; Pessin, M S; Gorelick, P B; Adelman, L S",Caplan,"A patient with occlusion of the proximal posterior cerebral artery (PCA), a lateral thalamic infarct, and hemisensory loss later developed hemianopia and hemiparesis and had extensive PCA territory infarction in the midbrain, the lateral portion of the thalamus, and the occipital lobe noted at necropsy. Two other patients had lateral thalamic infarcts on computed tomography, normal angiographic findings, and presumed thalamogeniculate artery branch occlusion. There are three clinical syndromes associated with lateral thalamic infarction: (1) hemisensory loss, hemiataxia, and involuntary movements; (2) pure sensory stroke; and (3) sensory-motor stroke. Ataxia, adventitious movements, and sensory loss are due to infarction of the lateral, posterolateral, and posteromedial ventral nuclei caused by occlusion of the PCA proximal to the thalamogeniculate artery branches or by occlusion of large thalamogeniculate arteries. Pure sensory and sensory-motor strokes are due to smaller infarcts in the posterolateral-posteromedial ventral complex and adjacent internal capsule caused by occlusion of penetrating artery branches of the thalamogeniculate arteries.",{},,Archives of neurology,10.1001/archneur.1988.00520330037008,,,Case Reports; Journal Article; Review,United States,eng
32173155,New-onset tic disorder following circumscribed brain injury.,"de Souza, Aaron",de Souza,"Adult-onset tics represent either a secondary tic disorder (""tourettism"") or a late presentation of childhood tics, which may have been previously unrecognised. Head trauma has been recognised as an infrequent cause of adult-onset tic disorder, which exhibits variable temporal relationship to the inciting injury and response to therapy. We present a patient who presented with late-onset tics seven years after a circumscribed brain injury, responding well to antidopaminergic treatment. A review of all the previously reported cases of post-traumatic tic disorder is provided. Our patient is unusual in that the injury presumed to be responsible for the development of tics was of a very focal nature, akin to previously described tic disorder following vascular insults. We discuss the rare occurrence of tourettism after such focal brain lesions and analyse the insights this provides into the anatomical substrates underlying tic disorders.","DictElement({'Year': '2020', 'Month': '03', 'Day': '13'}, attributes={'DateType': 'Electronic'})",2020,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,10.1016/j.jocn.2020.03.009,,Tic disorder; Tourette syndrome; Traumatic brain injury,Case Reports; Journal Article; Review,Scotland,eng
38367007,Diabetic striatopathy: a case report.,"Guan, Yi; Yuan, Lu; Yuan, Lei",Guan,"Diabetic striatopathy, a rare condition also known as hyperglycemic nonketotic hemichorea, is characterized by chorea or hemiballismus and distinctive basal ganglia abnormalities visible on neuroimaging. We present the case of an 86-year-old woman with diabetic striatopathy exhibiting hemichorea. She had a history of poorly controlled type 2 diabetes and presented with involuntary movements of her left limb along with facial expressions suggestive of chorea. Laboratory tests confirmed hyperglycemia, with an elevated hemoglobin A1c level. Neuroimaging revealed T1-hyperintensity in the right basal ganglia. The patient was diagnosed with diabetic striatopathy and responded well to intensive insulin therapy with a rapid resolution of symptoms.","DictElement({'Year': '2024', 'Month': '02', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2024,Neurocase,10.1080/13554794.2024.2317788,,Diabetic striatopathy; chorea; hemichorea; hyperglycemic; neuroimaging,Case Reports; Journal Article,England,eng
25473878,Vascular hemichorea: case report and review.,"Martínez Alfonzo, Bárbara; Blanco, Andrés Enrique; Rojano, Jairo; Calleja, José Luis",Martínez Alfonzo,"Chorea rarely complicates ischemic or hemorrhagic cerebral vascular lesions. Clinical symptoms usually involve one side of the body while the injury is situated on the contralateral cerebral hemisphere. Spontaneous remission is the norm, but sometimes symptomatic treatment is required. A 58-year-old male patient who suffers from untreated high blood pressure, type II obesity, smokes 6 packs of cigarettes per year and has a moderate intake of alcohol is presented. The patient's recent history began three days before he appeared at the Emergency Department. His symptoms were ceaseless, involuntary movements in his left arm and foot during day and night with no restriction of voluntary movements. Physical examination and laboratory tests revealed no other findings. Magnetic resonance imaging of the brain showed hyperintensity in the right posterolateral thalamic region consistent with ischemic cerebrovascular disease. Symptomatic therapy was indicated and his underlying conditions were addressed. The importance of this case lies on the low prevalence as well as the scarcity of publications regarding vascular causes of hemichorea, including diagnosis, therapy and prognosis.","DictElement({'Year': '2014', 'Month': '04', 'Day': '09'}, attributes={'DateType': 'Electronic'})",2014,Medwave,10.5867/medwave.2014.03.5936,,vascular hemichorea,Case Reports; Journal Article; Review,Chile,eng; spa
38053706,Intracranial parenchymal capillary hemangioma: A case report.,"Sasaki, Kosuke; Kuge, Atsushi; Shimokawa, Yu; Yamaki, Tetsu; Kondo, Rei; Sonoda, Yukihiko",Sasaki,"Capillary hemangioma is a rare benign hemangioma that occurs in the soft tissues of the skin, orbit, head, and neck. Intracranial cases, especially intraparenchymal cases, are extremely rare. In this study, we report the course of an intracranial parenchymal capillary hemangioma with left mild motor paresis and involuntary movements of the left upper extremity and was successfully treated by surgical resection, including radiological and pathological examinations. This is a case of a 60-year-old woman who presented with motor weakness and involuntary movement of the left upper extremity. Computed tomography and magnetic resonance imaging revealed the right frontal hemorrhagic mass lesion without enhancement of contrast medium. Cerebral digital subtraction angiography showed no vascular stain and abnormal arteriovenous shunt. Preoperatively, we diagnosed cavernous hemangioma with a hemorrhagic component located in the right motor cortex. Because this case was symptomatic, we performed a craniotomy and gross total resection of the right frontal lesion. The diagnosis of capillary hemangioma was made by histological examination, including immunohistological study. Because intraparenchymal capillary hemangiomas are difficult to diagnose with preoperative imaging, surgical treatment, and histopathological examination are important.","DictElement({'Year': '2023', 'Month': '11', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2023,Surgical neurology international,10.25259/SNI_695_2023,PMC10695465,Capillary hemangioma; Intraparenchymal; Pathological findings; Radiological findings,Case Reports,United States,eng
37614254,Inhalational Heroin Use and Leukoencephalopathy: A Case Report.,"Knopp, Brandon W; Weiss, Hannah Z; Retrouvey, Michele; Luck, George",Knopp,"Heroin-induced leukoencephalopathy (HLE) is a rare condition with acute and chronic outcomes ranging from mild neurological symptoms to severe neurological deficits and death. HLE is caused by cerebral white matter damage secondary to exposure to toxic agents such as chemotherapeutic drugs, environmental toxins, and drugs of abuse. Here, we present the case of a 20-year-old woman with a past medical history significant for bipolar disorder and opioid use who presented to the emergency department with ataxia, involuntary movements, and altered mental status secondary to inhalational heroin use. The patient presented with symptoms including agitation, tremors, speech difficulty, confusion, memory loss, and weakness. Magnetic resonance imaging (MRI) showed diffuse cerebral atrophy and electroencephalography (EEG) was significant for cerebral dysfunction in the left hemisphere and diffuse encephalopathy. The patient was treated with intravenous (IV) steroids, vitamins, and fluids but failed to show improvement. She was subsequently discharged to hospice 17 days after admission. There are few reported cases of toxic leukoencephalopathy due to heroin inhalation. The patient's young age and presentation following one month of abstinence are particularly unique as she suffered an acute decompensation with severe, lasting neurological deficits. This case highlights a potential presentation of HLE and seeks to increase clinical recognition in patients with a recent history of substance use and unexplained neurological symptoms.","DictElement({'Year': '2023', 'Month': '07', 'Day': '23'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.42323,PMC10443436,critical emergency medicine; heroin use; heroin-induced leukoencephalopathy; neuroimaging; neurology,Case Reports,United States,eng
38701719,Anti-IgLON5 disease as a differential diagnosis of multiple system atrophy.,"Ono, Yoya; Tadokoro, Koh; Yunoki, Taijun; Yamashita, Toru; Sato, Daisuke; Sato, Hiroyasu; Akamatsu, Shintaro; Mizukami, Heisuke; Ohta, Yasuyuki; Yamano, Yoshihisa; Kimura, Akio; Shimohata, Takayoshi",Ono,"Anti-immunoglobulin-like cell adhesion molecule 5 (IgLON5) disease is a rare autoimmune encephalitis that can mimic progressive supranuclear palsy or corticobasal syndrome. Moreover, anti-IgLON5 disease can present with symptoms characteristic of multiple system atrophy (MSA), such as cerebellar ataxia and autonomic dysfunction. However, the clinical features of anti-IgLON5 disease resembling MSA have not been well established. We enrolled 35 patients with suspected MSA for whom anti-IgLON5 antibody tests were requested. We evaluated immunoglobulin G (IgG) against IgLON5 using cell-based assays. We also summarized the clinical characteristics of patients who were positive for anti-IgLON5 antibodies. We identified serum and cerebrospinal fluid anti-IgLON5 antibodies in three patients. These patients had many clinical features characteristic of MSA, including parkinsonism, cerebellar ataxia, severe orthostatic hypotension, acute respiratory failure, sleep parasomnia, vocal cord paralysis, and pyramidal tract signs. Clinical features atypical for MSA were myorhythmia, horizontal eye movement restriction, fasciculations, and painful muscle cramps. Anti-IgLON5 disease may be an important differential diagnosis of MSA. A comprehensive physical examination, including assessments of eye movement, lower motor neuron signs, and atypical involuntary movements, is important to avoid misdiagnosis.","DictElement({'Year': '2024', 'Month': '04', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2024,Parkinsonism & related disorders,10.1016/j.parkreldis.2024.106992,,Anti-IgLON5 disease; Multiple system atrophy; Orthostatic hypotension; Vocal cord paralysis,Journal Article; Case Reports,England,eng
37033571,Motor Phenomena Associated With Leucine-Rich Glioma-Inactivated (LGI1) Emi-Encephalitis.,"Giorelli, Maurizio; Aniello, Maria S; Altomare, Sergio; Leone, Ruggiero; Liuzzi, Daniele",Giorelli,"LGI1 encephalitis is a rare immune-mediated brain disorder. Its typical features include faciobrachial dystonic seizures (FBDS), startle reactions, chorea, myoclonus, atypical parkinsonism, cogni-tive impairment, and personality changes. We report the case of a 57-year-old woman presenting with distinct patterns of involuntary movements, including faciobrachial dystonic spasms, dyskinetic movements, and chorea. Magnetic resonance imaging (MRI) and tests on blood and cerebrospinal fluid (CSF) demonstrated encephalitis involving the right temporal lobe and caudate nucleus and associated with LGI1-antibody. LGI1 encephalitis may present with simultaneous distinct patterns of movement disorders depending on the cortical and subcortical structures involved in the disease.","DictElement({'Year': '2023', 'Month': '03', 'Day': '07'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.35882,PMC10080185,caudatum; chorea; epilptetic spasms; fbds; lgi1 antibody autoimmune encephalitis; temporal lobe,Case Reports,United States,eng
8624221,Delayed-onset cerebellar syndrome.,"Louis, E D; Lynch, T; Ford, B; Greene, P; Bressman, S B; Fahn, S",Louis,"Delayed-onset involuntary movements, including dystonia and myoclonus, have been reported after stroke or head trauma. Moreover, there have been reports of delayed-onset isolated intention tremor and, in several of these cases, gait ataxia. To further define the clinical features of a delayed-onset cerebellar syndrome. Subjects with cerebellar tremor and either head trauma or stroke were identified using a computerized database, providing detailed demographic and clinical information of 4002 patients with involuntary movements other than Parkinson's disease seen at our center between 1983 and 1995. Medical records and videotaped neurological examinations were retrospectively reviewed. The Center for Parkinson's Disease and Other Movement Disorders at Columbia-Presbyterian Medical Center, New York, NY. Five patients with delayed-onset cerebellar syndromes. Five patients with stroke or head trauma developed a cerebellar syndrome 3 weeks to 2 years after the initial insult. The syndrome, characterized by intention tremor, ataxic dysarthria, nystagmus, dysmetria, dysdiadochokinesis, and gait ataxia, was progressive in at least one patient. In four patients, lesions were present on neuroimaging in the thalamus or brain stem (especially in the midbrain). A delayed-onset cerebellar syndrome may follow head trauma or stroke. The syndrome is sometimes progressive and often disabling. The delayed onset implies that the syndrome is not caused by the initial lesion itself but may be caused by development of post-synaptic supersensitivity or secondary reorganization of involved pathways.",{},,Archives of neurology,10.1001/archneur.1996.00550050080027,,,"Case Reports; Journal Article; Research Support, U.S. Gov't, P.H.S.",United States,eng
