pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
33354461,Unusual Cause of Stroke.,"Borcheni, Mariem; Kandah, Emad; Abdelazeem, Basel; Alnaimat, Saed; Kunadi, Arvind",Borcheni,"Every year, more than 795,000 people in the United States have a stroke, the vast majority of which are ischemic. Cardiac myxoma is an unusual cause of stroke and accounts for less than 1% of ischemic strokes. We present a case of a 56-year-old male with a history of hypertension, dyslipidemia, and type 2 diabetes mellitus, who presented with altered mental status, tinnitus, double vision, and diaphoresis. Due to concern for a cerebral vascular accident, a CT scan of the brain was obtained and showed no acute intracranial process. Brain MRI revealed multiple small acute infarcts involving bilateral posterior cerebral artery distribution. Further evaluation included transthoracic echocardiography that showed a large mobile mass in the left atrium measuring 3.5 x 2 cm intermittently projecting through the mitral valve. The patient underwent successful surgical resection of the left atrial mass. The pathology report confirmed the diagnosis of atrial myxoma. This case further highlights the importance of complete evaluation of stroke, including echocardiography, as well as the importance of careful surgical resection to prevent recurrence of systemic embolization and other complications of atrial myxoma.","DictElement({'Year': '2020', 'Month': '11', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2020,Cureus,10.7759/cureus.11517,PMC7746012,atrial myxoma; cardiac tumor; cardioembolic stroke; echocardiogram; stroke,Case Reports,United States,eng
6437262,Neurinomas of the trigeminal nerve.,"Nager, G T",Nager,"Trigeminal neurinomas account for about 0.2 per cent of all intracranial tumors and for about 2 to 3 per cent of all intracranial neurinomas. Trigeminal neurinomas occur most frequently in persons in the middle decades of life, with the highest incidence between the ages of 38 and 40 years. They show no sex predilection. Although very rare, trigeminal neurinomas are of considerable interest to the neurotologist because of their relation to the temporal bone, skull base, sphenoid and maxillary sinuses, nasopharynx, infratemporal fossa, and, in rare instances, the oral cavity. In addition to producing disturbances of fifth nerve sensory and motor function, these tumors are often associated with other symptoms, such as occlusion of the eustachian tube (sensation of fullness and conductive hearing loss), otalgia, exophthalmos, paralysis of the third, fourth, and sixth cranial nerves, and signs of posterior fossa involvement (sensorineural hearing loss, tinnitus, cerebellar ataxia, and involvement of cranial nerves VII and IX through XI), any of which may be the initial clinical manifestation of the neurinoma. Symptoms depend on the site of origin and course of development. Bilateral trigeminal neurinomas are a manifestation of the central form of neurofibromatosis.",{},,American journal of otolaryngology,10.1016/s0196-0709(84)80002-2,,,"Case Reports; Journal Article; Research Support, U.S. Gov't, P.H.S.; Review",United States,eng
37502643,Multiple Spontaneous Arteriovenous Fistulas of the Superficial Temporal Artery.,"Ueno, Kota; Shimamura, Norihito; Yanagiya, Keita; Katagai, Takeshi; Ohkuma, Hiroki",Ueno,Multiple spontaneous arteriovenous fistulas (AVFs) of the external carotid artery (ECA) are rare. We present a case of multiple spontaneous AVFs treated by coil embolization using a combination of the transarterial and transvenous approach. A 59-year-old woman complained of right pulsatile tinnitus and a mass lesion at the ventral region of the right ear. 3D CTA and cerebral angiography revealed two AVFs on the superficial temporal artery (STA) with an aneurysm 9.8 mm in diameter. A balloon guiding catheter was navigated to the right STA via the right femoral artery. Another balloon guiding catheter was navigated to the right external jugular vein. The STA distal to the aneurysm was embolized with platinum coils by a transvenous approach. The STA proximal to the aneurysm was embolized transarterially and draining veins were embolized transvenously. Her symptoms were cured after endovascular embolization. MRA at 1 day and 6 months postoperatively showed no recurrence of AVFs or aneurysm. Coil embolization of multiple spontaneous AVFs of the ECA using a combined transarterial and transvenous approach is a curable treatment option. Transvenous embolization of an STA distal to an aneurysm is useful.,"DictElement({'Year': '2021', 'Month': '05', 'Day': '26'}, attributes={'DateType': 'Electronic'})",2021,Journal of neuroendovascular therapy,10.5797/jnet.cr.2021-0004,PMC10370969,coil embolization; multiple arteriovenous fistulas; superficial temporal artery,Case Reports,Japan,eng
33109623,Postoperative Objective Tinnitus.,"Kulas Søborg, Marie-Louise; Imbæk, Nina; Lindelof, Mette; Karlsson, William Kristian",Kulas Søborg,,"DictElement({'Year': '2020', 'Month': '10', 'Day': '27'}, attributes={'DateType': 'Electronic'})",2020,Neurology,10.1212/WNL.0000000000011126,,,Case Reports; Journal Article; Video-Audio Media,United States,eng
35261830,Anterior Inferior Cerebellar Artery Aneurysm Mimicking a Vestibular Schwannoma.,"Benjamin, Tania; Jiam, Nicole T; Cooke, Daniel; Huang, Michael C; Sharon, Jeffrey D",Benjamin,"Anterior inferior cerebellar artery (AICA) aneurysms are rare pathologies that may present with hearing loss, facial paralysis, vertigo, and tinnitus. Otologic symptoms at the time of presentation may prompt physicians to order an MRI, which can lead to the misdiagnosis of AICA aneurysms as vestibular schwannomas. We discuss the case of a 27-year-old female who presented with sudden-onset vertigo and right-sided hearing loss. She was found to have a right homogeneously enhancing internal auditory canal (IAC) mass abutting the vestibular nerve on post-gadolinium T1 MRI two hours after the presentation, which was initially diagnosed as a vestibular schwannoma. Serial T1 MRI highlighted the evolution of blood products within this mass by presenting as bright at two days and dark at two months after presentation. Profound ipsilateral sensorineural hearing loss and absent vestibulocochlear function were confirmed on audiometry and vestibular testing, respectively. The diagnostic cerebral angiogram was complicated by an iatrogenic right mid-cervical vertebral artery dissection, and the patient ultimately underwent successful embolization two months after presentation with the resolution of all presenting symptoms except right-sided hearing loss. Early recognition and treatment of an AICA aneurysm may help prevent associated vascular complications, and they should be considered as part of the differential diagnosis for IAC lesions despite their rarity.","DictElement({'Year': '2022', 'Month': '02', 'Day': '01'}, attributes={'DateType': 'Electronic'})",2022,Cureus,10.7759/cureus.21807,PMC8893281,aica; aneurysm; hearing loss; vertigo; vestibular schwannoma,Case Reports,United States,eng
29429785,Spinal primary central nervous system lymphoma: Case report and literature review.,"Feng, Li; Chen, Dingbang; Zhou, Hongyan; Shen, Cunzhou; Wang, Haiyan; Sun, Xunsha; Liang, Xiulin; Chen, Ling",Feng,"Primary central nervous system lymphoma (PCNSL) is a very rare tumor of increasing incidence. It is often misdiagnosed due to the unspecific presentation or unavailable biopsy, and results in poor prognosis. PCNSL involved the spinal cord is extremely sparse. Here we report a gentleman presented with one-year history of progressive tremor in the left limbs and slight dysarthria as well as three-month history of paraparesis, tinnitus and insomnia. MR images disclosed the swollen cerebellum and cauda equine, with contrast enhancement in both meninges and nerve roots. The cerebrospinal fluid (CSF) revealed extremely high protein level. Tubercular meningitis was considered and anti-tuberculosis therapy was given for weeks but without relief. With progressive deterioration, the PCNSL was eventually presumed according to positive CSF cytology and exclusion of systemic involvement. However, the patient passed away within days. We then reviewed the current diagnostic methods of PCNSL. The biopsy, as the gold standard for PCNSL diagnosis, is not eligible for all patients suspected PCNSL. The presurgical diagnostic algorithm of PCNSL has been fixed by clinicians and we suggest the early and repeated CSF cytology should be included for definitive diagnosis.","DictElement({'Year': '2018', 'Month': '02', 'Day': '21'}, attributes={'DateType': 'Electronic'})",2018,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,10.1016/j.jocn.2018.01.034,,CSF cytology; PCNSL; Spinal cord,Case Reports; Journal Article; Review,Scotland,eng
33250951,A case of traumatic anterior cerebral artery-cavernous sinus fistula.,"Tuan, Tran Anh; Van Tuan, Nguyen; Quyen, Le Nguyen; Thien, Nguyen Tat",Tuan,"Direct anterior cerebral artery-cavernous sinus fistula is an extremely rare complication of head trauma. We describe a male patient (age 49 years) with a history of head trauma 15 years ago who was hospitalised for a bulging red eye and tinnitus. Digital subtraction angiography showed a direct anterior cerebral artery (fork junction A1 - prior passage)-cavernous sinus fistula. The patient was treated with arterial endovascular intervention, complete sealing of the fistula orifice using coils. He was discharged 5 days later with no symptoms of a bulging red eye, ringing in the ears, or nerve paralysis. Re-examination after 3 months of stable clinical features did not show recurrent fistula. In conclusion, anterior cerebral artery-cavernous sinus fistula is an extremely rare lesion, and arterial endovascular intervention using coils is a safe and effective method for treatment of such lesion.","DictElement({'Year': '2020', 'Month': '11', 'Day': '16'}, attributes={'DateType': 'Electronic'})",2020,Radiology case reports,10.1016/j.radcr.2020.11.012,PMC7683225,"ACA, anterior cerebral artery; AcoA, Anterior communicating artery; CCF, carotid cavernous fistula; Cavernous Sinus; Cerebral Artery; DSA, digital subtraction angiography; Fistula; Trauma",Case Reports,Netherlands,eng
29054783,Subfrontal Schwannoma: Case Report and Review of Literature.,"Figueroa-Ángel, Vladimir; Rodríguez-Aceves, Carlos Alberto; Calderon-Miranda, Willem G; Escobar-Hernandez, Nidia; Joaquim, Andrei F; Moscote-Salazar, Luis Rafael",Figueroa-Ángel,"Although attributing the origin of schwannomas from the olfactory nerve is nearly impossible, if they do not have Schwann cells, intracranial supratentorial schwannomas are mainly located in the anterior skull base. We present the case of a 46-year-old female who presented with right tinnitus, dizziness, and bifrontal headache, progressive, starting 2 years before. Imaging studies revealed an incidentally neoplastic, extraaxial, homogeneously appearing tumor on the right anterior skull base. The patient underwent surgical treatment with total resection of the tumor by a bicoronal approach. The histopathologic study reported schwannoma. We describe this case in detail and discuss the likely origin of this tumor, with a concomitant literature review.","DictElement({'Year': '2017', 'Month': '10', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2017,World neurosurgery,10.1016/j.wneu.2017.10.045,,Anterior skull base neoplasm; Bifrontal craniotomy; Intracranial schwannoma; Olfactory nerve; Schwannoma,Case Reports; Journal Article; Review,United States,eng
28277225,Arteriovenous malformation of the external ear: a clinical assessment with a scoping review of the literature.,"Kim, Shin Hye; Han, Seung Hoon; Song, Yoonjae; Park, Chang Sik; Song, Jae-Jin",Kim,"Auricular Arteriovenous Malformation of the external ear is a rarely encountered disease; in particular, arteriovenous malformation arising from the auricle, with spontaneous bleeding, has seldom been reported. In the current study, we report an unusual case of late-onset auricular arteriovenous malformation originating from the posterior auricular artery that was confirmed by computed tomographic angiography. The case was successfully managed by pre-surgical intravascular embolization followed by total lesion excision. Prompted by this case, we also present a scoping review of the literature. A case of a 60 year-old man with right auricular arteriovenous malformation treated in our tertiary care center, and 52 patients with auricular arteriovenous malformation described in 10 case reports and a retrospective review are presented. Auricular arteriovenous malformation can manifest as swelling of the ear, pulsatile tinnitus, pain, and/or bleeding. On physical examination, a pulsatile swelling and/or a tender mass is evident. When arteriovenous malformation is suspected, the lesions should be visualized using imaging modalities that optimally detect vascular lesions, and managed via embolization, mass excision, or auricular resection. Effectiveness of the various diagnostic methods used and the treatment outcomes were analyzed. Various imaging modalities including Doppler sonography, computed tomographic angiography, magnetic resonance angiography, and/or transfemoral cerebral angiography were used to diagnose 38 cases reported in the literature. In another 15 cases, no imaging was performed; treatment was determined solely by physical examination and auscultation. Of the total of 53 cases, 12 were not treated (their symptoms were merely observed) whereas 20 underwent therapeutic embolization. In total, 32 patients, including 1 patient who was not treated and 10 with persistent or aggravated arteriovenous malformation after previous embolization, underwent mass excision or auricular resection depending on the extent of the lesion. No major postoperative complication was recorded. The postoperative follow-up duration varied from 1 month to 19 years, and only one case of unresectable, residual cervicofacial arteriovenous malformation was recorded. Auricular arteriovenous malformation is a rarely encountered disease, but should be suspected if a patient presents with a swollen ear and pulsatile tinnitus. Appropriate imaging is essential for diagnosis and evaluation of the extent of disease. As embolization affords only relatively poor control, total surgical removal of the vascular mass is recommended.","DictElement({'Year': '2016', 'Month': '10', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2016,Brazilian journal of otorhinolaryngology,10.1016/j.bjorl.2016.09.004,PMC9449233,"Arteriovenous malformations; Ear; Embolization, therapeutic; Embolização, terapêutica; Malformações arteriovenosas; Orelha; Procedimentos cirúrgicos, operatórios; Surgical procedures, operative; Tinnitus; Zumbido",Case Reports; Journal Article; Review,Brazil,eng
15241223,Susac syndrome.,"Gross, Menachem; Banin, Eyal; Eliashar, Ron; Ben-Hur, Tamir",Gross,"The objective of this study was to describe the clinical manifestations; radiographic, audiometric, and retinal fluorescein angiography findings; pathogenesis and treatment of Susac syndrome with review of the literature. We conducted a retrospective case review. This study was conducted at a tertiary referral center. A 50-year-old woman presented with recurrent episodes of neurologic symptoms, bilateral sensorineural hearing loss, and silent retinal artery occlusion. The patient underwent complete evaluation, including magnetic resonance image studies, audiometric tests, and retinal fluorescein angiography. She was treated initially with corticosteroids and later with other immunosuppressive agents. The patient was initially diagnosed with left sudden sensorineural hearing loss. Despite comprehensive clinical and laboratory studies that did not reveal systemic disease, 3 weeks later, the patient developed vertigo, sensorineural hearing loss, and tinnitus in the opposite ear. The neurologic involvement and the bilateral audiologic manifestations raised the possibility of Susac syndrome. Susac syndrome is a rare disorder of unknown origin characterized by the triad of encephalopathy, fluctuating hearing loss, and visual loss resulting from microangiopathy of the brain, cochlea, and retina. The multiple organ involvement seen in Susac syndrome raises a differential diagnosis ranging from autoimmune disease, through systemic vasculitis, to multiple sclerosis. Otolaryngologists should be aware of this syndrome as a result of the vestibulocochlear manifestations and the multidisciplinary evaluation that is required.",{},,"Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology",10.1097/00129492-200407000-00012,,,Case Reports; Journal Article,United States,eng
