pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
1695334,Multiple oligodendroglioma--case report.,"Ogasawara, H; Kiya, K; Uozumi, T; Sugiyama, K; Kawamoto, K; Ohta, M",Ogasawara,"A 32-year-old male was hospitalized with headache and disturbance of consciousness. Computed tomography (CT) revealed a tumor and an intracranial hematoma in the right frontal lobe. The tumor was totally removed, and postoperative radiation therapy was administrated locally at 50 Gy. Five years later, he experienced sudden onset of headache and vertigo. CT demonstrated a mass lesion with a hematoma in the cerebellar vermis. The tumor was subtotally removed and he underwent postoperative local irradiation at 50 Gy as well as ventriculoperitoneal shunting. Four years later, he complained of visual and gait disturbances, and CT disclosed a tumor in the suprasellar region. Following partial removal of the tumor, local brain irradiation was given at 40 Gy. Histological examination proved all three tumors to be oligodendrogliomas with no evidence of malignant change.",{},,Neurologia medico-chirurgica,10.2176/nmc.30.127,,,Case Reports; Journal Article; Review,Japan,eng
22551695,Paroxysmal alternating nystagmus.,"Lee, Seong-Joon; Sohn, Sung-Yeon; Kim, Ji Soo; Moon, So Young",Lee,"Paroxysmal reversal of spontaneous nystagmus has rarely been described. Herein, we report recurrent bouts of vertigo and oscillopsia in association with reversed spontaneous nystagmus in a patient with prior surgical resection of the cerebellar vermis due to medulloblastoma and subsequent labyrinthine damage. The symptoms almost completely resolved with carbamazepine. The episodes may be ascribed to paroxysmal reversal of the vestibular asymmetry due to intermittent decompensation by the deficient cerebellum.","DictElement({'Year': '2012', 'Month': '05', 'Day': '01'}, attributes={'DateType': 'Electronic'})",2012,Journal of the neurological sciences,10.1016/j.jns.2012.03.010,,,"Case Reports; Journal Article; Research Support, Non-U.S. Gov't; Review",Netherlands,eng
1200908,Positional vertigo.,"Harrison, M S; Ozsahinoglu, C",Harrison,"Different forms of positional nystagmus, particularly the continuous (type I) variety, were found in 86 consecutive patients admitted to general and neurological hospitals. This series is compared with 365 patients with paroxysmal (type II) and 23 patients with type III positional nystagmus. In this series of 32 of the patients with continuous type I positional nystagmus (including 15 patients with head injury) and 18 of the patients with paroxysmal type II nystagmus were found to have central lesions.",{},,"Archives of otolaryngology (Chicago, Ill. : 1960)",10.1001/archotol.1975.00780400033009,,,Case Reports; Journal Article,United States,eng
28980578,[Vestibular vertigo in hemispheric strokes].,"Zamergrad, M V; Artemev, D V; Levin, O S",Zamergrad,The literature on cases of hemispheric stroke manifesting with acute vertigo is reviewed. The authors describe a 56-year-old patient with recurrent acute vestibular syndrome due to hemispheric ischemic stroke. Imaging study revealed ischemic stroke with lesions in a parietal-occipital region of the left hemisphere. Possible mechanisms of vestibular symptoms in hemispheric lesions are discussed.,{},,Zhurnal nevrologii i psikhiatrii imeni S.S. Korsakova,10.17116/jnevro20171178227-31,,Halmagyi test; stroke; vertigo; vestibular cortex,Case Reports; Journal Article; Review,Russia (Federation),rus
32988246,Multiple sclerosis attack case presenting with pseudo-vestibular neuritis.,"Surmeli, Reyhan; Surmeli, Mehmet; Yalcin, Ayse Destina; Yilmaz, Ayse Asli Sahin; Kucuk, Ferhat",Surmeli,"Pseudo-vestibular neuritis is a clinical diagnosis for patients presenting with acute vestibular syndrome due to a central pathology. We reported a case of multiple sclerosis characterized by pseudo-vestibular neuritis. Our case was a 32-year-old male patient. The patient, who was diagnosed with multiple sclerosis in September 2019, came to the emergency clinic in January 2020 with the complaint of severe vertigo, vomiting-nausea. A newly developed demyelinating plaque was detected in the left vestibular nucleus in cranial MRI. The patient had no hearing loss. On examination of the patient, nystagmus findings supporting peripheral vestibular involvement were present on the left side. Neurologic examination showed left-sided hyperactive deep tendon reflexes, Achilles clonus, dysmetria, ataxia to the left and plantar reflex with extensor response on the left. Video head impulse test and cervical evoked myogenic potential tests were performed. Vestibular hypofunction was present on the left side. Steroid pulse therapy was administered as 1000 mg/day, i.v for 7 days. After treatment, his complaints decreased. In addition, there was an improvement in examination findings. Multiple sclerosis is shown to be an etiological factor in patients with pseudo-vestibular neuritis.","DictElement({'Year': '2020', 'Month': '10', 'Day': '06'}, attributes={'DateType': 'Electronic'})",2020,The International journal of neuroscience,10.1080/00207454.2020.1829617,,Multiple sclerosis; cervical evoked myogenic potential; pseudo-vestibular neuritis; vertigo; video head impulse test,Case Reports; Journal Article,England,eng
26231276,Transient Ischemic Attacks Presenting with Dizziness or Vertigo.,"Blum, Christina A; Kasner, Scott E",Blum,"Dizziness with or without associated neurologic symptoms is the most common symptom of posterior circulation transient ischemic attack (TIA) and can be more frequent before posterior circulation strokes. This entity carries a high risk of recurrent events and should be considered as a potential cause of spontaneous episodic vestibular syndrome. Diagnostic evaluation should include intracranial and extracranial imaging of the vertebral arteries and basilar artery. Aggressive medical management with antiplatelet therapy, statin use, and risk factor modification is the mainstay of treatment. This article highlights the importance of diagnosing, evaluating, and treating posterior circulation TIAs manifesting as dizziness or vertigo.","DictElement({'Year': '2015', 'Month': '06', 'Day': '12'}, attributes={'DateType': 'Electronic'})",2015,Neurologic clinics,10.1016/j.ncl.2015.04.005,,Dizziness; Posterior circulation; Stroke; Transient ischemic attack; Vertebrobasilar insufficiency; Vertigo,Case Reports; Journal Article; Review,United States,eng
37872758,Sudden Hearing Loss and Vertigo With Silent Pontine Infarction: A Case Report.,"Jeong, Jae Yeong; Byun, Hayoung; Lee, Seung Hwan; Chung, Jae Ho",Jeong,"Most cases of sudden sensorineural hearing loss (SSNHL) occur without a specific identifiable cause, although vascular factors may serve as potential etiological contributors. Silent infarction refers to ischemic changes observed on imaging studies without accompanying clinical symptoms; however, this condition is clinically significant owing to the increased risk of future stroke. We report a case of left-sided SSNHL accompanied by dizziness in a 62-year-old male patient who was diagnosed with left pontine infarction without any other neurological symptoms. The cochlea and pons receive blood supply from the anterior inferior cerebellar artery; the cochlea lacks collateral vessels and is therefore susceptible to fluctuations in blood flow. This case report provides evidence to support the vascular hypothesis as the etiology underlying SSNHL.","DictElement({'Year': '2023', 'Month': '10', 'Day': '10'}, attributes={'DateType': 'Electronic'})",2023,Journal of audiology & otology,10.7874/jao.2023.00241,PMC10603286,"Brain stem infarctions; Hearing loss, sudden; Pons",Case Reports,Korea (South),eng
35912296,Vertigo due to cerebellar cavernous malformation: A case report.,"Maharani, Putri; Hidayati, Hanik Badriyah; Kurniawan, Shahdevi Nandar",Maharani,"Central vertigo is a result of vestibular structure dysfunction in the central nervous system. Currently, misdiagnoses between peripheral and central lesions are frequent, and diagnostic testing costs are high. Identifying the characteristics of these 2 conditions is challenging. We can provide better treatment if we can establish a diagnosis earlier. Cerebral cavernous malformation (CCM) at the cerebellum is a cerebellar lesion that causes symptoms of central vertigo. We report a patient, 20th years old, female, with vertigo for 1 month before being admitted. Vertigo was getting worse, and when the patient arrived at our hospital, vertigo was accompanied by headache, right and left abducens nerve palsy, horizontal nystagmus bidirectional, vertical nystagmus, and weakness on the right side of the body. A brain magnetic resonance imaging (MRI) was performed before surgery and shows a lesion suggestive of CCM at the cerebellum with a hemorrhagic component inside and non-communicating hydrocephalus. There is no vascular malformation based on digital subtraction angiography result. MRI is the most sensitive and specific modality for detecting CCM, whereas cerebral angiography rarely detects this malformation. The patient got surgical treatment, with suboccipital decompression procedures and CCM excision. The histopathological results after surgical treatment revealed a cerebral cavernous malformation. Vertigo, headache, double vision, and weakness on the right side of the body were resolved after surgery.","DictElement({'Year': '2022', 'Month': '07', 'Day': '27'}, attributes={'DateType': 'Electronic'})",2022,Radiology case reports,10.1016/j.radcr.2022.06.088,PMC9334926,"CCM, Cerebral Cavernous Malformation; CNS, Central Nervous System; Cavernous malformation; Central vertigo; Cerebellar; DSA, Digital Subtraction Angiography; Hemorrhage; MRI, Magnetic Resonance Imaging",Case Reports,Netherlands,eng
37519542,Neuroanatomical Localization of the Vestibular Cortex: A Case Report.,"Gulraiz, Sana; Ishfaq, Muhammad Fawad; Rasul, Taha F; Qureshi, Adnan",Gulraiz,"Vertigo, a symptom of illusory movement, is caused by asymmetry of the vestibular system. The vestibular system consists of the vestibular labyrinth, cranial nerve VIII, brainstem vestibular nuclei, cerebellum, ocular motor nuclei, spinal cord, and less well-defined cerebral projections. In this day and age of artificial intelligence, machine learning, advanced imaging, and cutting-edge research in the field of neurology, the exact cortical control of vestibular function is still uncharted. A 45-year-old woman with a past medical history of labyrinthitis about 4.5 years ago (resolved) presented to hospital due to severe dizziness, emesis, and mild vertical diplopia for the past few days. Her symptom of dizziness i.e. room spinning was continuous without any postural component. MRI of the brain revealed a small stroke in the left hippocampal area, more specifically alveus of hippocampus. The patient was started on dual antiplatelet therapy and atorvastatin for secondary stroke prevention. Follow-up visit as an outpatient at one-month post hospital discharge was unremarkable without any recurrence of vertigo symptoms. We believe this may indicate that the limbic lobe has a much larger role in vestibular functioning than previously thought, and may control more vestibular operations than any other central nervous system area.","DictElement({'Year': '2023', 'Month': '06', 'Day': '27'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.41061,PMC10375059,dizziness; limbic lobe; stroke; vertigo; vestibular cortex,Case Reports,United States,eng
35137349,Challenging the diagnosis of a posterior circulation dissecting aneurysm.,"Duloquin, Gauthier; Henon, Hilde; Pasi, Marco; Dequatre, Nelly; Della Schiava, Lucie; Kuchcinski, Gregory; Leclerc, Xavier; Cordonnier, Charlotte; Casolla, Barbara",Duloquin,"I ntracranial vertebral dissections have polymorphs clinical presentations and can lead to haemorrhagic complications if they are intracranial. We here describe a case of a thrombosed dissecting aneurysm of postero-inferior cerebellar artery (PICA) revealed by a Wallenberg syndrome preceded by headaches. A 23-year-old patient, without neurological or vascular past medical history, was admitted for dizziness preceded by headache. The clinical examination on admission revealed an incomplete Wallenberg syndrome, associating hemiface sensitive deficit, Horner's syndrome, dysmetria and nystagmus. The brain MRI showed a latero-medullary infarct with a homolateral PICA thrombosed dissecting aneurysm. The diagnosis of intracranial dissecting aneurysms needs particular caution because aneurysm sac thrombosis can give false reassurance on angiographic MR sequences. Moreover, the anatomic features of intracranial artery walls make them prone to sub-adventitial dissection and subsequent subarachnoid haemorrhages. Therefore, antithrombotic therapy should be used with caution, due to the risk of bleeding in these intracranial dissections.","DictElement({'Year': '2022', 'Month': '02', 'Day': '08'}, attributes={'DateType': 'Electronic'})",2022,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,10.1007/s10072-022-05923-1,,Aneurysm sac thrombosis; Arterial intracranial dissection; Dissection aneurysm; Ischemic stroke,Case Reports; Journal Article,Italy,eng
