pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
33647851,Auditory agnosia with anosognosia.,"Klarendić, Maja; Gorišek, Veronika R; Granda, Gal; Avsenik, Jernej; Zgonc, Vid; Kojović, Maja",Klarendić,"A 66-year-old right-handed female medical doctor suffered two consecutive cardioembolic strokes, initially affecting the right frontal lobe and the right insula, followed by a lesion in the left temporal lobe. The patient presented with distinctive phenomenology of general auditory agnosia with anosognosia for the deficit. She did not understand verbal requests and her answers to oral questions were fluent but unrelated to the topic. However, she was able to correctly answer written questions, name objects, and fluently describe their purpose, which is characteristic for verbal auditory agnosia. She was also unable to recognise environmental sounds or to recognise and repeat any melody. These inabilities represent environmental sound agnosia and amusia, respectively. Surprisingly, she was not aware of the problem, not asking any questions regarding her symptoms, and avoiding discussing her inability to understand spoken language, which is indicative of anosognosia. The deficits in our patient followed a distinct pattern of recovery. The verbal auditory agnosia was the first to resolve, followed by environmental sound agnosia. Amusia persisted the longest. The patient was clinically assessed from the first day of symptom onset and the evolution of symptoms was video documented. We give a detailed account of the patient's behaviour and provide results of audiological and neuropsychological evaluations. We discuss the anatomy of auditory agnosia and anosognosia relevant to the case. This case study may serve to better understand auditory agnosia in clinical settings. It is important to distinguish auditory agnosia from Wernicke's aphasia, because use of written language may enable normal communication.","DictElement({'Year': '2021', 'Month': '02', 'Day': '02'}, attributes={'DateType': 'Electronic'})",2021,Cortex; a journal devoted to the study of the nervous system and behavior,10.1016/j.cortex.2020.12.025,,Amusia; Anosognosia; Auditory agnosia; Environmental sound agnosia; Verbal auditory agnosia,Case Reports,Italy,eng
3701356,Pantomime agnosia.,"Rothi, L J; Mack, L; Heilman, K M",Rothi,"Visual agnosia is impaired visual recognition not explained by defective visual acuity, visual fields, attention, or general mental ability. Two nonapraxic patients with lesions in the left occipital lobe could imitate pantomimes they could not recognise. Although both patients had a hemianopia, sparing of gesture imitation shows that no visual defect accounts for their inability to recognise pantomimes. Both patients were amnestic and alexic but had no general impairment of cognitive ability to account for a pantomime-recognition disorder. These patients seem to have agnosia for pantomime. From the computed tomograms from these patients, we propose that inferior visual association cortex is critical for gesture comprehension, whereas superior portions of these structures are critical for imitating or performing pantomime to an object presented visually.",{},,"Journal of neurology, neurosurgery, and psychiatry",10.1136/jnnp.49.4.451,PMC1028777,,"Case Reports; Journal Article; Research Support, U.S. Gov't, P.H.S.",England,eng
571567,Thalamic neglect.,"Watson, R T; Heilman, K M",Watson,"Three patients with right thalamic hemorrhage showed contralateral neglect and limb akinesia. They also had anosognosia, visuospatial disorders, and emotional flattening. In animals, neglect can be induced by lesions along a cortico-limbic-reticular loop including the intralaminar thalamic nuclei. We propose that an activation defect is responsible not only for the neglect and akinesia, but also for the visuospatial and emotional defects usually associated with right-hemisphere cortical dysfunction.",{},,Neurology,10.1212/wnl.29.5.690,,,"Case Reports; Journal Article; Research Support, U.S. Gov't, P.H.S.",United States,eng
34694463,Isolated post-traumatic astereognosis: a case-based review.,"Khormi, Yahya H; Atteya, Mostafa M E",Khormi,"Astereognosis is the tactile inability to recognize objects placed in the palms by touch with the eyes closed or blind-folded in the presence of intact primary sensory modalities. Stereognosis is usually considered a function of the contralateral sensory cerebral cortex. However, lesions of several anatomic areas and pathologic entities have been reported to be associated with astereognosis. Only two previous reports linked traumatic injury to isolated astereognosis: following surgical evacuation of traumatic parietal extradural hematoma and following bullet injury in the neck in 1992 and 1919, respectively. All the pertinent literature was analyzed, focusing on the relevant definitions, clinical spectra, pathoanatomical processes, assessment, management, and outcomes of astereognosis. Also, an illustrative case was presented. The case highlights isolated post-traumatic left hand astereognosis in a 17-year-old boy following a blunt trauma to the head which resulted in a non-hemorrhagic contusion of the right post-central gyrus. Post-traumatic isolated astereognosis is a rare and probably underreported sequel of traumatic brain injury. Neurosurgeons need to be more sensitive to the assessment and detection of subtle stereognostic deficits in general and in trauma patients in particular. Other anatomical areas, in addition to the contralateral post-central gyrus, may be considered in the pathogenesis of astereognosis with the involvement of the dorsal column medial lemniscus tract such as the brainstem, foramen magnum, and the cervical spinal cord. To the best of our knowledge, this rare case report is considered the second report on astereognosis following head trauma, and the third report on astereognosis following trauma in general.","DictElement({'Year': '2021', 'Month': '10', 'Day': '25'}, attributes={'DateType': 'Electronic'})",2021,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,10.1007/s00381-021-05392-5,,Astereognosis; Morphognosia; Post-central gyrus; Stereoanesthesia; Tactile agnosia; Traumatic brain injury,Case Reports; Journal Article; Review,Germany,eng
225955,Visuospatial dysgnosia.,"Cogan, D G",Cogan,"Spatial dysgnosia may occur in patients with various forms of brain disease, including tumors, vascular accidents, Alzheimer's disease, multiple sclerosis, and developmental aberrations. Patients with lesion in the nondominant hemisphere, particularly at the junction of the occipito-temporoparietal regions, may manifest predominantly visuospatial dysgnosia--a loss of the sense of ""whereness"" in the relation of himself to his environment and in the relation of objects to each other. Visuospatial disturbances caused by lesions in the dominant hemisphere may be masked by other gnostic symptoms. Patients with more extensive lesions, especially those involving similar areas in both hemispheres, may also exhibit other cognitive disturbances associated with vision.",{},,American journal of ophthalmology,10.1016/0002-9394(79)90634-2,,,Case Reports; Journal Article,United States,eng
9178535,Mirror agnosia.,"Ramachandran, V S; Altschuler, E L; Hillyer, S",Ramachandran,"Normal people rarely confuse the mirror image of an object with a real object so long as they realize they are looking into a mirror. We report a new neurological sign, 'mirror agnosia', following right parietal lesions in which this ability is severely compromised. We studied four right hemisphere stroke patients who had left visual field 'neglect'. i.e. they were indifferent to objects in their left visual field even though they were not blind. We then placed a vertical parasagittal mirror on each patients' right so that they could clearly see the reflection of objects placed in the (neglected) visual field. When shown a candy or pen on their left, the patients kept banging their hand into the mirror or groped behind it attempting to grab the reflection; they did not reach for the real object on the left, even though they were mentally quite lucid and knew they were looking into a mirror. Remarkably, all four patients kept complaining that the object was 'in the mirror', 'outside my reach' or 'behind the mirror'. Thus, even the patients' ability to make simple logical inferences about mirrors has been selectively warped to accommodate the strange new sensory world that they now inhabit. The finding may have implications for understanding how the brain creates representations of mirror reflections.",{},,Proceedings. Biological sciences,10.1098/rspb.1997.0091,PMC1688417,,"Case Reports; Journal Article; Research Support, U.S. Gov't, P.H.S.",England,eng
2375977,Subcortical auditory agnosia.,"Kazui, S; Naritomi, H; Sawada, T; Inoue, N; Okuda, J",Kazui,"A case of generalized auditory agnosia without aphasia secondary to cardiogenic cerebral embolism is reported. The infarcts in this patient were localized within the bitemporal subcortices as confirmed by computerized axial tomography and magnetic resonance imaging. The findings suggested that interruption of both auditory radiations by bilateral subcortical lesions may play an important role in the occurrence of ""cerebral auditory disorders.""",{},,Brain and language,10.1016/0093-934x(90)90132-z,,,Case Reports; Journal Article,Netherlands,eng
28513323,Modulation of somatoparaphrenia following left-hemisphere damage.,"D'Imperio, Daniela; Tomelleri, Giampaolo; Moretto, Giuseppe; Moro, Valentina",D'Imperio,"Somatoparaphrenic symptoms after left-hemisphere damage are rare. To verify the potential role of body-related sensory (proprioceptive, visual, and somatosensory) manipulation in patients experiencing sensations of hand disownership, the symptoms of a patient suffering from right-hand somatoparaphrenia were monitored and clinical and neuropsychological variables were controlled. Four types of manipulation were administered: changes in spatial position of the hand, multisensory stimulation, and self-observation using video or mirrors. Multisensory visuo-tactile stimulation was efficacious in terms of reducing somatoparaphrenia, and changes in the position of the hand produced some positive effects. Third-person perspective self-observation did not, however, result in any changes.","DictElement({'Year': '2017', 'Month': '05', 'Day': '17'}, attributes={'DateType': 'Electronic'})",2017,Neurocase,10.1080/13554794.2017.1329444,,Disturbed sensation of limb ownership; Gertmann’s syndrome; body awareness; rehabilitation; somatoparaphrenia after a left-hemisphere lesion,Case Reports; Journal Article,England,eng
29859732,"Anton-Babinski syndrome, case report.","Martín Juan, A; Madrigal, R; Porta Etessam, J; Sáenz-Francés San Baldomero, F; Santos Bueso, E",Martín Juan,"A 22 year-old woman complained about blurred vision after an episode of recovered cardiorespiratory arrest. She had bilateral low visual acuity («count fingers») and no ophthalmological or visual pathways changes. She also had an apparent lack of awareness of the deficit. The Magnetic Resonance Imaging (MRI) showed ischaemic changes in both occipital lobes. As a result, she was diagnosed with Anton-Babinski syndrome. This is a rare disease that should be suspected in strange or poorly congruent visual loss. It is usually due to an ischaemic injury in this region of brain, manifesting itself with low vision not perceived by the patient (visual confabulation). It can simulate a non-organic visual loss or psychiatric disease.","DictElement({'Year': '2018', 'Month': '05', 'Day': '30'}, attributes={'DateType': 'Electronic'})",2018,Archivos de la Sociedad Espanola de Oftalmologia,10.1016/j.oftal.2018.04.004,,Agudeza visual; Blindness; Ceguera; Neurology; Neurología; Oftalmología; Ophthalmology; Visual acuity,Case Reports; Journal Article,Spain,eng; spa
30661390,Anton's Syndrome associated with autotopagnosia.,"Lo Buono, Viviana; De Salvo, Simona; Paladina, Giuseppe; Corallo, Francesco; Palmeri, Rosanna; Morabito, Rosa; Bramanti, Alessia; Marino, Silvia; Sessa, Edoardo",Lo Buono,"We describe an unusual case of a 68-year-old male affected by cerebral amyloid angiopathy and cortical blindness associated with Anton's syndrome. In addition, our patient presented with autotopagnosia, a form of agnosia characterized by loss of body spatial representation. Neuropsychological assessment evidenced cognitive impairment. Magnetic Resonance Imaging showed hemorrhagic foci in the left occipital and right occipito-parietal lobe, paratrigonal white matter, and post-ischemic parenchymal gliosis. The pattern-reversal of visual evoked potentials were indicative bilateral visual pathway of integrity of the. After a neurological damage, patients could show a denial of their own deficit; however, the association between anosognosia and autotopagnosia represents a rare neurological condition. The simultaneous onset of unusual neuropsychological syndromes could be related to involvement of a complex brain network.","DictElement({'Year': '2019', 'Month': '01', 'Day': '20'}, attributes={'DateType': 'Electronic'})",2019,Applied neuropsychology. Adult,10.1080/23279095.2018.1538048,,Anosognosia; anton’s syndrome; autotopagnosia; cerebral amyloid angiopathy,Case Reports; Journal Article,United States,eng
