pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
29110092,Tracking posttraumatic hemianopia.,"Decramer, Thomas; Van Keer, Karel; Stalmans, Peter; Dupont, Patrick; Sunaert, Stefan; Theys, Tom",Decramer,"Hemianopia after traumatic brain injury is not infrequent and results from retro-chiasmatic lesions. Differentiating optic pathway lesions can be challenging with classic imaging. Advanced imaging techniques as an investigational tool for posttraumatic hemianopia are discussed and their pitfalls highlighted through an illustrative case study. In a patient with posttraumatic hemianopia, MRI at 8 weeks and 2 years after trauma were analyzed. Diffusion tensor imaging (DTI) and morphometric analysis of the primary visual cortex (V1) were performed. Optical coherence tomography (OCT) was performed 2 years after trauma. DTI at 8 weeks showed a decrease in fractional anisotropy (FA) of the left optic tract together with a decrease in FA in the right optic tract and optic radiation. At 2 years, an isolated decrease of the left optic tract FA values was noticed together with signs of Wallerian degeneration on classic MR imaging. OCT showed thinning of the retina congruent with the visual field deficit. While DTI abnormalities were also present in the early scan, they were more diffuse and also encompassed functionally intact structures. Results of advanced imaging techniques need to be interpreted with caution and can vary according to the timing of imaging due to Wallerian degeneration.","DictElement({'Year': '2017', 'Month': '11', 'Day': '06'}, attributes={'DateType': 'Electronic'})",2017,Journal of neurology,10.1007/s00415-017-8661-2,,Diffusion tensor imaging; Hemianopia; Traumatic brain injury; Wallerian degeneration,Case Reports; Journal Article,Germany,eng
225955,Visuospatial dysgnosia.,"Cogan, D G",Cogan,"Spatial dysgnosia may occur in patients with various forms of brain disease, including tumors, vascular accidents, Alzheimer's disease, multiple sclerosis, and developmental aberrations. Patients with lesion in the nondominant hemisphere, particularly at the junction of the occipito-temporoparietal regions, may manifest predominantly visuospatial dysgnosia--a loss of the sense of ""whereness"" in the relation of himself to his environment and in the relation of objects to each other. Visuospatial disturbances caused by lesions in the dominant hemisphere may be masked by other gnostic symptoms. Patients with more extensive lesions, especially those involving similar areas in both hemispheres, may also exhibit other cognitive disturbances associated with vision.",{},,American journal of ophthalmology,10.1016/0002-9394(79)90634-2,,,Case Reports; Journal Article,United States,eng
30953621,Seeing is not believing.,"Foster, Zane; Kini, Ashwini; Al Othman, Bayan; Lee, Andrew G; Vaphiades, Michael",Foster,"An 84-year-old woman with a history of dry age-related macular degeneration presented with an acute inability to read, but intact writing ability (pure alexia or alexia without agraphia). She denied any difficulty speaking, paresthesias, or hemiparesis. Her visual acuity was 20/20 in each eye. Macular examination, optical coherence tomography, and fluorescein angiography demonstrated the previously diagnosed macular drusen and geographic atrophy of the retinal pigment epithelium consistent with the dry form of age-related macular degeneration both eyes. Automated perimetry revealed a right homonymous hemianopsia. Neuroimaging confirmed a left occipital ischemic infarction with involvement of the splenium of the corpus callosum producing the classic disconnection syndrome of alexia without agraphia.","DictElement({'Year': '2019', 'Month': '04', 'Day': '04'}, attributes={'DateType': 'Electronic'})",2019,Survey of ophthalmology,10.1016/j.survophthal.2019.03.008,,alexia without agraphia; occipital lobe; pure alexia; reading problems; splenium of corpus callosum; stroke,Case Reports; Journal Article,United States,eng
37303369,Recurrent Young Stroke With Hemianopia.,"Ravikumar, Aparajit; Moorthy, Swathy; Marappa, Lakshmi; Bhaskar, Emmanuel; Ahmed, Basith",Ravikumar,"Homocysteine is a toxic, sulphur-containing intermediate of methionine metabolism. Hyperhomocysteinemia has been proposed as an important risk factor for ischemic stroke. We present the case of a 39-year-old male who sustained a cerebrovascular accident with left hemiparesis two years back; the patient was not compliant with his medications, and now presented with complaints of giddiness, reduced vision, and double vision. Vision disturbances were bilateral, acute in onset, progressive over time, and predominantly affected the peripheral vision. On ophthalmic examination, homonymous hemianopia was noted, and finger counting was absent in both eyes. Confrontation test revealed a bilateral reduced field of vision more so in the left eye. Baseline investigations were unremarkable except for mildly elevated serum. Homocysteine and neuroimaging showed acute infarct with hemorrhagic transformation in the right occipito-parietal region and small acute non-hemorrhagic infarcts in the right thalamus and right side of the splfingerenium of the corpus callosum. Given the visual disturbance, Humphrey visual field (HVF) perimetry was done and it revealed left homonymous congruous hemianopia, likely due to right parietal lobe infarct. The patient had recurrent infarcts previously involving anterior and posterior circulation.","DictElement({'Year': '2023', 'Month': '05', 'Day': '09'}, attributes={'DateType': 'Electronic'})",2023,Cureus,10.7759/cureus.38771,PMC10249707,cerebrovascular accident; field of vision; hyperhomocysteinemia; parietal infarct; posterior circulation stroke; stroke,Case Reports,United States,eng
31786559,3D ultrasound-guided resection of low-grade gliomas: principles and clinical examples.,"Unsgård, Geirmund; Lindseth, Frank",Unsgård,"3D ultrasound (US) is a convenient tool for guiding the resection of low-grade gliomas, seemingly without deterioration in patients' quality of life. This article offers an update of the intraoperative workflow and the general principles behind the 3D US acquisition of high-quality images.The authors also provide case examples illustrating the technique in two small mesial temporal lobe lesions and in one insular glioma. Due to the ease of acquiring new images for navigation, the operations can be guided by updated image volumes throughout the entire course of surgery. The high accuracy offered by 3D US systems, based on nearly real-time images, allows for precise and safe resections. This is especially useful when an operation is performed through very narrow transcortical corridors.",{},,Neurosurgical focus,10.3171/2019.9.FOCUS19605,,3D ultrasound; CUSA = Cavitron US aspirator; LGG; LGG = low-grade glioma; US = ultrasound; navigated ultrasound; surgical setup,Case Reports; Journal Article; Review,United States,eng
34871216,Quadrantanopia as the only symptom of post-COVID stroke in the occipital pole: Case report.,"Baltaziak, Katarzyna; Szpringer, Agata; Czarnek-Chudzik, Aleksandra; Onyszkiewicz, Maksymilian; Toro, Mario Damiano; Pankowska, Anna; Pietura, Radoslaw; Rejdak, Robert; Nowomiejska, Katarzyna",Baltaziak,"This is a case report describing delayed complications of COVID-19 pneumonia, which evolved into the vascular-ischemic complications leading to quadrantanopia and MRI findings consistent with recent ischemic event in the occipital pole of the brain. We report a case of a 46-year-old woman with quadrantanopia due to stroke confirmed with brain MRI, secondary to COVID-19 infection with chronically elevated D-dimers and treated with anticoagulation/antithrombotic modalities. Quadrantanopia was the only symptom recognized by the patient of a stroke localized in the occipital pole of the brain. The patient was diagnosed with quadrantanopia due to stroke confirmed with brain MRI, secondary to COVID-19 infection. Patient underwent ophthalmological examination and MRI. A thrombotic or ischemic risks in the chronic recovery from COVID-19 should be considered in patients with elevated D-dimers. An MRI should be considered as a long term follow up for post-COVID-19 patients reporting ophthalmic or neurologic complains.",{},,Medicine,10.1097/MD.0000000000027542,PMC8568388,,Case Reports; Journal Article,United States,eng
32868569,Hemorrhagic Intracranial Cavernoma Presenting as a Homonymous Horizontal Sectoranopia.,"Costello, Fiona E; Starreveld, Yves P",Costello,"Hemorrhagic lateral geniculate nucleus (LGN) insults are rare but have been reported in association with tumors, vascular malformations, and trauma. The localization of LGN lesions is facilitated by recognition of pathognomonic visual field defects. A 21-year old woman developed a sudden onset painless left homonymous horizontal sectoranopia. Magnetic resonance imaging revealed a hemorrhagic cavernous malformation of the right temporal lobe. Optical coherence tomography (OCT) and Humphrey perimetry findings localized the lesion to the right LGN. Specifically, OCT testing revealed a right homonymous sectoranopia pattern of hemi-retinal macular ganglion layer-inner plexiform layer (mGCIPL) thinning contralateral to the left sided visual field defect. The OCT pattern reflected retrograde neuroaxonal degeneration from the right LGN lesion. This case highlights a unique pattern of mGCIPL thinning characteristic for a posterior lateral choroidal artery injury, affecting the LGN. These findings illustrate how functional eloquence correlates with topographical elegance in the afferent visual pathway.",{},,Journal of neuro-ophthalmology : the official journal of the North American Neuro-Ophthalmology Society,10.1097/WNO.0000000000001014,,,Case Reports; Journal Article,United States,eng
38206682,Homonymous hemianopia due to cerebral venous thrombosis: A case report.,"Choi, Woo Seok; Yoon, Sook Hyun; Lee, Donghun",Choi,"Diagnosing cerebral venous thrombosis (CVT) can be difficult because of nonspecific symptoms, such as headache and homonymous hemianopia (HH). Herein, we present a case of delayed CVT diagnosis due to nonspecific neurological symptoms and nonprominent lesions in a patient with HH. A 65-year-old woman presented with a sudden onset headache accompanied by right HH that lasted for 1 day. Brain computed tomography and magnetic resonance imaging were initially performed due to suspicion of ischemic lesions or hemorrhage in the left postchiasmal visual pathway; however, no remarkable acute brain lesions were detected. Ophthalmological examinations revealed no notable findings, except for a definite field defect in the Humphrey visual field test. The headaches then waxed and waned but recurred 3 days after the initial symptom.A repeat brain magnetic resonance imaging was performed, which revealed left sectoral gyral swelling and vascular enhancement in the occipital lobe. To further evaluate venous drainage, additional 3-dimensional cerebral computed tomography angiography and 4-vessel angiography were conducted, revealing a partial filling defect in the left transverse sinus and superior venous drainage impairment. These findings suggested the presence of venous thrombosis in the left transverse sinus. The patient was diagnosed with thrombosis of the left transverse sinus, which subsequently caused the right HH. Anticoagulation therapy with parenteral heparin was started as soon as the diagnosis of CVT was confirmed. Eventually, the patient was solely managed with oral warfarin administration. Following 3 days of treatment, her headache resolved, and a subsequent visual field testing conducted 2 weeks later revealed a definite improvement in the field defect. Despite its favorable prognosis, CVT can be challenging to diagnose. CVT should be considered as a differential diagnosis when diagnosing patients who present with headaches accompanied by HH without prominent brain lesions.",{},,Medicine,10.1097/MD.0000000000036204,PMC10754574,,Case Reports; Journal Article,United States,eng
32028451,Checkerboard Visual Field Defect in Occipital Stroke.,"Kamal, Sarah; Al Othman, Bayan A; Kini, Ashwini T; Lee, Andrew G",Kamal,A 74-year-old man with vasculopathic risk factors presented to the emergency room with a chief complaint of peripheral vision loss resulting from an intracranial hemorrhage in his right parietal and occipital lobes. Urgent craniotomy and ventriculostomy led to a stable clinical condition with subsequent development of a crossed quadrant homonymous hemianopsia (checkerboard visual field) due to a new right parieto-occipital infarct superimposed on a prior left occipital infarct. This uncommon visual field defect represents juxtaposed homonymous quadrantanopias that produce a striking checkerboard appearance that is almost pathognomonic for bilateral occipital lesions.,{},,Journal of neuro-ophthalmology : the official journal of the North American Neuro-Ophthalmology Society,10.1097/WNO.0000000000000892,,,Case Reports; Journal Article,United States,eng
34587558,Dichoptic visual field mapping of suppression in exotropia with homonymous hemianopia.,"Economides, John R; Horton, Jonathan C",Economides,"The purpose of this study was to investigate which portions of the visual scene are perceived by each eye in an exotropic subject with acquired hemianopia. The pattern of suppression is predictable from knowledge of how suppression scotomas are organized in exotropic subjects with intact visual fields. Dichoptic perimetry was performed by having a subject wear red/blue goggles while fixating a cross that was either red or blue. Red, blue, or purple spots were presented briefly at peripheral locations. The subject's identification of the spot color revealed which eye was perceptually engaged at any given location in the visual fields. A 17-year-old female with a history of exotropia was evaluated after rupture of a right parietal arteriovenous malformation. Dichoptic perimetry showed a left homonymous hemianopia. All stimuli to the right of the right fovea's projection point were perceived via the right eye. Stimuli between the foveal projection points, which were separated horizontally by the 20° exotropia, were perceived by the left eye. Perception of the visual scene is shared by the eyes in hemianopia and exotropia. Suppression occurs only in the peripheral temporal retina of the eye contralateral to the brain lesion, regardless of which eye is engaged in fixation. Although exotropia expands the binocular field of vision in hemianopia, it is probably not an adaptive response, even when it develops after hemianopia.","DictElement({'Year': '2021', 'Month': '09', 'Day': '26'}, attributes={'DateType': 'Electronic'})",2021,Journal of AAPOS : the official publication of the American Association for Pediatric Ophthalmology and Strabismus,10.1016/j.jaapos.2021.05.017,PMC8665098,,"Case Reports; Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",United States,eng
