pmid,title,authors,first_author,abstract,publication_date,publication_year,journal_info,doi,pmcid,keywords,article_type,country,language
35145781,Hypocalcemia-Induced Reversible Psychosis.,"Hall, Andrea; Bin Farooq, Talha; Alcaraz, Renato",Hall,"Hypocalcemia can manifest as a variety of presentations, ranging from neuromuscular irritability to seizures, and psychiatric manifestations such as emotional instability, anxiety, and depression. Here, we present a unique case of hypocalcemia-induced acute psychosis. A 24-year-old woman presented to the emergency department (ED) with confusion and agitation for four to five days. The patient was noted by the family to have decreased oral intake and sleep. Auditory and visual hallucinations prompted the family to bring the patient to the ED. The patient was mildly tachycardic. Initially, the patient was agitated, impulsive, and aggressive, exhibiting psychotic features including visual hallucinations, paranoid delusions, thought broadcasting, tangential and perseverative thought processes, and erotomanic delusions. She had mild leukocytosis and elevated procalcitonin on admission. A thorough workup ruled out infectious/inflammatory processes. Cerebrospinal fluid was negative for acute meningitis/encephalitis, autoimmune encephalitis antibodies, and paraneoplastic etiology. Thyroid-stimulating hormone was normal and thyroid antibodies were negative. The CT brain and MRI brain were unremarkable. The patient was severely hypocalcemic (6.7) with low parathyroid hormone (<6) on admission. To note, the patient has multiple endocrine neoplasia, type 2B (MEN2B). She underwent total thyroidectomy five months prior for metastatic medullary thyroid carcinoma complicated by postsurgical hypoparathyroidism. The patient had been non-compliant with calcium and calcitriol supplementation postoperatively. The patient was started on IV calcium gluconate and transitioned to calcitriol with calcium level improvement over the next three days. She experienced marked improvement, with the resolution of her psychosis. The patient's subacute onset psychosis with no personal or family psychiatric history and a rapid response to calcium correction supports hypocalcemia etiology. This case illustrates new-onset acute psychosis in a patient with calcium regulation imbalance. The development of hypocalcemia secondary to thyroidectomy with postsurgical hypoparathyroidism and calcium supplement non-compliance precipitated psychosis. A few similar cases have been reported, and here, we note that treatment of hypocalcemia promptly resolves symptoms. As per our review, this will be the first case of neuropsychiatric symptoms without associated cortical calcifications seen on imaging. It is important to recognize hypocalcemia as a rare cause of psychosis so as to not mistakenly categorize such presentations as primary psychotic disorders and miss a medically treatable illness.","DictElement({'Year': '2022', 'Month': '01', 'Day': '02'}, attributes={'DateType': 'Electronic'})",2022,Cureus,10.7759/cureus.20874,PMC8805771,delusions; hypoparathyroidism; metabolic psychosis; reversible; s: hypocalcemia,Case Reports,United States,eng
1779254,Peduncular hallucinations.,"Kölmel, H W",Kölmel,Peduncular hallucinations usually present as visual disorders and are often genuine hallucinations associated with thalamic and/or mesencephalic lesions. In this case report we describe the clinical findings in a patient with hallucinations. Magnetic resonance imaging demonstrated bilateral ischaemic lesions in the thalamus and in the mesencephalon. The pathogenesis of hallucinations in these disorders is discussed in the light of the findings provided by imaging techniques.,{},,Journal of neurology,10.1007/BF00314654,,,Case Reports; Journal Article,Germany,eng
34746494,Relapse of Psychosis Status Post Meningioma Resection.,"Mohammad-Amin, Hamza; Edinoff, Amber N; Akuly, Haseeb A; Doppalapudi, Prithvi; Horton, Rita; Sin, Anthony; Dwyer, Donard; Mohammad Amin, City; Shamim, Sana",Mohammad-Amin,"A 53-year-old Caucasian female with a previous psychiatric history of bipolar I disorder and attention deficit hyperactivity disorder presented to the emergency department after endorsing 10-11 months of auditory and visual hallucinations, persecutory delusions, depression, anosmia, weakness of lower extremities, and headache. The patient described her auditory hallucinations as non-commanding voices talking to her about her family, her visual hallucinations as seeing ""shadows and shapes,"" and her paranoid delusions as people coming after her. The patient had sustained a fall a week and a half earlier, requiring eight sutures to her posterior scalp. Her MRI of the brain showed a well-circumscribed 3.5 x 4.7 x 3.2 cm mass in the floor of the anterior cranial fossa. Computer tomography of the brain showed a 4.5 cm mass near the anterior interhemispheric fissure and edema in the right frontal cortex. Meningioma resection resulted in the cessation of hallucinations and delusions for one week. However, the patient was brought back to the emergency department because her auditory hallucinations and delusions returned. This case report demonstrates residual psychosis, even after frontal meningioma resection.","DictElement({'Year': '2021', 'Month': '08', 'Day': '11'}, attributes={'DateType': 'Electronic'})",2021,Health psychology research,10.52965/001c.27359,PMC8567796,auditory hallucinations; meningiomas; psychosis; visual hallucinations,Case Reports,United States,eng
30420109,Serotonin Syndrome and Hippocampal Infarction.,"French, Sophia; Wray, Carter",French,,"DictElement({'Year': '2018', 'Month': '10', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2018,Pediatric neurology,10.1016/j.pediatrneurol.2018.10.004,,,Case Reports; Letter,United States,eng
35431880,Yellow-Coloured Left Homonymous Visual Hemi-Field after Ischaemic Stroke.,"Silimon, Norbert; Jung, Simon",Silimon,"We report a patient's challenging case who suffered two acute ischaemic strokes, first in the right occipital lobe and later in the right dorsolateral thalamus (with affection of the lateral geniculate nucleus) who developed a yellow-tinted left homonymous visual hemi-field. No previously described case matched our peculiar symptom presentation in combination with the described brain lesions. Especially, the visual phenomena of patients with these brain lesions that were up until now described in literature were complex and vivid visual hallucinations. Here, we discuss possible explanations and mechanisms of this visual phenomenon (acquired hemidyschromatopsia, peduncular hallucinosis, focal epilepsy with visual symptoms, visual hallucinations) and in light of the current literature, we argue that the most likely explanation is a form of simple visual hallucination due to release phenomena (Charles Bonnet syndrome).","DictElement({'Year': '2022', 'Month': '03', 'Day': '14'}, attributes={'DateType': 'Electronic'})",2022,Case reports in neurology,10.1159/000521815,PMC8958620,Case report; Charles bonnet syndrome; Ischemic stroke; Lateral geniculate nucleus; Visual cortex; Visual hallucinations,Case Reports,Switzerland,eng
845607,Palinopsia.,"Meadows, J C; Munro, S S",Meadows,"Three cases of palinopsia (visual perseveration) are described. In case, evidence pointed to a lesion in the right occipitotemporal region. Pathological findings are reported in one of the three. Previous reports have stressed the importance of posteriorly placed cerebral lesions, more commonly right sided than left, but have not demonstrated more precise localisation within the hemisphere.",{},,"Journal of neurology, neurosurgery, and psychiatry",10.1136/jnnp.40.1.5,PMC492596,,Case Reports; Journal Article,England,eng
34408953,Zonisamide-Induced Hallucinations: An Anticonvulsant's Psychosis.,"Al Armashi, Abdul Rahman; Balozian, Patil; Somoza-Cano, Francisco J; Patell, Kanchi; Ravakhah, Keyvan",Al Armashi,"Zonisamide is a new-generation anticonvulsant that works by altering the sodium and T-type calcium channels in the brain. It is currently approved for partial seizures, and trials are ongoing to evaluate the effectiveness against mania and chronic pain in adults. Psychosis is a rare side effect with an incidence of 2%. Our patient, a 52-year-old female with a past medical history of osteoarthritis and chronic pain only relieved by zonisamide is brought to the emergency department (ED) after a two-day history of altered mental status, agitation and visual hallucinations. One month prior, she had undergone total knee arthroplasty complicated with right knee cellulitis managed by IV (intravenous) long-term antibiotics of vancomycin and ertapenem. Physical examination was remarkable for disorientation to person, place, and time with intact remainder of the neurological exam. Initial laboratory work was unremarkable and a computerized tomography (CT) scan of the brain showed no acute intracranial abnormalities. The patient was treated as ertapenem-induced with altered mental status and the antibiotic was switched to meropenem upon discharge. Two weeks later, the patient presented to the ED with similar non-resolving complaints. As the patient's symptoms didn't improve after ertapenem discontinuation, the decision was made to stop zonisamide and carefully monitor for possible withdrawal symptoms. Progressively, our patient had a timely resolution of symptoms with a full return to baseline within a week. This case demonstrates the potential severity of zonisamide-induced psychosis. Additional studies are warranted to analyze the mechanism explaining its neurological side effect profile.","DictElement({'Year': '2021', 'Month': '07', 'Day': '15'}, attributes={'DateType': 'Electronic'})",2021,Cureus,10.7759/cureus.16400,PMC8363161,altered mental status; anti-epileptic drug; anticonvulsant; encephalopathy; hallucinations; neurological complication; neurological manifestations; partial seizure; psychosis; zonisamide,Case Reports,United States,eng
35774701,An Unusual Presentation of Vivid Hallucinations.,"Degueure, Arielle; Fontenot, Andee; Husan, Ammar; Khan, Muhammad W",Degueure,"Visual hallucinations may present secondary to neurologic, psychologic, or physiologic disturbances. Certain features and characteristics of visual hallucination are often attributed to various brain regions; however, with a broad list of causes and multifaceted pathophysiology, it is often hard to accurately localize. Overlapping clinical presentations may be due to the pathology of brain interconnections, rather than isolated brain regions themselves. In this study, we discuss a case of isolated, complex visual hallucinations secondary to occipital seizures in the radiologic absence of an ischemic injury. We propose that a network-based localizing lesion is responsible for this unconventional presentation.","DictElement({'Year': '2022', 'Month': '05', 'Day': '29'}, attributes={'DateType': 'Electronic'})",2022,Cureus,10.7759/cureus.25441,PMC9237857,charles bonnet syndrome; epilepsy; hallucinations; occipital; peduncular hallucinosis; seizures; visual cortex,Case Reports,United States,eng
33654605,Charles Bonnet Syndrome as Another Cause of Visual Hallucinations.,"Voit, MaryKate; Jerusik, Brian; Chu, Justin",Voit,"Charles Bonnet syndrome (CBS) presents as gradual vision loss and associated visual hallucinations in a patient who is otherwise neurologically and psychiatrically intact. This syndrome presents primarily as ophthalmologic disease, however, may be secondary to an ischemic stroke or tumor in the occipital lobe. Patients present with a complaint of vivid visual hallucinations ranging from spots and geometric shapes to seeing people, distorted figures and landscapes.First noted in the 1760s, CBS did not reach the western scientific community until the early 1980s. Our patient reported seeing her dog and deceased mother only when looking left. She was having an experience of phantom images in addition to a visual field impairment but was otherwise of sound mind with no gross neurological deficits. Computer topography of the brain revealed a subacute infarct in the right posterior occipital lobe. The patient was ultimately diagnosed with CBS following magnetic resonance imaging and ophthalmology consultation at tertiary center. Diagnosis may be delayed by lack of symptom reporting as patients do not want to carry a stigma as 'crazy.' Further, physician awareness of this etiology is low and a better understanding of the disease will prevent missed diagnosis as well as lack of appropriate consultation and follow-up. Treatment includes close outpatient ophthalmology care, maximizing existing vision and lifestyle changes including adjustments in lighting, decreasing stress and increasing socialization. Trials of prescription treatment (i.e., antipsychotics, serotonin reuptake inhibitors, antiepileptics) have shown only anecdotal evidence at efficacy. CBS is an uncommon presentation of cerebral vascular disease that warrants the attention of emergency department physicians.","DictElement({'Year': '2021', 'Month': '01', 'Day': '26'}, attributes={'DateType': 'Electronic'})",2021,Cureus,10.7759/cureus.12922,PMC7906273,case report; cerebral vascular accident; hallucinations; occipital lobe infarct; stroke; visual hallucination,Case Reports,United States,eng
36147864,Charles Bonnet Syndrome in the Setting of a Traumatic Brain Injury.,"Irizarry, Ricardo; Sosa Gomez, Ariel; Tamayo Acosta, Jean; Gonzalez Diaz, Leonel",Irizarry,"Traumatic brain injuries are often associated with a broad range of neuropsychiatric sequelae, for which no straightforward treatment approach is established. Historically, the treatment of traumatic brain injuries has been tailored towards the symptoms presented by the patient. In this paper, we present the case of a 42-year-old male with a past medical history significant for retinitis pigmentosa who suffered a traumatic brain injury and subsequently developed visual hallucinations consistent with Charles Bonnet syndrome.","DictElement({'Year': '2022', 'Month': '09', 'Day': '18'}, attributes={'DateType': 'Electronic'})",2022,Cureus,10.7759/cureus.29293,PMC9482793,alcoholism; atypical anti-psychotic; charles bonnet syndrome; escitalopram; olanzapine; psychosis; selective serotonin reuptake inhibitor (ssri); topiramate; traumatic brain injury; visual hallucinations,Case Reports,United States,eng
